# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim2_model
# start_datetime = 2022-03-04 04:40:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpsdjji3/standata-c881ae13742.json
# init = 2 (Default)
# random
#   seed = 847161717
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim2-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim2-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,z_re.33,z_re.34,z_re.35,z_re.36,z_re.37,z_re.38,z_re.39,z_re.40,z_re.41,z_re.42,z_re.43,z_re.44,z_re.45,z_re.46,z_re.47,z_re.48,z_re.49,z_re.50,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_i.33,re_i.34,re_i.35,re_i.36,re_i.37,re_i.38,re_i.39,re_i.40,re_i.41,re_i.42,re_i.43,re_i.44,re_i.45,re_i.46,re_i.47,re_i.48,re_i.49,re_i.50,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,SI.33,SI.34,SI.35,SI.36,SI.37,SI.38,SI.39,SI.40,SI.41,SI.42,SI.43,SI.44,SI.45,SI.46,SI.47,SI.48,SI.49,SI.50,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32,Ht.33,Ht.34,Ht.35,Ht.36,Ht.37,Ht.38,Ht.39,Ht.40,Ht.41,Ht.42,Ht.43,Ht.44,Ht.45,Ht.46,Ht.47,Ht.48,Ht.49,Ht.50
# Adaptation terminated
# Step size = 0.0354824
# Diagonal elements of inverse mass matrix:
# 0.140161, 0.095583, 0.0815364, 0.0906629, 0.0143382, 0.00651733, 0.146656, 0.0141506, 0.182295, 0.159112, 0.203401, 0.172346, 0.195744, 0.198448, 0.206249, 0.139178, 0.186328, 0.309242, 0.138036, 0.186751, 0.191578, 0.188806, 0.149706, 0.1392, 0.185002, 0.151636, 0.172718, 0.170006, 0.229808, 0.182881, 0.171571, 0.199824, 0.20347, 0.226792, 0.208777, 0.216354, 0.258511, 0.259504, 0.272664, 0.191715, 0.288162, 0.229912, 0.268294, 0.213015, 0.206328, 0.207376, 0.229077, 0.192727, 0.219627, 0.173566, 0.182891, 0.203905, 0.272349, 0.213022, 0.185168, 0.230329, 0.208997, 0.248639, 0.0021241
662.499,0.998094,0.0354824,7,127,0,-627.018,-0.0738859,0.540979,0.123876,-0.323536,-0.347458,0.0369361,-0.811391,0.438181,-1.03768,1.13644,0.0998455,1.1178,0.366245,-1.03214,0.326576,-0.597817,1.12135,1.06856,-0.504468,-0.386555,1.78233,-0.759734,0.397554,-0.913593,-0.869558,0.915118,-1.03778,-0.805751,1.13279,-0.425977,0.199872,-1.64271,-0.532362,-0.68946,1.77296,0.0295924,0.0908102,-0.117239,-0.297858,-0.0100437,-1.39602,-0.66798,-0.893039,-0.860227,-1.33008,-0.270125,-0.850084,-1.01967,-0.16578,0.887279,0.101173,-0.472216,-0.723372,0.605105,-1.07621,1.25692,0.0446022,0.404798,9.25171,-1.26608,-0.313423,-0.76764,-0.321591,-0.650909,-1.26365,-0.668291,-1.07334,-0.320035,-0.343167,-1.03244,-0.980771,-0.0304067,-1.14429,-0.63719,-1.21171,-1.19241,-0.410404,-1.26612,-1.16446,-0.315023,-0.998046,-0.72381,-1.5312,-1.04466,-1.1135,-0.0345133,-0.798424,-0.771599,-0.862762,-0.941906,-0.815792,-1.4231,-1.10409,-1.2027,-1.18833,-1.3942,-0.929754,-1.18388,-1.25819,-0.884032,-0.422602,-0.767059,-1.01831,-1.12836,-0.546245,-1.28296,-0.260633,-0.791847,-0.634016,-0.610082,0.584758,0.129323,0.358019,0.51367,-0.208054,0.349762,-0.333187,0.396511,1.00183,-0.0743218,0.183808,0.891992,-0.439855,0.151401,-0.326246,-0.463759,0.523495,-1.25791,-0.962493,-0.487831,-0.917174,-0.811856,-1.34073,-1.04794,-1.09378,0.0227494,-1.10504,-1.00617,-1.16877,-0.787163,-0.9886,-1.51236,-0.878516,-1.96945,-2.05073,-2.05136,-1.67167,-1.85376,-1.80636,-1.43221,-1.06765,-1.32734,-1.75962,-2.10096,-1.23973,-1.94012,-0.650782,-1.31519,-1.37654,0.647959,0.357838,0.467714,0.411439,0.374334,0.551827,0.41344,0.582535,0.402151,0.268582,0.518572,0.454177,0.290699,0.608224,0.462222,0.580846,0.613906,0.372035,0.778666,0.723621,0.619595,0.714466,0.692505,0.792611,0.74038,0.749093,0.494313,0.751203,0.73227,0.762923,0.687222,0.728811,0.819411,0.706515,0.877552,0.886021,0.886085,0.841799,0.864567,0.858922,0.807245,0.74415,0.790401,0.853162,0.890996,0.775517,0.874365,0.657187,0.788381,0.798435
659.571,0.997193,0.0354824,7,127,0,-625.903,-0.591616,0.391131,-0.0519225,-0.414563,-0.308771,0.107043,-0.260965,0.458717,-1.08051,0.52851,1.10945,0.335859,1.03926,-0.814195,1.10037,-0.71148,0.841771,0.88911,-0.646105,-0.426598,1.47585,-0.768634,0.631482,-0.734189,-1.73828,0.413076,-0.783872,-1.27519,1.54907,-0.672555,0.33308,-0.860103,-0.502633,-1.26587,1.20807,0.818072,0.691504,-0.326869,-0.506002,-0.0522317,-1.70237,-0.497442,-1.79475,-1.52539,-1.3633,0.0188216,-1.26855,-0.889751,-0.794902,0.8565,0.216994,-0.268403,-1.14194,0.506362,-0.479892,0.886183,0.412487,0.959892,9.87132,-0.756615,-0.0185287,0.247959,-0.106901,0.215762,-0.63445,0.243792,-0.587333,0.12517,0.146885,-0.557345,-0.456653,0.41603,-0.61355,0.0287065,-0.59775,-1.05835,-0.0714803,-0.62054,-0.845916,0.449621,-0.569478,-0.108176,-0.655509,-0.491531,-0.841641,0.293197,0.114299,0.0562393,-0.410905,-0.493077,-0.284925,-1.04187,-0.48915,-1.08425,-0.960689,-0.886333,-0.252331,-0.842869,-0.669109,-0.6256,0.131926,-0.161426,-0.384086,-0.784794,-0.0286884,-0.4811,0.145542,-0.0717505,0.179353,-0.640788,0.312514,0.429481,-0.0443122,0.783542,-0.163517,0.532922,-0.47094,0.294801,0.726554,-0.247258,0.111127,0.768595,-0.45468,0.188142,-0.352229,-0.877953,0.217084,-1.22698,-1.28018,-0.24347,-1.11135,-0.725942,-1.02578,-1.03397,-1.51208,-0.195441,-0.771922,-0.840177,-1.22237,-0.820868,-0.978016,-1.80916,-0.976658,-2.41863,-2.23164,-2.04911,-1.49043,-2.09117,-1.73504,-1.69153,-1.02009,-1.23812,-1.54743,-2.30211,-1.22375,-1.64387,-0.705736,-1.0414,-1.13351,0.654931,0.422501,0.39425,0.511076,0.313557,0.540788,0.369836,0.615606,0.426829,0.325951,0.561502,0.472247,0.316783,0.611751,0.453103,0.587158,0.706398,0.445941,0.77329,0.782481,0.560569,0.752381,0.673914,0.736097,0.737685,0.81937,0.548705,0.683937,0.698503,0.77248,0.69442,0.726714,0.85926,0.726445,0.918237,0.903055,0.885857,0.816143,0.890042,0.850056,0.844425,0.73499,0.775236,0.824542,0.909052,0.772722,0.838061,0.669458,0.739119,0.756486
673.121,0.999786,0.0354824,6,127,0,-634.003,-0.0163161,0.373069,-0.314699,-0.734193,-0.240232,0.0830041,-0.602229,0.448351,-1.16366,0.262265,0.124376,0.134953,0.673638,-1.10502,0.924735,-0.0352372,1.40126,1.45281,-0.442323,0.197657,1.32932,-0.943124,0.101233,-0.331606,-1.99135,0.449066,-0.598656,-0.645997,1.12351,-0.464008,0.440976,-1.53174,-0.383397,-0.424955,1.53553,-0.431607,0.473023,0.200469,-0.871318,-0.320344,-1.41805,0.380939,-1.47473,-1.12115,-0.793833,-0.374704,-0.957913,-1.11118,-1.05612,1.00907,0.498537,0.26541,-1.99047,0.417972,-1.05769,1.11792,0.538726,1.03387,10.2409,-1.12396,-0.484642,-0.546465,-0.541722,-0.300202,-1.09766,-0.187623,-0.618027,0.0260261,0.0491408,-0.800545,-0.513609,-0.00622803,-1.02508,-0.556841,-0.750905,-1.49506,-0.400889,-0.870637,-0.891862,-0.098501,-0.810268,-0.404517,-1.28899,-0.774125,-0.792758,0.0862296,-0.79574,-0.390148,-0.512348,-0.992886,-0.745856,-1.23801,-0.431434,-1.26343,-1.1049,-0.958145,-0.770228,-1.03171,-1.10043,-1.07574,-0.149809,-0.378709,-0.483232,-1.49466,-0.41483,-1.07645,-0.101006,-0.36069,-0.138692,-0.521662,0.285098,0.107499,0.0194309,0.653725,-0.219087,0.550063,-0.0150135,0.670183,1.01287,-0.0468325,0.440318,0.780256,-0.389295,0.0796616,-0.047425,-0.842526,0.336079,-1.17307,-1.06034,-0.468626,-1.06246,-0.716036,-1.40795,-1.02704,-1.1447,-0.124824,-1.31585,-0.917909,-0.974567,-1.07907,-1.11598,-1.66531,-0.641053,-2.26929,-2.06196,-1.83077,-1.70146,-1.97059,-1.8977,-1.87302,-1.01406,-1.18435,-1.35657,-2.64285,-1.31257,-1.94907,-0.731554,-1.08333,-1.12781,0.627536,0.429204,0.473151,0.495142,0.342151,0.554554,0.36585,0.503753,0.338456,0.266418,0.511706,0.391665,0.314265,0.596113,0.480095,0.511854,0.698997,0.416762,0.763699,0.742755,0.615058,0.743161,0.671734,0.803442,0.736342,0.758542,0.531166,0.78849,0.714616,0.726029,0.746319,0.753242,0.840949,0.654991,0.906301,0.887151,0.861853,0.845725,0.877675,0.869631,0.866807,0.733814,0.76573,0.795202,0.933569,0.787943,0.875345,0.675146,0.747124,0.755434
676.328,0.746528,0.0354824,6,127,0,-644.521,-0.18839,0.415257,-0.0439747,-0.339775,-0.428493,0.0812787,-0.690449,0.519616,-0.937196,0.681766,0.247981,0.693877,0.177169,-0.858438,0.308597,-0.82127,0.312705,0.538358,-0.120488,-0.75354,1.18823,-1.50777,0.059204,-0.60137,-0.555999,0.6854,-0.916224,-0.162279,1.3686,-0.471953,0.48697,-0.958892,-0.393749,-1.09092,0.980785,0.602374,1.09542,0.361579,-0.329972,0.302513,-1.39265,-0.0723958,-1.02921,-0.91597,-1.06644,0.350712,-0.57634,-0.479658,-0.503223,0.687843,0.40313,0.103832,-1.56128,-0.192988,-0.53905,1.05889,0.153973,0.515526,9.44112,-1.17743,-0.336192,-0.561594,-0.329899,-0.598389,-1.13651,-0.530096,-1.11719,-0.527962,-0.410709,-0.753056,-1.082,-0.073025,-1.47391,-0.659685,-1.00293,-0.979355,-0.334303,-1.16653,-0.774771,0.0207006,-0.935683,-0.437411,-1.1887,-0.895047,-1.25731,-0.180817,-0.377445,-0.121248,-0.502566,-0.861907,-0.533258,-1.41409,-0.728067,-1.22524,-1.1664,-1.24459,-0.508213,-0.989925,-0.939687,-0.951932,-0.333034,-0.480976,-0.636496,-1.50172,-0.790729,-0.970548,-0.14023,-0.610442,-0.422573,-0.646142,0.493759,0.195399,0.194777,0.56009,-0.112426,0.376227,-0.517853,0.0779927,0.898808,0.115081,0.0764789,0.786792,-0.882891,-0.000611321,-0.224392,-0.358467,0.503968,-1.41468,-0.783993,-0.414967,-1.09423,-0.768547,-1.17638,-1.12165,-1.527,-0.332756,-1.01386,-0.70454,-1.1025,-0.857902,-0.968925,-1.81819,-0.743901,-2.20887,-2.19653,-2.05733,-1.42549,-1.85408,-1.61804,-1.63028,-1.13085,-1.17426,-1.51729,-2.7392,-1.64827,-1.78329,-0.58797,-1.22245,-1.37633,0.65614,0.379008,0.451305,0.451459,0.363527,0.528077,0.407037,0.626645,0.480512,0.289296,0.471262,0.48089,0.312858,0.707421,0.500153,0.555864,0.588669,0.376609,0.804504,0.68654,0.602278,0.749178,0.683206,0.764296,0.754295,0.821568,0.58243,0.733774,0.669194,0.750728,0.702222,0.724905,0.860349,0.677848,0.901043,0.899938,0.886687,0.806198,0.864606,0.834524,0.836208,0.755995,0.763914,0.82014,0.939301,0.838658,0.856103,0.642899,0.772494,0.798401
659.409,0.833176,0.0354824,7,255,0,-635.293,-0.393974,0.484663,-0.281805,-0.518332,-0.433405,-0.0113895,-0.21163,0.405376,-1.10583,0.157026,-0.641826,0.209353,0.116656,-1.89389,-0.974111,-0.755973,0.904113,-0.710589,-1.08172,-0.805432,1.23408,-1.6582,-0.899079,-0.210542,-1.36293,-0.0445685,-1.04097,-1.23022,2.26679,-0.755553,1.25651,-1.05883,-0.266531,-1.13065,1.63572,-0.289336,1.24559,0.64502,-0.55071,0.819344,-2.10303,-0.440053,-1.22564,0.0591102,-1.24725,0.273994,-1.06574,-1.13669,-0.657487,1.40115,0.916153,0.83646,-1.12337,0.0827414,-0.0555046,1.3111,0.716841,0.784961,9.83131,-0.659908,-0.147975,-0.471811,-0.126763,-0.16434,-0.979367,-0.606511,-0.518083,0.154876,-0.499686,-0.650132,-0.538133,0.288638,-0.883825,-0.576095,-0.296978,-0.764131,-0.229697,-0.633613,-0.710333,0.707275,-0.517913,0.297728,-0.640854,-0.319675,-0.669967,0.451454,-0.32892,0.293303,0.0498465,-0.434874,0.120513,-1.06415,-0.390017,-0.708476,-0.187668,-0.717237,-0.100559,-0.643656,-0.672418,-0.478159,0.356364,0.159757,0.127451,-0.667016,-0.178088,-0.23413,0.319861,0.0789608,0.106575,-0.448507,0.365512,0.155081,0.17155,0.681441,-0.269524,0.171423,-0.144249,0.441799,0.686064,-0.00442109,0.307648,0.832334,-0.612007,-0.141844,0.258107,-0.462104,0.385805,-1.41896,-1.25401,-0.361337,-1.21263,-0.665154,-1.25634,-1.17683,-1.38351,-0.330177,-1.50698,-0.737426,-1.18491,-1.15237,-0.948099,-1.91363,-0.846783,-2.08146,-1.79489,-2.01099,-1.50004,-1.89581,-1.83023,-1.63597,-0.922282,-1.01316,-1.32873,-2.29677,-1.51715,-1.52788,-0.698297,-1.10534,-1.2362,0.610284,0.409626,0.461307,0.457217,0.33594,0.566976,0.457249,0.536,0.391312,0.334909,0.501105,0.423689,0.303152,0.648398,0.535402,0.435829,0.613513,0.404727,0.805175,0.777993,0.589364,0.770764,0.660417,0.778395,0.764377,0.799554,0.581802,0.818613,0.676433,0.76583,0.759944,0.720733,0.871426,0.699892,0.889088,0.857526,0.881946,0.81758,0.869416,0.861789,0.836986,0.715507,0.733638,0.790631,0.90861,0.820119,0.821696,0.66781,0.75126,0.774902
665.709,0.981583,0.0354824,6,63,0,-632.07,-0.176336,0.376357,-0.060348,-0.428566,-0.535688,0.0507481,-0.553294,0.481782,-1.22841,0.00249747,-0.448191,-0.510955,-0.43928,-1.2201,-0.201259,-0.704352,0.697836,0.0476271,-1.10532,-1.20048,1.19487,-0.631138,-0.414179,-1.18971,-1.26224,0.0628512,-1.1697,-0.665462,1.61057,-0.746375,0.543795,-1.56313,-0.139954,-1.01453,1.41976,0.173017,1.03769,1.05716,-0.28438,0.311492,-1.73046,-0.533458,-1.45825,-0.636639,-1.12865,0.107975,-1.16403,-0.51002,-0.848517,1.31614,0.570372,1.02817,-1.61918,-0.499742,-0.336785,1.43602,-0.131948,1.58064,9.85099,-1.14512,-0.552091,-0.769224,-0.799463,-0.764931,-1.14112,-0.650257,-0.892638,-0.217089,-0.530348,-1.08582,-1.13166,0.0223743,-0.857364,-0.752838,-1.12647,-1.16142,-0.523013,-1.11683,-0.873901,0.222649,-0.912884,-0.291303,-1.30638,-0.620721,-1.04208,0.13072,-0.469937,-0.053355,-0.0439725,-0.690303,-0.403223,-1.387,-0.810304,-1.25585,-0.860015,-1.09706,-0.501274,-1.1141,-0.799012,-0.962094,0.0807965,-0.278499,-0.0579424,-1.33338,-0.794061,-0.715551,0.138555,-0.616864,0.208231,-0.66625,0.300158,0.0935414,-0.277995,0.498033,-0.0461743,0.399197,-0.277826,0.355126,1.02317,-0.134967,0.131302,0.911961,-0.303818,-0.0633508,-0.287636,-0.570532,0.3905,-1.42412,-0.882483,-0.369926,-1.10815,-0.753196,-1.33889,-0.951931,-1.32543,-0.107146,-1.26261,-0.728757,-0.841904,-0.784077,-0.995797,-1.83837,-0.776289,-2.43015,-2.19418,-2.1086,-1.6435,-2.13905,-1.64253,-1.80562,-0.912076,-1.14069,-1.20542,-2.82506,-1.86161,-1.72709,-0.467529,-1.42831,-0.928733,0.660663,0.425519,0.476632,0.569055,0.378003,0.511542,0.401505,0.569013,0.41214,0.264411,0.533691,0.467222,0.286599,0.575376,0.515832,0.571417,0.638886,0.403597,0.805983,0.707336,0.591441,0.751785,0.679875,0.792308,0.721503,0.790084,0.526761,0.779475,0.674532,0.698866,0.686558,0.730231,0.862756,0.68488,0.919098,0.899726,0.891736,0.83801,0.894641,0.837879,0.858831,0.713425,0.757806,0.769488,0.944015,0.865484,0.84904,0.614799,0.806637,0.716818
