# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim2_model
# start_datetime = 2022-03-04 04:40:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpsdjji3/standata-c881ae13742.json
# init = 2 (Default)
# random
#   seed = 847161717
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim2-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim2-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,z_re.33,z_re.34,z_re.35,z_re.36,z_re.37,z_re.38,z_re.39,z_re.40,z_re.41,z_re.42,z_re.43,z_re.44,z_re.45,z_re.46,z_re.47,z_re.48,z_re.49,z_re.50,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_i.33,re_i.34,re_i.35,re_i.36,re_i.37,re_i.38,re_i.39,re_i.40,re_i.41,re_i.42,re_i.43,re_i.44,re_i.45,re_i.46,re_i.47,re_i.48,re_i.49,re_i.50,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,SI.33,SI.34,SI.35,SI.36,SI.37,SI.38,SI.39,SI.40,SI.41,SI.42,SI.43,SI.44,SI.45,SI.46,SI.47,SI.48,SI.49,SI.50,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32,Ht.33,Ht.34,Ht.35,Ht.36,Ht.37,Ht.38,Ht.39,Ht.40,Ht.41,Ht.42,Ht.43,Ht.44,Ht.45,Ht.46,Ht.47,Ht.48,Ht.49,Ht.50
# Adaptation terminated
# Step size = 0.037035
# Diagonal elements of inverse mass matrix:
# 0.17137, 0.0903364, 0.0845179, 0.0973824, 0.0114717, 0.00615145, 0.154569, 0.0140442, 0.189748, 0.166061, 0.20898, 0.168838, 0.201427, 0.181766, 0.197075, 0.154637, 0.180469, 0.292669, 0.152059, 0.171484, 0.164403, 0.191185, 0.151004, 0.147567, 0.1827, 0.156443, 0.200117, 0.177967, 0.229191, 0.187154, 0.175486, 0.240866, 0.184002, 0.19502, 0.208008, 0.24568, 0.238308, 0.22069, 0.281105, 0.229229, 0.230787, 0.201687, 0.260853, 0.242595, 0.243674, 0.193263, 0.24274, 0.208622, 0.19913, 0.185238, 0.188872, 0.221033, 0.291922, 0.194724, 0.195254, 0.227438, 0.194948, 0.24783, 0.00222387
660.929,0.822224,0.037035,6,63,0,-634.67,-0.156474,0.208532,-0.743096,-1.20249,-0.180168,0.103758,-0.173316,0.490041,-1.63335,0.594409,0.569337,0.444323,-0.0282421,-1.37479,0.151964,-0.634526,-0.0615116,0.998535,-0.203213,-0.302827,0.611746,-1.49989,-0.1985,-0.614811,-1.52448,0.129657,-0.33089,-0.157579,0.686125,-0.401383,0.88279,-1.11672,0.460668,-0.360838,1.82823,-0.0258241,0.840585,0.578585,-0.562405,0.150208,-0.8109,0.352365,-0.780529,-0.412095,-0.894414,0.350112,0.0153296,-0.0502552,-0.150353,0.959413,0.28366,-0.174763,-0.902071,0.621509,-0.020639,1.86985,0.519602,0.778233,9.70889,-0.973726,0.117968,0.105682,0.0444204,-0.187156,-0.847019,-0.0988477,-0.484259,-0.203459,0.316007,-0.272899,-0.321714,0.126464,-0.908325,-0.270589,-0.474598,-0.920375,-0.109779,-0.335466,-0.250536,0.162913,-0.37001,0.259287,-0.720552,0.0524299,-0.350141,0.722592,-0.185971,0.238605,0.110214,-0.448917,-0.0997079,-0.57069,-0.000642868,-0.555807,-0.375259,-0.611615,-0.00174676,-0.165804,-0.197943,-0.246995,0.296835,-0.0343109,-0.258957,-0.615367,0.131249,-0.18343,0.742985,0.0813101,0.20805,-0.654502,0.56277,0.380641,0.29128,0.395781,-0.320592,0.2389,-0.206005,0.147159,0.823284,0.118376,0.261224,0.583824,-0.563986,0.0327807,-0.120997,-0.563478,0.268938,-1.17209,-0.986698,-0.682973,-1.16896,-0.542646,-1.37807,-0.705551,-1.26541,-0.0039945,-1.18585,-0.808518,-0.804739,-1.04035,-0.945593,-1.54247,-0.809168,-2.10628,-1.80612,-2.02065,-1.45474,-1.66604,-1.55047,-1.59952,-1.10593,-1.39312,-1.62703,-2.27258,-1.29663,-1.59247,-0.442997,-1.17374,-1.32986,0.658024,0.362907,0.405972,0.42769,0.402326,0.579469,0.440558,0.55132,0.463276,0.305067,0.470441,0.435063,0.358053,0.637374,0.491806,0.530212,0.637257,0.433168,0.763522,0.728435,0.664402,0.762957,0.632428,0.798681,0.669417,0.779956,0.500999,0.765997,0.691794,0.690987,0.738918,0.720228,0.823823,0.691932,0.891512,0.858892,0.882949,0.810727,0.841048,0.824982,0.831952,0.751369,0.80109,0.835762,0.90658,0.785267,0.830963,0.608973,0.76382,0.790818
670.645,0.999739,0.037035,6,63,0,-634.749,-0.176675,0.605837,-0.50551,-0.969574,-0.207586,0.100926,-0.526543,0.573192,-1.05821,0.36028,-0.308584,-0.228064,0.523574,-1.00638,0.279729,-0.667008,0.663224,0.551376,-0.570826,-0.244627,0.799478,-1.31971,-0.0734893,-0.641114,-1.9223,0.646142,-1.09696,0.0190979,1.32783,0.243258,0.847133,-1.04123,0.106794,-0.327996,1.42767,0.40113,1.12702,0.523021,-0.298325,-0.432314,-1.36171,0.802631,-0.449529,-1.2011,-0.855319,0.6355,-0.575442,-0.127702,-0.291951,0.70851,0.909967,0.208333,-0.972886,0.931359,0.0947329,1.86779,0.494753,1.39565,9.71658,-1.1331,-0.320033,-0.703421,-0.657267,-0.226435,-1.10339,-0.366205,-0.908867,-0.146388,-0.210499,-0.853736,-0.666761,-0.0682883,-1.28299,-0.568667,-0.894025,-1.62839,-0.15618,-1.15531,-0.515596,0.23456,-0.38711,-0.0409727,-1.12337,-0.465329,-0.714548,0.291789,-0.296619,0.119454,-0.226752,-0.697541,-0.774342,-1.30707,-0.0664814,-0.78421,-1.215,-1.01681,-0.162279,-0.856382,-0.599741,-0.693887,-0.120431,-0.00495709,-0.407128,-1.08419,0.00730465,-0.472243,0.54406,-0.242955,0.273432,-0.433362,0.524395,-0.0174372,-0.0222808,0.777151,-0.164916,0.392123,-0.237708,0.589524,0.743158,-0.052358,0.336824,0.790609,-0.55431,0.13143,-0.136053,-0.885247,0.63073,-1.7836,-1.02813,-0.423017,-0.971987,-0.647909,-1.56391,-1.02162,-1.41482,-0.228334,-1.113,-0.73274,-0.963908,-1.08057,-1.43192,-2.07245,-0.643768,-2.15111,-2.48133,-2.23937,-1.43549,-2.16541,-1.7572,-1.85134,-1.33576,-1.16965,-1.60111,-2.57408,-1.23697,-1.69481,-0.440127,-1.30672,-1.079,0.606676,0.371825,0.504359,0.50557,0.314934,0.541136,0.403206,0.559149,0.356744,0.322314,0.513087,0.416581,0.312038,0.635135,0.46719,0.533961,0.707908,0.347345,0.85614,0.736553,0.604205,0.725515,0.656539,0.826914,0.735289,0.804525,0.556837,0.752687,0.675406,0.723903,0.746601,0.8072,0.888196,0.655605,0.895772,0.922823,0.90373,0.807755,0.8971,0.852858,0.864285,0.791792,0.763082,0.832174,0.929175,0.775035,0.844856,0.608289,0.786964,0.746304
671.692,0.962327,0.037035,6,63,0,-639.21,-0.116467,0.483464,-0.360968,-0.859489,-0.272442,0.0871237,-0.593897,0.511163,-1.40879,0.401363,-0.139446,0.180405,0.562301,-0.761143,0.435198,-0.593261,0.470501,0.606933,-0.735816,0.00587138,0.869281,-1.09306,0.0408611,-0.501722,-1.85866,0.454636,-1.16687,-0.145455,1.01121,0.379342,0.993577,-0.820902,0.182654,-0.274697,1.36395,0.3181,0.989502,0.517304,-0.0856884,0.00564648,-1.44019,0.618754,-0.717427,-0.728183,-0.834223,0.16535,-0.534025,-0.33598,-0.13895,0.712788,0.880021,0.152258,-1.0667,0.992617,0.550917,1.32116,0.382655,1.37341,9.59676,-1.31402,-0.388734,-0.665176,-0.50168,-0.306469,-0.982965,-0.371439,-0.89715,-0.353394,-0.283655,-0.970019,-0.590895,-0.149552,-1.15263,-0.57301,-0.850358,-1.54397,-0.361503,-1.19036,-0.668248,-0.0770015,-0.399991,-0.0860166,-1.01351,-0.50053,-0.734311,0.103305,-0.431296,-0.0880997,-0.32947,-0.637697,-0.59101,-1.33007,-0.277612,-0.960619,-0.966117,-1.02032,-0.509375,-0.866871,-0.765637,-0.664923,-0.229546,-0.144062,-0.516068,-1.13915,-0.0865073,-0.312288,0.0814321,-0.398297,0.108142,-0.682574,0.432603,0.0388812,0.0901131,0.723751,-0.0381974,0.427565,-0.257883,0.325524,0.771705,-0.159848,0.439324,0.690774,-0.483207,0.104236,-0.0971556,-0.855561,0.429678,-1.64238,-0.96836,-0.612809,-0.79505,-0.555361,-1.26448,-0.903412,-1.23548,-0.252104,-1.13018,-0.78866,-0.969718,-0.858509,-1.12682,-1.91669,-0.617375,-2.22616,-2.19034,-2.14177,-1.69729,-2.05646,-1.80164,-1.70092,-1.3415,-1.18956,-1.64534,-2.56611,-1.23644,-1.43374,-0.772498,-1.35667,-1.13841,0.664313,0.393505,0.490281,0.477487,0.326568,0.509548,0.394708,0.564116,0.41933,0.31611,0.539877,0.391902,0.333861,0.618505,0.473965,0.52427,0.701732,0.394203,0.837859,0.724792,0.648581,0.688915,0.635379,0.779796,0.71165,0.774777,0.562694,0.755873,0.687543,0.725063,0.702349,0.755251,0.871769,0.649621,0.902574,0.899379,0.894897,0.84518,0.886598,0.858348,0.845655,0.792737,0.766662,0.838261,0.928648,0.774944,0.807483,0.684061,0.795218,0.757388
669.986,0.997357,0.037035,7,255,0,-644.104,-0.533945,0.518406,-0.259602,-0.814137,-0.272648,-0.0937294,0.000653595,0.456496,-0.933536,0.688649,-0.269598,0.211605,0.393731,-1.04464,-0.0590913,-0.787307,1.16977,0.810933,-0.358367,-0.518932,1.72167,-1.44151,-0.440533,-0.589579,-0.820363,0.512849,-0.105721,-0.0691796,1.97894,-0.770548,0.387593,-0.99314,-0.179679,-1.00771,1.85652,0.0524254,0.586116,0.573316,0.152341,0.230074,-1.33176,-0.229969,-1.36829,-0.465833,-0.132433,0.774192,-0.383871,-0.184993,-0.50162,1.79184,0.980169,1.43847,-1.47604,-0.002407,-0.764737,2.45133,1.43052,0.717378,9.39548,-0.425502,0.315019,-0.122417,0.0972503,0.18039,-0.476219,-0.0263214,-0.358749,0.534647,0.370841,-0.16294,-0.236237,0.78659,-0.657388,-0.200448,-0.268487,-0.373839,0.234767,-0.0476079,-0.0309266,0.904031,-0.351099,0.177589,-0.452711,-0.0813691,-0.459363,0.848148,0.0245856,0.268213,0.26237,0.0701967,0.105682,-0.607288,-0.104327,-0.623966,-0.211998,-0.0598015,0.354069,-0.174582,-0.083795,-0.228334,0.818623,0.448097,0.657312,-0.673152,-0.000445194,-0.348446,1.11968,0.653681,0.328134,-0.538232,0.392326,0.19936,0.125759,0.466738,-0.275388,0.390474,-0.282731,0.469426,1.04419,0.0841115,0.0501108,0.882901,-0.732111,-0.0864226,-0.078447,-0.429558,0.462815,-0.996647,-0.827936,-0.309771,-1.24313,-0.9697,-1.38146,-1.16214,-1.27667,-0.185119,-1.1715,-0.748627,-1.05595,-1.00929,-1.10812,-1.51011,-0.760097,-2.26185,-2.17037,-1.73441,-1.38705,-1.73646,-1.67289,-1.81742,-0.846482,-1.1505,-1.20604,-2.47257,-1.70356,-2.02305,-0.468125,-1.03864,-1.29075,0.631401,0.403157,0.450324,0.468602,0.385389,0.568415,0.403603,0.570216,0.384752,0.260343,0.478985,0.487475,0.292577,0.675268,0.521592,0.519602,0.605768,0.386318,0.730399,0.695918,0.576829,0.776108,0.72506,0.799225,0.761722,0.781882,0.546148,0.763416,0.67888,0.741916,0.732881,0.751778,0.819077,0.681375,0.905668,0.897557,0.849975,0.800121,0.850236,0.84196,0.860257,0.699829,0.759601,0.769598,0.922197,0.845999,0.883196,0.61494,0.738588,0.784274
653.367,0.90019,0.037035,6,63,0,-629.468,-0.387632,0.508155,-0.103482,-0.724165,-0.336611,-0.0770624,-0.273618,0.459315,-0.844649,1.40202,-0.301654,0.106513,0.671247,-1.07317,-0.0784118,-0.663759,1.02373,0.660767,-0.576821,0.215993,1.57182,-1.76638,-0.769693,-0.379178,-1.25283,0.288077,-0.267087,-0.192024,1.34789,-0.898726,0.205845,-1.00033,-0.421032,-0.888538,1.65845,0.424899,0.444121,0.217879,0.751465,0.567384,-1.19962,-0.610939,-1.69804,-0.6371,0.13981,0.749389,-0.508188,0.376439,-0.337888,1.97992,0.887237,1.43994,-1.4078,0.415126,-0.598354,2.29817,1.28199,0.649664,9.69503,-0.661578,0.370349,-0.412172,-0.224695,0.0346961,-0.766543,-0.309634,-0.578492,0.196598,0.0298825,-0.53856,-0.174409,0.448343,-1.08494,-0.62715,-0.44778,-0.849064,-0.1413,-0.396295,-0.361817,0.345487,-0.686416,-0.17907,-0.733084,-0.467004,-0.681737,0.488132,-0.0784554,-0.0696263,-0.173543,0.0715415,-0.0130096,-0.824621,-0.554231,-1.05355,-0.566248,-0.209401,0.0705882,-0.507036,-0.100713,-0.428815,0.635791,0.133904,0.387767,-0.920242,-0.0829441,-0.548451,0.781968,0.315221,0.0247829,-0.583736,0.682811,0.1248,-0.0111353,0.60524,-0.301579,0.344649,-0.306278,0.333095,1.0009,-0.0551882,0.396135,0.784267,-0.960177,-0.308011,-0.0347937,-0.700836,0.31861,-1.04072,-0.818549,-0.587161,-1.26046,-1.0296,-1.3138,-1.23542,-1.20218,-0.221627,-1.02789,-0.836419,-1.23523,-0.656625,-0.945658,-1.45064,-0.875246,-2.52315,-2.3542,-1.68567,-1.4878,-1.88278,-1.4714,-1.79951,-0.828747,-1.24852,-1.28287,-2.58926,-1.59441,-2.02472,-0.548474,-1.14426,-1.42135,0.641927,0.335634,0.46884,0.502784,0.353146,0.574828,0.414681,0.575977,0.417488,0.268764,0.513794,0.402241,0.313401,0.723157,0.5764,0.508698,0.668373,0.421014,0.738989,0.693928,0.642713,0.779105,0.736839,0.788149,0.774766,0.768912,0.555181,0.736506,0.69771,0.774733,0.658502,0.720241,0.810097,0.705836,0.925749,0.913267,0.843654,0.815748,0.86793,0.813271,0.858089,0.69609,0.777043,0.782939,0.930167,0.831235,0.883368,0.633782,0.758461,0.80555
642.636,0.806714,0.037035,7,127,0,-614.252,-0.300841,0.350289,-0.198803,-0.617365,-0.396029,0.0887829,-0.425472,0.315914,-1.18858,0.87687,-0.693258,0.192668,-0.191925,-2.66287,1.18647,-0.552028,1.32875,0.687135,0.352909,-0.498326,1.76123,-2.09551,0.201928,-0.540043,-0.967525,1.18389,-1.25772,-0.873955,2.11699,-0.635354,1.10229,-2.59128,-0.302766,-1.1701,2.5267,1.01932,2.1038,0.884454,-1.23235,0.591786,-1.5021,-0.128939,-1.2339,-1.24353,-1.17431,-0.0979444,-0.725196,-1.51318,-0.804235,1.84471,1.04434,0.272387,-0.647096,0.514845,-0.547528,1.25703,0.4903,2.90455,9.01854,-0.800962,-0.148456,-0.644482,-0.364605,-0.486104,-1.26671,-0.05065,-0.599865,-0.0056997,-0.208396,-0.313983,-0.5829,0.130927,-1.08747,-0.36168,-0.596079,-0.731127,-0.0514633,-0.822803,-0.701566,0.243316,-0.626189,-0.0772434,-1.24409,-0.52112,-0.795122,0.372747,-0.103455,0.239149,-0.14606,-0.814787,-0.238518,-0.900006,-0.466205,-0.815279,-0.818321,-0.796453,-0.456414,-0.654571,-0.903507,-0.679541,0.157299,-0.0955511,-0.339421,-0.629898,-0.262825,-0.598443,-0.0283582,-0.270579,0.492117,-0.442831,0.485709,-0.105072,-0.0262488,0.451699,-0.453122,0.626776,-0.1925,0.42144,0.841677,0.341813,0.354903,0.792696,-0.674136,0.100892,-0.0230934,-0.290186,0.576729,-1.32338,-0.981311,-0.416904,-1.04395,-0.640851,-1.49026,-0.988116,-1.32927,-0.0252399,-0.962871,-0.584835,-0.958099,-1.05498,-0.898738,-1.55837,-0.765724,-2.15444,-2.17314,-1.96402,-1.72059,-1.88332,-1.94686,-1.72289,-0.996464,-1.1527,-1.55622,-2.20369,-1.47179,-1.76601,-0.844907,-1.23895,-0.819437,0.608933,0.380905,0.526244,0.506562,0.388957,0.611381,0.348242,0.547977,0.396172,0.301182,0.415369,0.412194,0.31159,0.662429,0.474798,0.505773,0.572042,0.359686,0.789743,0.727368,0.602742,0.739612,0.654946,0.816118,0.728716,0.79072,0.50631,0.723696,0.642179,0.722741,0.741731,0.71069,0.826119,0.682595,0.896083,0.897811,0.876967,0.848205,0.867991,0.875103,0.848501,0.730363,0.760004,0.82581,0.90058,0.81333,0.853961,0.699498,0.775381,0.694117
