# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim2_model
# start_datetime = 2022-03-02 21:02:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp42VRKT/standata-35907ccd2b33.json
# init = 2 (Default)
# random
#   seed = 1892535540
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim2-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim2-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0635456
# Diagonal elements of inverse mass matrix:
# 0.145699, 0.108267, 0.0945206, 0.116033, 0.0227169, 0.0162077, 0.152104, 0.0222273, 0.249991, 0.216469, 0.2632, 0.244628, 0.253136, 0.242267, 0.175677, 0.245397, 0.207544, 0.396563, 0.247815, 0.308337, 0.212626, 0.25367, 0.32488, 0.221188, 0.290259, 0.298091, 0.303064, 0.271386, 0.318137, 0.228178, 0.235646, 0.341584, 0.316089, 0.286311, 0.300574, 0.281232, 0.334527, 0.26759, 0.289435, 0.329783, 0.00650655
219.538,0.928539,0.0635456,7,127,0,-202.895,0.240406,0.17283,-0.65236,-0.946963,-0.169632,0.149503,-0.965457,0.664149,-1.96587,-0.546284,0.144152,-0.605744,0.845485,0.761191,0.117266,0.834904,-0.31949,2.01243,-0.167284,0.118844,-0.201229,0.297839,-0.369449,1.07931,-0.185849,-0.566092,0.627033,0.149995,-0.482615,0.485002,0.341455,2.10588,0.204817,0.51645,0.413465,-0.733677,-0.71415,0.511812,0.829812,-1.65176,8.54953,-2.27108,-1.32827,-0.869718,-1.36776,-0.40393,-0.459913,-0.887575,-0.410957,-1.17765,0.371095,-1.07656,-0.886527,-1.0991,-0.767648,-1.21083,-0.248634,-1.08889,-1.34143,-0.549014,-0.865838,-1.28598,-0.643344,-0.73868,0.433163,-0.829428,-0.622458,-0.690855,-1.45273,-1.43976,-0.625538,-0.414338,-2.06247,-1.55294,-0.700897,-0.417783,-0.526046,0.242519,0.291029,-0.247233,0.553949,-0.368727,1.12128,-0.137587,-0.220628,-1.42011,-0.874314,-1.75914,-0.472385,-1.44269,-1.69523,-1.05194,-0.966021,-1.51584,-0.983802,-1.41264,-0.0134921,-1.41873,-1.47186,-1.47504,-2.06185,-2.38642,-1.37082,-1.25688,-3.04155,0.825338,0.668387,0.602953,0.62856,0.439666,0.427752,0.561495,0.364949,0.591151,0.245773,0.534343,0.554934,0.805356,0.705643,0.853102,0.615948,0.808871,0.844911,0.741148,0.724326,0.819925,0.727862,0.804183,0.503373,0.805139,0.81334,0.813822,0.88714,0.915786,0.797513,0.778488,0.954416
224.325,0.998763,0.0635456,6,127,0,-200.472,-0.805687,0.0492993,-0.106519,0.110275,-0.670201,0.0693687,-0.211846,0.52995,-1.27915,0.299404,0.671535,0.0670463,-0.559836,2.07508,0.708435,1.34039,-0.900081,1.61292,-0.762449,0.147371,-0.0325313,0.0439979,0.413844,1.52705,-0.419728,-1.24845,-0.420855,-0.125779,0.94871,1.61739,0.0102795,1.96465,-0.0322764,-0.182734,0.650371,-1.28351,-1.36058,-0.379189,1.25963,-1.64772,10.9274,-0.889732,-0.0531767,0.144034,-0.176314,-0.50853,0.887844,0.163589,0.498494,-0.688843,0.642923,-0.615905,-0.133746,-0.229086,-0.188529,0.00747089,0.597413,-0.43428,-0.87346,-0.434878,-0.278502,0.290923,0.645292,-0.206398,0.829322,-0.22895,-0.308685,0.132818,-0.892039,-0.932884,-0.412797,0.455693,-1.08505,-0.96275,-0.484829,-0.459453,-0.28243,-0.343516,0.423094,-0.216829,0.879096,-0.403227,1.2178,-0.33777,0.108118,-1.30327,-0.937181,-1.44349,-0.0925241,-1.11674,-1.55592,-1.70652,-1.00154,-0.944447,-0.505746,-1.29434,0.118146,-1.50369,-1.56847,-1.39061,-1.72382,-2.57691,-1.78253,-1.29829,-2.85717,0.723672,0.618887,0.612884,0.570142,0.585044,0.395777,0.553996,0.293365,0.599463,0.228323,0.583649,0.472997,0.786385,0.71853,0.808994,0.523115,0.753383,0.825767,0.846384,0.731361,0.719997,0.623809,0.784881,0.470498,0.818125,0.827565,0.80069,0.84862,0.929361,0.856008,0.785546,0.945688
221.465,0.992918,0.0635456,6,63,0,-207.771,-0.199152,-0.394628,-0.216442,-0.275042,-0.730791,0.186006,-0.746699,0.522983,-1.71271,0.587403,1.57453,0.34864,0.938379,1.91643,0.908294,1.1091,-0.43816,1.45785,-0.0683779,0.871048,-0.475006,0.370561,-0.0170984,1.45999,-0.000997451,-1.55165,0.441124,0.289262,1.21202,0.406432,-0.431328,2.31566,-0.186519,0.269787,0.254557,-1.58024,0.0018928,0.232501,1.02132,-1.67752,9.12526,-1.64242,-0.439496,0.0767568,-0.564365,-0.255942,0.255565,-0.271676,-0.166657,-0.975849,0.0157311,-0.782459,-0.291155,-0.995119,-0.552901,-0.755641,0.016853,-0.74722,-1.55819,-0.515998,-0.595419,-0.112834,-0.534142,-0.972276,0.464351,-0.844245,-0.605604,-0.613569,-1.57314,-0.745709,-0.625104,-0.212567,-1.62401,-1.38068,-0.568817,-0.3503,-0.228354,0.15498,0.200519,-0.345132,0.700074,-0.323056,0.873576,-0.0274583,0.203565,-1.47697,-0.569424,-1.75869,-0.0460123,-0.912293,-1.72326,-1.32352,-0.58401,-0.660077,-1.09979,-1.76413,0.193699,-1.72941,-1.69519,-1.88027,-2.08566,-2.25428,-1.72421,-1.73067,-3.27225,0.7991,0.63849,0.58669,0.556842,0.461332,0.450038,0.585437,0.331796,0.580069,0.294511,0.506864,0.449284,0.814115,0.63863,0.853046,0.511501,0.713469,0.848548,0.789767,0.64199,0.659278,0.750222,0.853726,0.451726,0.849338,0.844905,0.867643,0.889502,0.905019,0.848671,0.849497,0.963464
223.197,0.862048,0.0635456,6,127,0,-200.637,-0.218243,-0.528214,-0.130234,-0.705624,-0.561428,0.525885,-0.669741,0.674555,-0.929511,-0.0766097,1.03072,-0.460064,0.59508,0.79227,0.466249,0.532849,-0.473323,2.03725,-1.63731,0.922664,-0.743165,-1.22639,-0.176191,0.382912,-0.231205,-0.394851,-0.907671,-1.30728,-0.734436,0.395581,0.188789,1.54616,-0.507511,0.474128,0.614178,-0.91458,-0.99188,-0.0419401,1.0108,-1.17068,10.2285,-1.29675,-0.721418,0.0255356,-0.980079,-0.268326,-0.135311,-0.35523,-0.310305,-0.989023,0.704496,-1.7742,-0.0473532,-1.17105,-1.49701,-0.788591,-0.411445,-0.825701,-0.93609,-1.28202,-1.55157,-1.16516,-0.4029,-0.542392,0.373227,-1.01208,-0.349915,-0.255444,-1.28668,-1.33882,-0.698032,0.012098,-1.45943,-1.00297,-0.72807,-0.592837,-0.246254,-0.242924,0.298086,-0.318963,0.831244,-0.394818,1.07324,-0.718485,0.0424262,-1.18744,-0.772928,-1.58838,-0.105953,-0.981716,-1.0921,-1.93159,-0.806032,-0.848801,-0.483672,-1.32731,0.371704,-1.48571,-1.74655,-1.40517,-1.857,-3.05735,-1.719,-1.33076,-3.28525,0.731642,0.674382,0.644016,0.561254,0.560434,0.426025,0.579071,0.303382,0.597442,0.254787,0.672273,0.489395,0.766283,0.684154,0.830388,0.526464,0.727449,0.748778,0.873425,0.691263,0.700316,0.618615,0.790395,0.408129,0.815433,0.851518,0.803003,0.864947,0.955099,0.848,0.790966,0.963919
220.516,0.820179,0.0635456,5,31,0,-197.815,-0.152341,-0.310019,0.110739,-0.757379,-0.571613,0.371952,-0.766804,0.626173,-1.37137,0.449597,1.19373,-0.373768,0.837767,0.778025,0.956732,0.0370904,-0.240842,1.58745,-0.502042,0.942749,-1.43114,-0.694931,-0.0704926,0.0598306,-0.490027,-1.60511,-0.588434,-0.984486,-0.432608,-0.665203,-0.0533933,1.13339,-0.228174,0.925326,0.419647,-1.12428,0.689533,0.632446,0.97041,-1.54274,9.81871,-1.62552,-0.485278,-0.0193243,-1.00085,-0.242217,-0.279626,-0.167724,-0.743579,-0.917613,0.227216,-1.08117,-0.17648,-1.66294,-1.20195,-0.810945,-0.72934,-1.07365,-1.77188,-1.13527,-1.38326,-1.03769,-1.18334,-0.800238,-0.0571052,-0.909681,-0.18739,-0.504033,-1.4708,-0.335037,-0.370783,-0.159159,-1.73283,-1.19225,-0.357885,-0.351276,-0.283017,0.0812849,0.132326,0.00336622,0.389372,-0.178462,0.900293,-0.0356124,0.212568,-1.52991,-0.478484,-1.31205,-0.268582,-0.919295,-1.61753,-1.48343,-0.637947,-0.729345,-1.11585,-1.73196,-0.354695,-1.68794,-1.57846,-1.80718,-2.18403,-2.05383,-1.54284,-1.65894,-3.56086,0.767143,0.588528,0.586927,0.570286,0.47969,0.466967,0.499158,0.403869,0.544498,0.28899,0.508902,0.447057,0.821994,0.61739,0.787856,0.566745,0.714898,0.834455,0.81509,0.654289,0.674662,0.753218,0.849663,0.587756,0.843953,0.828986,0.859021,0.898807,0.886334,0.823877,0.840096,0.972371
225.687,0.929975,0.0635456,6,63,0,-204.27,-0.596807,-0.282338,0.204263,-0.220139,-0.596121,0.302319,-0.394632,0.582832,-1.66071,0.172783,1.03263,-1.02206,0.299829,1.53304,0.330837,0.670496,-0.680355,1.96842,-0.807316,0.740963,-0.751374,-1.07705,-0.387245,0.186415,-0.80024,-0.875927,-0.300147,-1.3386,-0.644666,0.331451,0.034333,1.56294,-0.709555,0.154383,0.68311,-1.65798,-0.905796,-0.238582,0.863204,-1.96544,8.94616,-1.36255,-0.293929,0.207217,-0.99032,-0.219882,0.498873,-0.20181,-0.00384574,-0.791165,0.752627,-0.865162,0.037225,-0.832557,-1.02237,-0.620331,-0.285983,-0.861038,-0.90515,-0.569568,-1.17481,-0.770364,-0.201452,-0.374622,0.516299,-0.808183,-0.304653,0.00350612,-1.36096,-0.922559,-0.533685,0.108471,-1.54015,-1.39324,-0.643614,-0.535928,-0.809834,-0.279471,0.360366,-0.505925,0.609559,-0.502864,1.0576,-0.342897,0.0459917,-1.12856,-0.788201,-1.49208,-0.240209,-1.04923,-1.09334,-1.28182,-0.917857,-0.969115,-0.565811,-1.30009,0.166568,-1.65919,-1.62359,-1.30932,-2.05858,-2.58327,-1.7098,-1.40942,-3.31479,0.801109,0.65557,0.630865,0.692074,0.569417,0.410871,0.623851,0.35216,0.623132,0.257768,0.584894,0.488504,0.755573,0.687445,0.81639,0.559765,0.740626,0.74901,0.782759,0.714605,0.724943,0.637796,0.785851,0.458454,0.840129,0.835289,0.787399,0.886811,0.929777,0.84681,0.803674,0.964933
