# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim3_model
# start_datetime = 2022-03-02 19:31:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b43490b27.json
# init = 2 (Default)
# random
#   seed = 1234822480
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim3-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim3-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0883334
# Diagonal elements of inverse mass matrix:
# 0.16163, 0.108567, 0.106391, 0.102385, 0.0238497, 0.00958999, 0.153168, 0.0250728, 0.320403, 0.28171, 0.275648, 0.298068, 0.251193, 0.29742, 0.299763, 0.294616, 0.281683, 0.279103, 0.220796, 0.327552, 0.26542, 0.281555, 0.38773, 0.315397, 0.251778, 0.338456, 0.259071, 0.359336, 0.258752, 0.312711, 0.337522, 0.408013, 0.286434, 0.291091, 0.312948, 0.296989, 0.373332, 0.270297, 0.314821, 0.263269, 0.0109566, 0.222361, 0.651396, 0.877794, 0.539454, 0.793148, 0.791561, 0.71, 0.647147, 0.723218, 0.552567, 0.51852, 0.840957, 0.732451, 0.716885, 0.59871, 0.568166, 0.531587, 0.842111, 0.669302, 0.696501, 0.710046, 0.637805, 0.893252, 0.744794, 0.838668, 0.583439, 0.691118, 0.641382, 0.651458, 0.660379, 0.664506, 0.655956, 0.67151
124.137,0.855458,0.0883334,5,31,0,-80.0358,-0.893953,-0.165997,0.459313,0.317749,-0.367844,0.0954175,-0.112347,0.773876,-0.180683,-1.59964,1.19253,-0.369724,0.425551,1.11782,1.18292,-0.424762,1.28317,1.98485,-0.0169815,-1.38054,0.999436,-0.456239,-0.843541,0.411648,-0.80361,0.535119,-1.42879,-2.25224,0.952563,-3.05672,-1.06446,-1.25671,0.127144,-0.051251,0.141352,0.615761,-1.21324,0.461766,-1.03626,-0.388159,1.06573,0.570023,-0.596135,1.97118,0.195584,-0.00373694,0.248511,-0.381117,0.497789,-0.414019,-1.97503,-0.499356,0.294582,0.0975573,-0.63197,0.139949,0.354152,-0.20451,1.78262,-0.854869,1.33972,0.700687,0.231281,1.44519,1.13566,0.208092,0.529807,0.159409,0.335354,1.19661,-0.0992002,-0.733033,-0.801776,0.456159,-0.252172,-1.35027,0.810527,-0.398467,0.216977,0.752707,0.803087,-0.441059,0.880666,1.42368,-0.125488,-1.18071,0.661092,-0.465419,-0.765142,0.206218,-0.734241,0.301769,-1.21805,-1.8553,0.624819,-2.47787,-0.93611,-1.08489,-0.0139531,-0.152008,-0.00295794,0.364176,-1.05125,0.245003,-0.914283,-0.412733,2.06663,8.92943,3.24534,2.89678,3.34474,2.33611,3.85543,2.2927,0.94169,2.18384,3.43374,3.06897,2.02485,3.14403,3.55234,2.58353,8.01943,1.78325,6.23017,4.32814,3.31205,6.61622,5.54604,3.26856,3.92644,3.1791,3.51448,5.74212,2.74336,1.91149,1.83804,3.76502,-0.260614,-1.73887,0.127687,-0.932947,-0.686672,0.49499,-0.225953,-0.499958,0.377665,0.965642,-0.92423,-1.99843,0.463184,-0.82818,-1.48209,-0.566681,-0.997593,0.208768,-1.69122,-1.88285,0.292031,-3.03545,-1.20615,-2.26911,-0.703616,-0.832182,-0.526261,-0.264034,-1.99019,-0.193878,-1.67338,-0.782179,0.564787,0.850544,0.468122,0.717673,0.665226,0.378719,0.556249,0.62245,0.40669,0.27575,0.715903,0.880633,0.386231,0.69597,0.814887,0.637997,0.730585,0.447997,0.844384,0.867939,0.427507,0.95415,0.769616,0.906286,0.668989,0.696816,0.628611,0.565628,0.879763,0.548318,0.842026,0.68615
120.877,0.88622,0.0883334,6,127,0,-90.8356,-1.05801,-0.295494,0.395873,0.34376,-0.64968,0.14586,-0.0251568,0.57245,-0.681715,-1.83039,0.673716,0.308068,0.196568,0.750671,1.46016,-0.677511,1.51091,1.63865,0.715498,-0.146847,0.621572,-0.716128,0.304023,0.542638,-0.682187,0.206842,-0.20229,-2.05071,0.376019,-2.02112,-0.930385,-1.00055,0.297051,-0.204816,-0.0913603,0.666329,0.256203,-0.57525,-0.385808,-0.33404,1.20677,0.280867,-1.15847,1.27161,0.515242,1.28965,0.33044,-0.120754,0.936349,-0.119012,-1.66819,-0.524585,-0.390896,0.215285,0.0922842,-0.192296,-0.430669,0.464866,2.30081,-0.42136,0.310772,-0.052133,-1.09815,-0.301883,0.623207,0.590194,0.353838,-0.0914792,0.225352,1.35422,-1.74896,-1.28115,0.399489,0.0614694,-0.415404,-1.07296,0.360512,0.151197,0.0873683,0.404565,0.810712,-0.412998,0.83976,0.912889,0.38443,-0.109219,0.330662,-0.435104,0.148881,0.285476,-0.415674,0.0932497,-0.140958,-1.19909,0.190095,-1.18215,-0.557755,-0.597924,0.14489,-0.142404,-0.077456,0.356283,0.121506,-0.354458,-0.246012,-0.216378,2.41427,4.77753,3.86316,4.8018,3.66776,3.2312,4.34819,3.23279,2.09223,2.88473,2.99511,3.55103,3.43045,3.16693,2.96184,3.80889,6.37889,2.96959,3.64755,3.29408,2.45551,3.07093,3.9821,3.94535,3.69194,3.25788,3.56108,4.88968,2.0453,2.33249,3.73958,3.40088,0.0202545,-1.28608,-0.394941,-0.274231,-1.01274,0.377293,-0.488197,-0.0437914,0.401938,0.554473,-0.530397,-1.10289,0.0413085,-1.01562,-1.07985,-0.99675,-0.797949,-0.0108196,-0.8938,-1.21023,-0.33748,-2.10676,-0.753921,-2.40871,-0.792412,-1.04028,-0.788931,-0.540475,-1.27873,-0.894164,-1.32861,-0.610783,0.494937,0.783483,0.597472,0.568131,0.733556,0.40678,0.619682,0.510946,0.400847,0.364827,0.629576,0.750802,0.489674,0.734118,0.746465,0.730419,0.689536,0.502705,0.709674,0.77034,0.583578,0.891559,0.680033,0.917489,0.688349,0.738904,0.687602,0.631923,0.782233,0.709749,0.790611,0.648119
135.215,0.997396,0.0883334,5,31,0,-93.0385,-0.634673,-0.382909,0.393723,0.143186,-0.880592,0.158379,-0.368102,0.726229,-2.01411,-1.65516,1.20207,-0.723039,0.930182,0.889041,1.10704,-0.526263,0.509924,1.20811,0.141033,-0.512398,1.07118,-1.05455,-0.289145,1.23721,-0.55868,0.0304817,-0.977356,-1.28233,0.611676,-1.51222,-1.05754,-0.729683,-0.0497856,0.194654,0.509077,1.23537,0.46684,1.49355,-1.57968,-0.605349,1.31433,0.523999,0.67854,1.70718,-0.522004,-0.184048,-0.0486081,0.743194,-0.0329296,-0.671126,-1.14541,-0.857908,0.818852,0.547254,-0.341444,-0.148364,0.278003,0.319833,0.964159,0.553342,-0.648885,-1.73533,0.717349,-0.0201467,1.2855,0.946923,0.146103,0.354137,-0.140475,-0.560177,-1.52752,-0.438829,-0.212542,0.380526,-1.8308,-1.57012,0.504876,-0.893193,0.307423,0.277545,0.43586,-0.750289,0.00221921,0.50926,-0.26568,-0.74022,0.409819,-1.13395,-0.578088,0.530392,-0.773831,-0.345965,-1.07789,-1.29936,0.0761145,-1.46632,-1.13612,-0.898018,-0.404258,-0.226739,0.00160439,0.529056,-0.0290696,0.716555,-1.51531,-0.807724,5.31157,9.10565,2.83149,3.38006,3.62866,5.4946,3.65859,2.61866,2.04243,2.37451,5.71681,4.95845,3.11247,3.44385,4.30599,4.40141,6.16909,4.97429,2.64936,1.49933,5.42069,3.68318,7.30042,6.11362,4.01843,4.48124,3.45812,2.77542,1.67182,2.95763,3.32996,4.54364,-0.541281,-1.12064,0.179936,-0.652841,-0.40603,0.900277,-0.507726,0.488484,0.107802,0.722473,-0.727994,-1.38805,0.595501,-1.34291,-1.70498,-0.590366,-0.674775,0.0908554,-1.48111,-0.775918,-0.0610957,-2.14168,-0.964709,-2.9151,-1.2374,-0.967123,-0.643416,-0.367102,-1.529,0.343679,-2.58472,-0.944333,0.63211,0.754108,0.455137,0.65765,0.600136,0.288994,0.624273,0.380251,0.473076,0.326849,0.674365,0.800281,0.355374,0.792968,0.846184,0.643449,0.662572,0.477302,0.81474,0.6848,0.515269,0.894889,0.724064,0.948588,0.775111,0.724546,0.655525,0.590759,0.82186,0.414916,0.929872,0.719974
127.903,0.843523,0.0883334,5,31,0,-103.481,-0.460713,-0.561192,0.455006,0.306784,-0.750266,0.0638717,-0.315453,0.759233,-0.493964,-2.01324,0.953219,-0.0828945,0.369297,0.999271,1.32756,-0.909767,0.463292,2.15083,-0.229658,-0.140867,0.382699,-0.796113,0.604569,0.504061,-1.15945,-0.0348726,-1.18312,-1.3294,0.276323,-2.1743,-1.6679,-0.888721,0.00056167,-1.05688,-0.390766,1.00527,0.356385,0.384286,0.338299,-0.987105,1.2244,0.511889,-0.39509,1.05881,-0.281636,1.43897,0.851743,-0.642872,0.785851,-1.5121,-1.96328,-0.935764,0.852206,1.09857,-1.09226,-0.633722,-0.276863,-0.427558,1.20527,0.434234,1.56245,-1.71901,-0.742573,-0.353346,0.939646,-0.256277,0.765876,-0.161114,1.05698,1.432,-1.68281,-0.977957,-0.888362,1.35725,-0.690487,-1.84397,0.408263,-0.378389,-0.0350702,0.443227,0.692478,-1.00618,0.0362939,1.31753,-0.489817,-0.422404,-0.0248954,-0.919889,0.143556,0.0672472,-1.19574,-0.34193,-1.21372,-1.32478,-0.105659,-1.96625,-1.58178,-0.9902,-0.315027,-1.11787,-0.612136,0.447784,-0.0448734,-0.0236901,-0.0586055,-1.0649,2.7792,5.84975,2.94538,7.1064,5.26143,2.44813,5.08692,1.5689,1.24536,2.10728,5.26268,5.97003,1.94505,2.45963,2.95259,2.73339,6.30515,4.249,7.57008,1.41123,2.32632,2.83922,5.50358,2.98386,5.03517,3.13282,5.84426,7.08109,1.43762,2.06225,2.15904,6.81527,0.0400599,-1.75808,-0.236714,-0.328533,-0.868925,0.5346,-0.266382,-0.247802,-0.241876,1.13106,-1.1097,-1.34249,0.190753,-1.04048,-0.830179,-0.759126,-0.982833,0.0876889,-1.42875,-0.89242,-0.165116,-2.48422,-1.24198,-2.515,-0.831114,-1.48386,-1.18115,-0.335196,-1.20013,-0.289765,-0.84706,-1.0586,0.489986,0.852969,0.558904,0.581402,0.704522,0.369445,0.566205,0.561635,0.560176,0.243966,0.752073,0.792898,0.452456,0.738943,0.696393,0.681164,0.72767,0.478092,0.806706,0.709389,0.541185,0.923028,0.775909,0.925187,0.69659,0.815155,0.765154,0.583023,0.768549,0.571939,0.69995,0.742424
127.249,0.981456,0.0883334,5,31,0,-97.6507,-0.144528,0.182394,0.672803,0.383156,-0.555066,0.0263251,-0.980313,0.736758,-1.19412,-1.17918,1.52118,-0.472309,0.481857,0.968728,1.05292,0.0228009,1.07702,1.99942,0.271454,-0.102155,0.522529,-0.462785,-0.70514,0.744218,-0.274409,-0.263843,-0.742551,-1.52258,0.418494,-2.1053,-0.703729,-0.696886,-0.337547,-0.0527578,0.549197,0.982979,-0.707041,0.461031,-1.30464,0.005875,1.25329,0.415811,1.02159,2.32864,-0.532285,1.25289,0.335561,-0.917731,1.15156,-0.144131,-0.272562,0.561949,1.67907,-0.183475,-0.420651,-0.162198,-0.528909,-0.748638,1.27878,-0.722915,-0.392993,-0.627329,0.220812,0.922617,0.805436,0.605887,0.786182,1.36203,0.973145,0.572419,-0.404698,-0.838181,-1.43739,-0.517691,-1.86009,-1.84908,0.140429,-1.32829,-0.625301,-0.266595,-0.20457,-0.963514,-0.186807,0.492774,-0.780317,-1.05558,-0.595336,-1.32127,-1.49983,-0.432005,-1.18249,-1.1747,-1.52739,-2.10209,-0.671984,-2.53141,-1.49879,-1.49375,-1.229,-1.01918,-0.575688,-0.256096,-1.50123,-0.640645,-1.94152,-0.975985,5.35527,9.22177,2.80657,5.89591,4.0262,2.39095,5.65266,3.29815,3.12664,4.42362,7.03903,3.24464,2.93992,3.27347,2.81052,2.56511,5.95973,2.5927,2.97393,2.69782,3.83861,5.13936,4.89494,4.50518,4.85591,6.16963,5.24848,4.44292,2.95949,2.47136,1.92632,2.82366,-0.588503,-1.0335,0.394369,-0.497508,-0.469239,0.511187,-0.120062,0.349592,0.338506,1.08593,-0.465955,-1.00517,0.054846,-0.91985,-1.75051,-0.531808,-0.513401,-0.366219,-1.17491,-1.31251,-0.225332,-2.42397,-0.915824,-2.29026,-1.27924,-0.937443,-0.727863,-0.566572,-2.04527,-0.547773,-2.21419,-0.660679,0.643022,0.737593,0.402666,0.621874,0.615204,0.374915,0.52998,0.413481,0.416173,0.252385,0.614426,0.732073,0.486292,0.715011,0.852018,0.629905,0.625603,0.590545,0.764031,0.787932,0.556096,0.918637,0.71419,0.908067,0.78232,0.718583,0.674336,0.637972,0.885469,0.633619,0.901516,0.659413
127.251,0.976436,0.0883334,5,63,0,-93.311,-1.01164,-0.108823,-0.140008,-0.341367,-0.306112,0.177207,0.31953,0.689904,-0.24245,-1.60612,-0.442303,0.386562,-0.171484,0.6886,0.843304,-0.220047,-0.093876,1.01692,-0.714258,-1.24301,1.31238,-1.1641,0.021825,0.471957,-0.430953,0.860131,-0.1051,-1.03593,0.626383,-2.09908,-0.323759,-1.53072,0.606194,-0.345444,-0.686838,0.254478,-0.728893,0.675396,-0.0405069,-0.572922,1.18,0.322971,-0.0651421,-0.0695044,0.0785964,0.70656,0.618638,1.11142,0.197126,-0.785895,-0.387756,-0.95966,0.54605,0.424746,-1.16755,-0.27737,-0.57817,0.0487501,0.582504,0.63135,-0.828071,-2.39007,1.73875,-0.102616,0.489615,0.43815,-1.08297,0.660533,-0.242669,-0.494423,-1.31334,0.173428,-1.3767,2.39754,0.152263,-0.788542,0.0143839,0.586221,0.201223,0.794598,0.901329,0.167719,0.254765,1.02111,-0.173239,-0.538025,1.22495,-0.48359,0.334588,0.645135,0.0222142,0.912938,0.247021,-0.395163,0.751675,-1.12863,0.0961677,-0.73652,0.737746,0.0812073,-0.154322,0.495096,-0.183336,0.785489,0.291584,-0.0757306,3.18664,3.18215,3.33806,4.0886,3.97413,4.65974,3.46832,2.52485,2.87132,2.38706,3.88205,3.7329,2.23205,2.97553,2.70006,3.30603,3.92803,3.99048,2.49069,1.50393,5.7063,3.1483,3.81193,3.7491,2.29386,4.02827,3.00907,2.77408,2.12939,3.44188,2.08625,7.05925,0.200252,-1.15472,-0.498847,-0.0969554,-0.691365,0.732948,-0.193409,0.0759157,-0.108807,0.694952,-0.978526,-1.1635,0.46591,-1.37981,-0.758577,-0.690199,-0.889087,0.241201,-0.838882,-0.914636,-0.119607,-2.18699,-0.904249,-2.4977,-0.611875,-1.35832,-1.07209,-0.509977,-1.6426,-0.159832,-1.01802,-1.06107,0.450104,0.760372,0.622188,0.52422,0.666271,0.324548,0.548202,0.48103,0.527175,0.332932,0.726816,0.761968,0.385585,0.798961,0.681045,0.666011,0.708702,0.43999,0.69823,0.713948,0.529866,0.899075,0.711822,0.923981,0.648368,0.795486,0.744995,0.624801,0.837888,0.539873,0.734586,0.742895
