# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim3_model
# start_datetime = 2022-03-02 19:31:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b43490b27.json
# init = 2 (Default)
# random
#   seed = 1234822480
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim3-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim3-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0823482
# Diagonal elements of inverse mass matrix:
# 0.136509, 0.10392, 0.0896567, 0.0883772, 0.0226797, 0.012018, 0.15079, 0.0313661, 0.29706, 0.297942, 0.225108, 0.312595, 0.291918, 0.310803, 0.31617, 0.335426, 0.248603, 0.287159, 0.234646, 0.283501, 0.256414, 0.272523, 0.353856, 0.288635, 0.218969, 0.238594, 0.251851, 0.326517, 0.29201, 0.307512, 0.287929, 0.389213, 0.215417, 0.336852, 0.330482, 0.342465, 0.321152, 0.294517, 0.314396, 0.264844, 0.0111846, 0.369782, 0.646006, 0.959352, 0.523505, 0.666655, 0.695653, 0.533573, 0.609121, 0.550786, 0.63552, 0.572792, 0.983758, 0.632928, 0.686221, 0.59513, 0.498544, 0.593392, 0.8487, 0.725239, 0.597178, 0.553705, 0.601258, 0.822852, 0.64789, 0.687723, 0.695929, 0.78027, 0.796827, 0.674477, 0.647072, 0.509128, 0.664815, 0.690975
132.561,0.808059,0.0823482,5,63,0,-100.927,0.0126941,-0.109261,0.126413,0.133537,-0.582781,0.10242,-0.740071,0.706145,-1.14513,-2.85049,1.02108,-0.181931,0.381984,0.510897,0.882456,-0.747243,0.407541,1.2802,-0.174948,-0.853585,0.833734,-0.649478,-0.284199,0.913232,-0.371762,0.216063,-1.17556,-2.17907,0.242596,-1.72058,-1.17831,-1.25824,-0.280796,-0.316325,-0.000362465,0.586698,-0.882285,0.427757,-1.34567,-0.71857,1.29971,0.326506,0.386502,2.04089,-1.18525,1.20341,0.60906,1.10621,1.36757,-0.654859,-1.00457,-1.22941,0.789439,0.281194,0.465718,-0.657203,-1.14932,-0.910613,0.636684,0.149469,-0.517775,-1.73111,-0.370098,0.0781173,-0.104671,1.37055,-0.396314,0.916729,0.769708,0.577493,-0.164316,-1.25927,-0.679992,-0.449611,-1.5487,-2.75293,-0.0190376,-0.868541,-0.470335,-0.379303,-0.116929,-1.26773,-0.452288,0.163932,-0.863609,-1.34283,-0.151334,-1.1987,-0.940757,-0.0951966,-1.00259,-0.587499,-1.57019,-2.27881,-0.568763,-1.95505,-1.57213,-1.62857,-0.938353,-0.963442,-0.740327,-0.325777,-1.36309,-0.438013,-1.69031,-1.24749,4.16164,7.14259,2.49109,5.43378,4.47531,5.26404,5.73297,2.9621,2.64248,2.45543,4.7468,4.02098,4.27068,2.95984,2.5205,2.7248,4.51586,3.85171,3.09769,2.08443,3.25072,3.76301,3.545,5.73856,3.22301,4.94824,4.71632,4.42942,3.47663,2.43161,2.93789,3.16741,-0.125599,-1.88338,0.335601,-0.132599,-0.368023,0.600115,-0.164525,0.124178,0.187274,0.874725,-0.595093,-1.20188,0.265327,-1.04321,-1.39516,-0.540749,-0.64086,-0.00463269,-1.54087,-1.64101,-0.365794,-2.10823,-0.989585,-2.49438,-1.02063,-0.981933,-0.70529,-0.456946,-1.88905,-0.220473,-1.93134,-0.871187,0.531359,0.867999,0.416878,0.533101,0.590981,0.354317,0.541039,0.468995,0.453318,0.294272,0.644533,0.768859,0.434055,0.73947,0.801415,0.631987,0.654948,0.501158,0.823591,0.837672,0.590442,0.891701,0.729006,0.923747,0.735095,0.727491,0.66936,0.612289,0.868647,0.554896,0.873398,0.704993
132.811,0.915102,0.0823482,5,63,0,-96.8751,-0.475082,0.0547607,0.246268,0.412583,-0.584303,0.172517,-0.760705,0.599703,-1.35499,-0.919658,0.580731,-0.178579,-0.21525,0.834331,1.23259,-0.241959,0.233301,1.40892,-0.334114,-0.679425,1.12291,-0.812317,0.175053,1.62234,-0.426962,1.42521,-0.141043,-1.60571,0.973643,-2.79641,-0.771036,-0.883862,0.317143,-0.453307,-0.756038,0.393073,0.135579,0.839541,-0.213962,-0.284925,1.14177,0.463759,0.578242,0.701391,-0.620716,0.691843,0.587681,-0.180155,-0.564228,-0.342411,-0.595897,-0.423236,0.215341,0.253926,-0.162743,0.266942,-0.296227,0.895333,2.6513,-0.320767,-0.871602,-0.905642,0.584067,0.667846,0.37735,-0.110128,1.165,0.261997,1.31896,0.0180149,-1.58793,0.409477,-0.634512,0.100946,-1.5733,-1.31223,-0.412438,-0.867799,-0.889791,-0.260354,-0.0215151,-0.905808,-0.620794,0.0842261,-0.961074,-1.16816,-0.0872895,-1.24785,-0.655725,0.212219,-1.01676,0.0939987,-0.845289,-1.72365,-0.176808,-2.43772,-1.2231,-1.29076,-0.570513,-1.03255,-1.2141,-0.524977,-0.679398,-0.257229,-0.889018,-0.931575,4.09568,4.3364,2.3488,4.31724,4.11365,2.88124,2.41115,2.67239,2.37599,2.57407,3.46127,3.52376,2.9046,3.54509,2.73024,4.7445,10.7116,2.69935,2.09082,2.05807,4.10676,4.26946,3.73134,2.97634,5.37655,3.53697,5.77446,3.15858,1.49983,3.78735,2.33382,3.28243,-0.260494,-0.624247,-0.170886,-0.453438,-1.04088,0.677438,-0.392737,0.305893,-0.0935748,0.682862,-0.945529,-1.14086,0.101836,-1.32059,-1.27011,-0.532951,-0.952536,0.449763,-1.11435,-1.24298,-0.201933,-2.81993,-0.778313,-2.29812,-0.792285,-1.2602,-1.10877,-0.586281,-1.27618,-0.0387445,-1.20013,-0.623747,0.564758,0.651184,0.542618,0.611456,0.739021,0.336833,0.596942,0.424117,0.523377,0.335623,0.720215,0.757837,0.474563,0.78928,0.780762,0.630171,0.721625,0.389417,0.752939,0.776083,0.550312,0.943743,0.685316,0.908721,0.688322,0.779061,0.751899,0.642511,0.781799,0.509685,0.768549,0.65107
129.838,0.998254,0.0823482,5,31,0,-105.99,-0.541834,0.0637071,0.145262,0.306841,-0.605848,0.131308,-0.548068,0.743621,-1.25204,-1.30006,0.97048,-0.12993,0.0985878,1.10295,1.49578,-0.807255,0.345643,1.57709,-0.837708,-0.522459,1.00538,-0.546235,0.476228,1.60527,-0.56488,1.09034,-0.306045,-1.54397,1.45705,-2.63194,-0.861943,-0.796131,-0.527113,0.0655028,-1.09211,0.528645,0.464941,0.870278,-0.60275,-0.155394,1.19414,0.525174,-0.260958,0.334193,-0.271001,0.952082,-0.22553,-0.638378,-0.308617,-0.29121,-0.986265,-0.260002,0.365986,0.79797,-0.405836,0.463158,0.0123088,1.32166,2.14374,0.115782,-0.31641,-0.312435,0.324518,1.40178,-0.16593,0.652544,0.590651,0.732296,0.451617,0.35417,-1.88391,-0.219309,-0.887852,0.468232,-1.47911,-1.51482,0.173602,-0.644686,-0.474756,0.272109,0.564224,-1.14836,-0.29104,0.624691,-1.17101,-0.93658,0.199557,-0.95426,-0.193935,0.645649,-0.968125,0.262733,-0.775649,-1.6962,0.535429,-2.50523,-1.18903,-1.14009,-0.94004,-0.499358,-1.36019,-0.154956,-0.202328,0.0990899,-0.996285,-0.663622,2.87799,3.93397,2.86285,5.44201,2.93204,2.36051,2.80685,2.83262,1.96635,2.87943,4.00021,5.01891,2.66714,4.20964,3.32212,6.60772,10.1754,3.50765,2.79538,2.80122,3.91403,6.89171,3.02526,4.64987,4.50116,4.84876,4.18421,3.97546,1.22723,2.94163,2.07065,4.22088,-0.302924,-0.938917,0.239043,-0.257353,-0.721298,1.01189,0.137007,-0.029427,0.0706011,1.06038,-1.24476,-1.09329,0.141194,-1.28414,-1.13301,-0.333889,-1.10843,0.377153,-1.26152,-1.49983,0.254916,-3.156,-0.945601,-2.40235,-1.38775,-0.905592,-1.61144,-0.578989,-1.08644,0.0127319,-1.5842,-0.609772,0.575157,0.718881,0.440522,0.563986,0.672893,0.26661,0.465802,0.507356,0.482357,0.257236,0.776392,0.749,0.46476,0.783154,0.756393,0.582705,0.751836,0.406814,0.779288,0.81755,0.436614,0.959144,0.72023,0.917006,0.800233,0.712097,0.833611,0.640835,0.747712,0.496817,0.829799,0.647889
126.196,0.930504,0.0823482,6,63,0,-100.116,-0.101749,-0.240184,-0.462519,-0.717687,-0.139518,0.140165,-0.075063,0.857148,-0.721901,-1.1001,0.0603905,-0.17668,-1.08801,1.08919,0.442273,-0.349698,0.295024,0.67383,-1.43107,-1.24349,0.822485,-1.36884,-0.910811,0.0531928,-0.629618,1.30404,-1.71827,-1.71955,0.296318,-1.16233,-0.277775,-1.74982,-0.125478,-0.142628,-0.793219,0.0511086,-1.49935,0.916349,-1.16995,0.149759,1.26676,0.359683,0.455954,1.29247,-0.604898,1.35102,1.31437,0.161883,1.09103,-1.10197,-1.5704,-0.935249,1.08795,0.374448,0.874057,0.457354,-0.830568,-0.326945,0.633217,0.237994,1.1325,-0.472577,-0.306409,-1.36216,0.504663,-0.259064,-1.3182,0.96833,-0.949845,0.341092,-0.39845,-1.00483,-0.291362,-0.0105017,-0.693839,-1.01801,-0.0232995,-0.226503,-1.00765,0.858533,0.30403,-0.374806,0.177817,0.502509,-1.3017,-1.14092,0.629928,-1.24836,-0.855763,-0.029469,-0.614739,1.04269,-1.54788,-1.54897,0.178925,-1.07135,-0.313157,-1.57492,-0.182616,-0.197316,-0.754969,-0.0312554,-1.36023,0.710383,-1.07788,0.0533027,4.18187,5.6499,2.85533,5.77016,5.69458,3.76213,5.25502,2.38787,2.01761,2.53544,5.24921,4.06105,4.86051,4.18398,2.63272,3.15555,4.45718,3.86655,5.334,2.99451,3.17895,2.17454,4.25578,3.23354,2.20919,5.02815,2.52216,4.01262,3.07543,2.47277,3.1962,3.53595,-0.325027,-0.897362,0.0897228,-0.369133,-1.18632,1.23677,-0.0261786,-0.129106,0.359049,0.700795,-1.44058,-1.07905,0.363397,-1.57742,-1.21518,-0.61806,-1.01007,0.815951,-2.02278,-1.64692,-0.138763,-1.4743,-0.912494,-2.52099,-0.941111,-1.05619,-1.13844,-0.454519,-2.1093,0.254955,-1.75874,-0.479764,0.580549,0.710407,0.477584,0.59125,0.766083,0.224998,0.506544,0.532232,0.41119,0.331636,0.808545,0.746315,0.410137,0.828839,0.771214,0.649777,0.733033,0.306624,0.883168,0.838474,0.534635,0.813711,0.71351,0.9256,0.719324,0.741961,0.757394,0.611713,0.891803,0.436604,0.853052,0.617692
128.164,0.846808,0.0823482,6,63,0,-81.4699,-0.742348,0.0530285,0.146714,0.220758,-0.349893,0.156989,-0.400371,0.455571,-1.08861,-2.10273,0.0302395,0.262496,0.923586,1.24102,1.08952,-0.438913,0.669495,2.56874,0.151956,-1.5486,1.85455,-0.593967,-0.680778,1.45992,-0.744735,-0.153801,0.45057,-0.955202,0.7886,-2.18239,-0.788145,-1.21145,-0.483246,-0.020411,-0.948835,0.695465,0.189819,0.827713,-0.663884,-0.324496,1.15751,0.499478,0.178486,1.57544,-0.280725,1.35851,-0.627744,-0.305692,0.680934,-0.530763,-0.948814,-0.754596,1.14286,0.0574584,0.185379,-0.415757,0.0606409,0.892447,0.995954,0.058103,-1.14377,-1.42534,-0.717557,0.166466,0.418407,0.104888,0.506244,0.468544,0.717809,0.805076,-1.3471,0.0337421,-0.619029,1.32197,-0.896311,-1.35832,-0.386595,-0.280786,0.0203882,0.165001,0.095983,-0.600327,-0.0953687,0.769875,-0.331144,-1.10587,0.444507,-0.670966,-0.710514,0.264726,-0.739651,-0.470439,-0.195105,-0.835534,-0.0411077,-1.39461,-0.759428,-0.952274,-0.620524,-0.40967,-0.832633,-0.0835371,-0.313895,-0.0232888,-0.702818,-0.548203,3.47871,6.98951,2.7657,6.27177,2.32557,2.73143,4.47105,2.441,1.981,2.1828,5.63134,3.27465,3.49071,2.58532,3.27986,4.96925,5.23292,3.2757,1.79718,1.5614,2.22356,3.45789,3.92159,3.35315,4.09747,4.02103,4.55416,4.75706,1.62363,3.23609,2.33572,6.15833,-0.386753,-1.2766,-0.518524,-0.470279,-0.45403,0.503677,-0.563935,-0.204993,-0.0562347,0.851775,-0.705776,-1.36609,0.206508,-1.06577,-1.37599,-0.586431,-1.10613,-0.60865,-0.761156,-0.845267,-0.407404,-1.97473,-0.923564,-1.98598,-1.18381,-1.03016,-1.03899,-0.389683,-1.04806,-0.215573,-1.26592,-0.740668,0.595501,0.78187,0.626803,0.61545,0.611597,0.376677,0.637363,0.551069,0.514055,0.299061,0.669467,0.796748,0.448556,0.743792,0.798346,0.642546,0.751407,0.647633,0.681605,0.699573,0.600465,0.878118,0.715768,0.879317,0.765632,0.736946,0.738655,0.596206,0.740402,0.553686,0.780044,0.677142
129.673,0.998274,0.0823482,6,63,0,-88.7259,0.0480755,0.261753,-0.06059,-0.155106,-0.302519,0.148569,-0.964429,0.587413,-0.526813,-1.27271,-0.4723,0.287646,0.69626,1.18385,0.851557,0.374444,0.316622,0.784688,-0.976734,-1.54689,1.39243,-0.590198,-0.311215,0.54539,0.307356,0.954418,-1.22175,-1.2782,0.81915,-2.27415,-0.158203,-2.23664,-0.147424,0.0500122,0.422273,1.17521,-1.74611,0.853829,-0.723609,-0.520581,1.19898,0.455503,0.952191,0.682974,-0.949343,-0.48159,-0.262642,-0.149422,1.00643,-0.393994,-0.816226,-0.645129,1.86222,1.37969,0.270868,-0.0707279,-0.395417,-1.30755,1.28271,-0.59358,1.09695,-0.662098,1.22517,-0.34583,1.52749,1.00178,0.745109,0.222499,0.367354,-0.380451,-0.327536,-0.800882,-1.03367,0.781099,-1.27389,-1.71203,-1.24186,-0.795462,-0.555437,-0.26902,-0.464214,-0.744476,-0.778441,-0.503494,-1.53818,-1.87309,-0.146496,-1.31112,-1.14724,-0.64406,-0.783885,-0.403792,-1.6821,-1.71526,-0.48325,-2.3003,-1.05736,-2.27826,-1.05103,-0.935052,-0.71638,-0.274093,-1.99012,-0.462879,-1.38949,-1.27023,5.11772,4.52709,2.15234,2.66344,2.94276,3.09851,5.24574,2.77186,2.28688,2.47224,7.74641,6.21793,3.75228,3.21159,2.77006,1.82831,5.94924,2.53098,5.46653,2.45321,5.79533,2.83334,6.65094,5.23463,4.65705,3.67052,3.92087,2.78901,2.85705,2.30292,2.07124,4.73403,0.111004,-0.709892,-0.411607,-0.0534831,-0.0469685,0.980961,-0.128965,0.52882,0.199719,0.511642,-0.943431,-1.15376,0.175875,-1.12433,-1.18163,-0.864665,-0.585433,0.00485482,-1.6562,-1.1827,-0.271806,-2.27373,-0.842499,-2.81523,-1.18127,-1.12759,-0.499516,-0.143505,-2.25527,-0.246683,-1.50674,-1.06702,0.472277,0.670377,0.601473,0.513368,0.51174,0.272701,0.532197,0.370792,0.450236,0.374809,0.719792,0.760197,0.456144,0.75479,0.765241,0.703634,0.642317,0.498786,0.839727,0.765432,0.567536,0.906678,0.698991,0.943493,0.765176,0.755394,0.622346,0.535815,0.905104,0.56136,0.818577,0.74403
