# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim3_model
# start_datetime = 2022-02-21 13:31:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpwju1ZW/standata-4c9cc49521.json
# init = 2 (Default)
# random
#   seed = 633367034
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim3-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim3-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0712767
# Diagonal elements of inverse mass matrix:
# 0.158363, 0.110793, 0.0774436, 0.0938225, 0.0166537, 0.00816647, 0.15522, 0.0351469, 0.324608, 0.243029, 0.294204, 0.354693, 0.346152, 0.280858, 0.350062, 0.319153, 0.271937, 0.410962, 0.280124, 0.376061, 0.273237, 0.255268, 0.281341, 0.226171, 0.405452, 0.254652, 0.301748, 0.370594, 0.216108, 0.346661, 0.423354, 0.452109, 0.458765, 0.343098, 0.329505, 0.364804, 0.385386, 0.233208, 0.258002, 0.353399, 0.0193026, 0.0522082, 0.270184, 0.327585, 0.339036, 0.489645, 0.349132, 0.486114, 0.380908, 0.296906, 0.41184, 0.349408, 0.310413, 0.334013, 0.45214, 0.362315, 0.333152, 0.401029, 0.426308, 0.586456, 0.337909, 0.31032, 0.425402, 0.319142, 0.553926, 0.41259, 0.408912, 0.633137, 0.287947, 0.400247, 0.348971, 0.469626, 0.430897, 0.41561
113.016,0.993976,0.0712767,6,63,0,-79.541,-0.0591446,0.311086,-0.601159,-0.43601,-0.316669,0.0487522,-0.345845,0.47972,-0.424413,0.56523,1.98435,-2.0738,-0.724782,0.446654,-1.18509,0.27237,1.49795,1.00636,-1.25819,-0.612362,-0.234564,2.18395,0.804233,0.419048,-0.71215,-0.0679476,0.0129056,0.410627,-0.48143,1.12275,-0.597601,-2.23498,-2.31353,-0.0326347,1.79069,1.22811,-0.553771,0.0332097,0.574814,0.151231,1.4574,0.465117,-1.24072,0.533787,-0.767078,2.67196,-0.555934,1.9049,-0.0485701,-0.154892,-0.0952528,0.0772381,-1.19938,-0.418982,1.38453,-0.0119528,-0.274488,0.676366,1.33335,2.14462,-0.256339,-0.535314,1.89917,-0.351394,-0.974715,-1.03582,0.235398,1.48512,-0.337419,2.12228,-0.423654,0.707994,0.431132,0.829926,-0.549445,-0.0746929,0.60609,-1.34069,-0.693538,-0.131576,-0.914356,-0.215184,0.372752,0.136928,-0.949426,-0.639608,-0.45837,0.70184,0.0399618,-0.144819,-0.687478,-0.378441,-0.339654,-0.148859,-0.576797,0.192763,-0.632526,-1.41801,-1.45569,-0.361501,0.513185,0.243306,-0.6115,-0.329914,-0.0700951,-0.273297,2.41168,5.50511,3.00604,14.8824,3.31623,10.4167,4.19886,3.99627,4.10867,4.45189,2.4585,3.53435,8.17737,4.27098,3.78004,5.88257,7.98502,11.6453,3.81208,3.34819,10.3889,3.64722,2.7293,2.65283,4.79173,8.56906,3.671,11.5249,3.52667,5.96974,5.24844,6.31809,0.353476,0.475583,1.11937,-0.933204,0.268157,0.331218,-0.305306,0.686004,1.13288,0.413377,-0.29509,0.0652139,-0.93962,0.104775,-0.725137,-0.835923,-1.71118,-0.56582,-0.913209,-0.512561,-1.22088,-0.639399,-1.24423,-1.86688,-2.37476,-1.21486,-0.249599,-0.153345,-1.24325,-0.857601,-0.502011,-1.25596,0.41254,0.383296,0.246128,0.717725,0.43336,0.417944,0.575739,0.334923,0.24363,0.398103,0.573242,0.483702,0.719023,0.47383,0.673737,0.697606,0.84699,0.637798,0.713656,0.625407,0.772219,0.654618,0.7763,0.866097,0.914882,0.771157,0.562078,0.538261,0.776129,0.702159,0.622932,0.778329
107.556,0.994728,0.0712767,6,63,0,-67.058,-0.49513,0.6704,-0.21808,-0.236662,-0.317958,0.160137,-0.66464,0.423548,-0.91829,0.0783966,1.09346,-2.2038,-0.833908,0.701523,-0.564391,-0.741266,0.866501,1.81894,-0.660923,0.0795651,0.842325,1.27883,1.6693,0.731822,-1.12696,-0.248651,0.378921,-0.900013,0.775109,-0.0802015,-0.544968,-2.89296,-0.764147,-1.29866,0.479955,1.1785,0.695965,0.485362,-0.349309,-0.076849,1.32479,0.643082,-0.342621,0.270129,-0.877495,0.740624,-1.00499,2.22455,-2.34161,-0.184595,0.97407,-0.784669,-0.478879,-1.24137,-0.558539,-0.573424,-0.0792032,1.66928,0.411901,0.190429,0.534963,0.142633,0.990287,-0.706723,0.121074,0.113981,0.294529,0.752387,-0.781265,-0.302061,-0.848938,1.5062,0.795038,1.64364,-1.05358,-0.631436,-0.201509,-1.59806,-1.01784,-0.367511,-0.903687,-0.978602,-0.297636,0.105768,-0.944573,-0.630941,-0.307875,-0.122993,0.0423883,-0.354679,-1.14196,-0.769956,-0.504149,-1.04584,-0.336344,-0.698609,-0.89546,-1.88995,-0.988293,-1.21468,-0.461356,-0.165491,-0.369866,-0.459066,-0.812589,-0.69719,3.01757,4.47498,2.13931,6.05612,1.97091,15.7266,0.834384,3.34035,7.03708,2.27091,2.76441,1.69296,2.62636,2.60134,3.5746,11.0041,4.90214,4.2514,5.30586,4.12271,7.11085,2.38764,4.06595,4.04744,4.54575,6.1021,2.27588,3.09732,2.17896,9.90857,6.27179,10.8242,0.108877,0.176942,0.458535,-1.04424,0.20363,0.0194691,-0.0362957,0.0709293,0.610264,0.416832,-0.142897,0.443798,-0.618931,-0.439149,-0.664857,-0.765256,-2.10887,-0.785945,-0.7967,-1.23887,-0.699711,-1.25082,-1.63309,-2.57526,-2.14572,-1.86139,-1.23949,-0.46482,-0.905248,-1.00115,-1.14733,-1.47373,0.472808,0.45588,0.387333,0.739667,0.449268,0.495133,0.509073,0.482275,0.351999,0.397275,0.535664,0.390836,0.649975,0.608056,0.660351,0.682494,0.891762,0.68696,0.689268,0.775367,0.668124,0.777441,0.836593,0.929253,0.895268,0.865459,0.775476,0.614157,0.712027,0.731285,0.759022,0.813623
122.461,0.94184,0.0712767,6,63,0,-75.6584,-0.541722,0.17382,-0.551677,-0.343615,-0.399745,-0.029737,0.182271,0.495794,-0.422601,0.483681,1.26958,-1.18497,-0.895745,0.945873,-1.04147,1.1756,1.70132,0.951789,-0.467475,1.48501,0.503601,1.00697,0.883947,1.05846,0.902638,-0.0665692,0.79483,1.174,0.35138,1.30926,-2.45842,-1.27774,-1.33013,0.334676,2.60161,0.177366,-0.546486,0.0576042,-0.0616228,0.230232,1.65792,0.849774,-1.33172,0.182421,0.340797,1.11954,-0.572251,1.26088,-0.139793,-0.236626,-0.115683,-0.521675,-0.221718,-1.02163,0.780486,0.181298,0.448751,0.317315,0.0492203,2.13001,-0.208114,-0.311357,1.19086,0.0883779,0.383612,-1.83701,-0.160912,0.841792,-0.348419,0.807478,-0.414135,1.55159,0.900172,0.1299,-0.0272524,0.422077,0.811721,-0.405231,-0.261834,0.651229,-0.334085,0.765126,1.02577,0.654162,-0.0495004,0.918528,0.431953,0.681522,0.620527,0.707049,0.629794,0.149266,0.576343,0.764331,0.356483,0.831393,-1.0366,-0.451224,-0.4772,0.348201,1.47213,0.270208,-0.0886738,0.210831,0.151719,0.296419,1.69258,6.12839,7.01125,13.5891,3.22725,15.3234,4.6605,4.29236,4.75697,3.36898,4.34708,2.20287,10.1874,6.12254,7.68487,6.87273,5.47253,32.0708,4.39763,4.02825,14.4383,5.6577,7.27104,1.10172,4.57761,10.7322,3.90336,10.4238,3.69136,19.6174,11.2781,5.86089,0.152768,0.156939,0.591158,-0.759341,-0.00762085,0.549495,-0.52503,1.03424,1.11682,0.225919,-0.0919997,0.7572,-0.617977,-0.605885,-0.696439,-0.699068,-1.01362,-0.529698,-0.681388,-0.137213,-0.990279,-0.752787,-2.16034,-1.27813,-1.89765,-1.35443,0.0663984,-0.764622,-1.42028,-0.898132,-0.927627,-1.56943,0.461882,0.460846,0.356369,0.681211,0.501905,0.365982,0.628323,0.262263,0.246601,0.443759,0.522984,0.319254,0.649758,0.647002,0.667398,0.667981,0.733728,0.629413,0.664048,0.534249,0.729143,0.679786,0.896631,0.782132,0.869626,0.794852,0.483406,0.682356,0.805382,0.710566,0.716594,0.827703
126.005,0.996904,0.0712767,6,63,0,-88.495,-0.671788,0.0338036,-0.66029,-0.196935,-0.387705,0.0494048,0.151567,0.486245,-0.0355,0.43313,1.35949,-0.984702,-0.731585,1.10486,-0.547297,0.632103,0.750882,1.801,-0.611661,1.25981,0.367595,1.21529,1.44311,0.933509,0.467211,-0.217158,1.19444,0.672898,0.651607,0.674891,-1.73178,-0.887467,-0.974284,-0.199633,2.74679,1.43572,-0.784059,-0.16899,0.410386,-0.886613,1.2841,0.784285,-1.67713,0.282007,0.180735,1.05007,0.195923,1.56437,-0.196301,0.170826,0.116788,-0.565971,-0.766754,-0.784488,0.991944,0.0209908,0.539606,0.474601,0.0958847,1.78526,0.0609489,-0.729929,1.03054,0.287083,0.00370493,-1.33785,-0.456565,-0.0902961,-0.452814,0.191844,-0.214743,1.85984,1.26273,0.901899,0.134305,0.362174,0.812614,-0.327239,-0.204162,0.688801,-0.114553,0.458924,0.516679,1.0273,-0.14585,0.764145,0.330308,0.742495,0.853273,0.605481,0.378746,0.0459752,0.732357,0.47876,0.468408,0.479729,-0.690501,-0.279959,-0.322173,0.0544966,1.48718,0.849678,-0.229677,0.0693966,0.351115,-0.279544,0.969236,4.50538,4.16138,8.22892,4.21125,12.3174,3.0961,4.12917,3.95782,2.31687,1.97931,1.95197,7.86219,3.67136,5.51408,5.24,3.89347,14.6472,3.78824,2.0373,8.1038,4.52336,3.62192,1.26471,2.52445,3.36451,2.53189,4.1978,3.05164,15.5296,9.7225,7.32611,0.262477,0.0585965,0.474023,-0.795355,-0.00403195,0.308967,-0.346173,0.595258,0.480313,0.409033,-0.311741,0.639497,-0.803118,-0.54301,-0.617391,-0.795157,-1.40853,-0.72766,-0.524365,-0.510749,-0.874664,-1.09361,-1.7122,-1.09202,-1.7099,-1.29391,0.270224,0.0707027,-1.29649,-0.859725,-0.471035,-1.78626,0.434755,0.485355,0.383664,0.68898,0.501008,0.423367,0.585689,0.355429,0.382178,0.399144,0.57731,0.34536,0.690641,0.632512,0.649625,0.688938,0.803535,0.674291,0.628168,0.624982,0.705715,0.749061,0.847122,0.748761,0.846823,0.784809,0.432852,0.482332,0.785243,0.702603,0.615629,0.856469
130.922,0.996007,0.0712767,6,127,0,-85.6244,-0.641758,0.21419,-0.191375,-0.217543,-0.484559,0.0668054,-0.278564,0.596896,-0.388099,1.53,0.674474,-0.542012,-1.00468,1.42705,-1.23645,0.325883,1.4218,2.24588,-0.970882,-0.0908629,-1.69761,0.461621,0.95947,0.279204,0.362861,-0.260086,0.082719,0.403768,0.911083,0.43892,-0.415233,-1.52344,-0.114996,0.00621408,2.02324,0.423376,0.0250839,0.304175,0.324471,0.821576,1.5504,0.733181,-0.735284,0.254653,-0.53376,1.12873,-0.558414,1.75188,0.215355,0.0215691,-0.587377,-0.682216,-0.577346,-0.662266,0.354668,-0.0841822,-0.0523595,1.02727,0.342617,1.59691,0.255023,-1.0316,0.640679,0.0279487,0.399781,-1.46745,0.568794,0.891445,-0.403446,0.450996,-0.135214,1.88495,1.2163,1.21494,-0.510218,0.634686,0.124027,-0.602089,-0.878256,0.573236,-1.0166,-0.0840453,0.570105,1.06199,-0.85808,-0.3328,-1.29186,-0.00302372,0.294141,-0.111908,-0.0619732,-0.433808,-0.229189,-0.0375561,0.265258,-0.016574,-0.526415,-1.1879,-0.347205,-0.274855,0.929099,-0.025852,-0.263591,-0.0970029,-0.084888,0.211832,2.74919,5.68089,3.18693,10.783,3.12984,17.0278,5.51955,4.78849,3.06408,2.85826,3.0867,2.90038,6.11312,4.43125,4.53585,10.0099,6.05935,15.1989,5.68243,2.21235,7.53934,4.81094,6.3187,1.60721,7.15228,9.06111,3.50645,6.56048,4.26851,18.7728,11.4979,11.4865,0.034942,0.64024,0.0807623,-0.807236,-0.243161,0.468307,-0.921108,0.466257,0.904565,0.664131,-0.685502,-0.0985586,-1.8666,-0.762773,-0.707141,-1.01555,-1.45897,-0.558874,-0.952965,-0.432425,-0.566439,-1.13606,-1.57185,-1.97638,-1.85516,-1.71344,-0.355309,-0.757809,-1.35529,-1.02167,-0.870805,-1.42461,0.491265,0.345192,0.47982,0.69152,0.560492,0.385017,0.715268,0.385502,0.288113,0.339812,0.664966,0.52462,0.866064,0.681955,0.669769,0.734105,0.811375,0.636192,0.721711,0.606453,0.637941,0.756956,0.828047,0.878294,0.864732,0.847282,0.587905,0.680878,0.794992,0.735298,0.704913,0.80606
129.323,0.841915,0.0712767,6,63,0,-89.893,-1.11605,0.0859503,-0.301703,-0.717141,-0.0949337,-0.109616,0.982802,0.585333,0.544777,-0.0389244,1.81022,-1.14195,-0.110197,0.881481,-0.314771,-0.053319,1.12443,1.14863,1.45943,1.18907,-0.0446034,0.762153,-0.385443,0.0322149,-1.80653,-0.769849,0.115883,-0.642032,-0.687313,-0.273557,-1.92527,0.396671,-0.282917,-0.272858,0.938238,1.09698,0.308485,0.0648344,0.185493,-0.205406,1.37495,1.0435,-0.832834,-0.00677627,0.451009,1.30124,-0.289396,1.31771,-0.649469,-0.130102,0.771966,-0.443053,-0.364766,-0.645592,0.864515,-0.0587081,0.752278,0.525656,0.435597,1.02975,0.140051,0.820438,1.03033,-0.133502,0.945456,-1.79391,-0.762868,0.726102,0.388707,0.96129,-0.759167,1.25709,1.31075,0.987057,1.30168,0.960018,2.04238,0.314381,0.9183,1.49876,0.798556,0.951593,1.64097,1.65513,1.83706,1.67881,0.956694,1.42892,0.75719,1.00166,-0.0746212,0.532184,1.05063,0.607,0.580495,0.82268,-0.144123,1.21499,0.817201,0.823089,1.53198,1.6249,1.16337,1.02075,1.09138,0.862571,1.65845,3.927,6.33174,15.3757,2.92403,15.6423,2.00817,3.4528,8.85069,2.49084,2.70287,2.01631,9.74808,3.71986,8.67071,6.84467,6.23073,11.5824,4.57722,9.30988,11.5895,3.44057,10.6072,0.608354,1.78406,8.43708,5.9332,10.7839,1.79097,14.6834,15.5291,11.0778,0.0940458,-0.353333,0.84217,-0.917546,-0.271713,0.531878,-0.497175,-0.132328,0.51476,0.508153,0.679132,0.287555,-0.655839,-0.342569,-0.816206,-0.798017,-1.72554,-0.99225,-0.713804,-0.970294,-1.20508,-1.01928,-2.13648,-0.604324,-1.14307,-1.61441,-0.629897,-0.551449,-1.08346,-1.07065,-1.09554,-1.61369,0.476506,0.587426,0.301078,0.714542,0.567513,0.370079,0.621795,0.533034,0.374078,0.375627,0.336455,0.428602,0.658325,0.584814,0.69343,0.68955,0.848842,0.729532,0.671241,0.725178,0.769428,0.734833,0.894399,0.646645,0.758242,0.834022,0.652466,0.634472,0.747148,0.744721,0.749424,0.833923
