# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim4_model
# start_datetime = 2022-03-02 19:32:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b43dee6420.json
# init = 2 (Default)
# random
#   seed = 341598475
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim4-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim4-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim4_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0707006
# Diagonal elements of inverse mass matrix:
# 0.130066, 0.131341, 0.094251, 0.529852, 0.480477, 0.495818, 0.771704, 0.558194, 0.351792, 0.842022, 0.402135, 0.486908, 0.755476, 0.875297, 0.595565, 0.529111, 0.571494, 0.296302, 0.447181, 0.490333, 0.440551, 0.408081, 0.823598, 0.486613, 0.811825, 0.321517, 0.65217, 0.506174, 0.43265, 0.343679, 0.549169, 0.552173, 0.541518, 0.436087, 0.430073, 0.0328971, 0.0260006, 0.156354, 0.168918, 0.16793, 0.143459, 0.135119, 0.234644, 0.141231, 0.308421, 0.193274, 0.164795, 0.155794, 0.156328, 0.152348, 0.154367, 0.288619, 0.213765, 0.187055, 0.204581, 0.206654, 0.150938, 0.186227, 0.128295, 0.214876, 0.171514, 0.206782, 0.197023, 0.221549, 0.18954, 0.197748, 0.167224, 0.164557, 0.168848
91.0459,0.99201,0.0707006,6,63,0,-59.5818,-0.262454,-0.145059,0.195441,0.35208,0.0480639,-0.0148623,2.28403,-0.573378,-0.622321,2.58601,-1.43163,-0.741012,1.17076,2.09152,-0.770916,0.430127,1.54177,-3.10093,-0.56749,-0.897975,-0.883728,-1.50615,-0.161472,-0.188541,0.649124,-0.335743,1.56458,-0.207967,-1.52389,-0.918701,0.992014,0.44683,0.618839,0.234675,-0.266464,1.44618,1.07995,-0.10341,0.152854,0.766589,-0.79197,0.60988,1.60077,-0.801171,1.17641,1.10509,-1.74019,-0.971657,0.310261,0.494549,0.494163,2.19006,1.38252,0.517641,1.68004,0.840203,-2.07894,0.46757,-1.45507,1.2447,-0.75249,0.91347,1.66487,1.15565,0.0251311,0.666101,0.352751,0.403866,0.524483,-0.076248,-0.135665,-0.147963,0.301334,-0.25712,-0.266686,0.360354,-0.424858,-0.289883,0.0837551,0.263709,-0.295727,-0.0609943,0.156265,-0.751107,-0.255969,-0.32056,-0.317775,-0.439423,-0.176617,-0.181907,-0.0181934,-0.210677,0.160723,-0.185704,-0.442888,-0.32461,0.0488213,-0.05773,-0.0241125,-0.0991937,-0.197137,3.79811,5.0091,9.71879,1.8056,8.20564,23.9252,1.78775,15.1295,14.008,0.64847,1.48712,5.93727,7.24471,7.24169,45.2111,18.9013,7.42765,26.0637,10.523,0.44979,7.03667,0.882295,16.2876,1.88425,11.3894,25.6402,14.794,4.36371,8.71929,6.21606,6.56884,7.48274,-0.338702,-0.398119,-0.410418,0.0388799,-0.519574,-0.52914,0.0978995,-0.687312,-0.552337,-0.178699,0.0012553,-0.558181,-0.323448,-0.106189,-1.01356,-0.518424,-0.583014,-0.580229,-0.701877,-0.439071,-0.444361,-0.280647,-0.473131,-0.101731,-0.448158,-0.705342,-0.587064,-0.213633,-0.320184,-0.286567,-0.361648,-0.459591,0.583875,0.598236,0.601188,0.490281,0.627048,0.629282,0.475545,0.665369,0.634678,0.544556,0.499686,0.636032,0.580164,0.526522,0.733716,0.626779,0.641761,0.64112,0.668604,0.608038,0.609298,0.569705,0.616124,0.525411,0.610201,0.669371,0.642691,0.553206,0.579369,0.571155,0.589439,0.612917
105.526,0.953716,0.0707006,6,63,0,-65.4013,-0.078948,-0.336004,0.375657,0.00856596,0.35974,-0.427822,-0.873138,0.921154,-0.132522,-0.72349,-1.26435,-0.451152,0.546484,0.0295212,1.41434,-0.224568,-0.49395,-0.765787,-0.804458,-0.958545,0.146694,0.655576,2.07606,-0.941864,0.982725,-0.94156,-0.294644,0.320788,0.256835,-0.326182,0.55727,-0.853612,0.0234292,-0.314278,0.580484,1.59043,1.42146,-0.143889,0.373541,0.659343,-1.19364,-0.777125,0.751526,-0.92699,1.85738,0.633464,-1.1619,-1.12246,-0.110391,-0.101475,0.33629,1.22415,0.666937,0.150411,0.519796,0.766895,-0.629922,0.54551,-0.395996,1.5337,-1.16311,0.143632,0.478407,0.843859,0.395708,0.318497,0.189219,0.396058,0.187252,-0.332786,-0.200865,-0.496718,-0.664004,0.0100334,-0.385787,-0.607788,-0.810967,-0.505482,-0.130714,-0.324914,0.195303,-0.420365,-0.52156,-0.623677,-0.638204,-0.696088,-0.280898,-0.0897325,0.443883,-0.689822,0.0331631,-0.689707,-0.446689,-0.215498,-0.239522,-0.458537,-0.126662,-0.656669,-0.327203,-0.454065,-0.117942,3.99841,8.34283,12.5241,0.899167,1.62544,14.2776,1.31357,68.7603,12.0718,0.940668,0.994911,4.1934,4.24688,7.91255,27.9527,12.6601,6.0753,10.2707,14.5929,2.00375,10.6531,2.79417,43.4025,0.939054,6.01704,9.6839,16.28,8.60988,7.71494,6.41985,8.61417,6.40193,-0.411734,-0.279813,-0.575666,-0.742952,-0.0689146,-0.464735,-0.686736,-0.889916,-0.58443,-0.209662,-0.403862,0.116355,-0.499313,-0.600508,-0.702625,-0.717152,-0.775036,-0.359846,-0.168681,0.364935,-0.76877,-0.0457849,-0.768655,-0.525637,-0.294446,-0.31847,-0.537485,-0.20561,-0.735617,-0.406151,-0.533013,-0.19689,0.601504,0.5695,0.64007,0.677641,0.517222,0.614137,0.66524,0.708873,0.642086,0.552224,0.599615,0.470944,0.622298,0.645772,0.66877,0.67198,0.684609,0.589003,0.54207,0.409765,0.683255,0.511444,0.68323,0.628465,0.573084,0.578951,0.631227,0.551222,0.676037,0.600165,0.630186,0.549064
102.214,0.879799,0.0707006,6,63,0,-69.8262,-0.042746,-0.324636,0.242269,-0.121324,0.0656633,-0.516418,2.88684,-0.0397072,-0.874939,2.81436,-0.918658,-0.418823,0.130342,2.61328,-0.572602,0.0505004,1.3342,-2.17278,-1.10767,-0.87847,-1.21648,-0.985749,-0.309882,0.11005,1.33185,-0.567285,1.56327,-0.158499,-1.97524,-1.27627,1.13238,-0.115209,0.256572,0.390596,-1.23669,1.41906,1.48566,0.581451,-0.0749338,0.438303,-0.605387,0.48119,1.06072,-0.587297,0.806559,0.667788,-0.93457,-0.714574,0.26809,0.157234,0.190023,1.90482,0.629776,0.826437,0.839876,0.000408403,-0.780929,0.427087,-0.978267,0.633713,-0.673489,0.703957,1.04492,1.18053,0.212465,0.257469,-0.0847727,0.143983,0.111293,-0.354029,-0.308728,-0.449748,0.374757,-0.334256,-0.536607,0.357197,-0.547199,-0.426104,-0.293058,0.30848,-0.46336,-0.312401,-0.00139955,-0.851033,-0.592991,-0.537462,-0.619353,-0.563453,-0.399711,-0.297975,-0.00197104,-0.462072,0.0540958,-0.363036,-0.803175,-0.633836,-0.0502947,-0.352548,-0.262477,-0.230007,-0.624249,9.80509,3.6978,7.92667,1.68146,8.44815,19.9839,1.72726,13.6992,11.147,1.03108,1.42968,6.15555,5.22085,5.48147,70.0339,10.5349,14.1098,14.3943,4.13575,1.29546,7.79568,0.966272,10.5967,1.51966,11.7624,19.5204,23.8774,5.66731,6.05918,3.64414,5.11907,4.8764,-0.396775,-0.351474,-0.492494,0.332011,-0.377002,-0.579353,0.314451,-0.589945,-0.46885,-0.335804,0.265734,-0.506106,-0.355147,-0.0441455,-0.893779,-0.635737,-0.580208,-0.662099,-0.606199,-0.442457,-0.34072,-0.044717,-0.504818,0.0113498,-0.405782,-0.845921,-0.676582,-0.0930407,-0.395294,-0.305223,-0.272753,-0.666995,0.597913,0.586975,0.620694,0.417751,0.59315,0.640918,0.422029,0.643352,0.615112,0.583171,0.433955,0.623893,0.587865,0.511035,0.709669,0.653789,0.641115,0.659732,0.647073,0.608844,0.584366,0.511177,0.623591,0.497163,0.600076,0.699711,0.662975,0.523243,0.597556,0.575719,0.567769,0.66083
97.3166,0.978584,0.0707006,6,63,0,-66.9604,-0.506877,-0.086785,0.195258,0.59233,0.698362,0.588944,-1.21547,0.283643,0.0560875,-0.345971,-0.426588,-1.06669,1.60288,-0.623737,1.81506,0.0859799,-1.10263,-0.622391,-0.143423,-0.912313,0.920835,0.916584,1.61852,-0.222627,0.886912,-0.14132,1.15986,0.618212,0.748617,0.568537,0.812453,-0.168032,0.88382,0.139159,1.14644,1.25587,1.4327,-0.107275,0.505886,0.869757,-1.05288,-0.428392,0.738151,-0.56109,1.27438,1.07967,-1.071,-0.565686,0.265302,0.409786,0.451192,1.94624,0.668351,0.81733,1.1288,1.24731,-0.814382,0.770604,-0.673395,1.79442,-0.748786,0.763769,0.970588,1.12344,0.662087,0.411192,0.709711,0.781296,0.672012,0.0288724,0.0495761,0.0282112,-0.324115,-0.0314013,-0.0758334,-0.154339,-0.17008,-0.295066,0.226191,-0.208575,0.26762,-0.0699967,-0.302083,-0.208312,-0.11479,-0.264922,0.0930158,0.0921857,0.229245,-0.130255,0.0863919,-0.114379,0.139687,0.033926,0.0593887,0.0242266,0.0718533,-0.119595,0.0857882,-0.0596131,0.137066,3.01073,7.24749,12.2065,0.776792,1.90051,10.109,1.57146,21.7949,16.4893,0.756887,1.56114,5.13445,6.31529,6.70126,57.0683,9.14694,11.3233,17.6919,20.9657,1.0932,10.5901,1.3379,45.9124,1.20092,10.4869,14.1036,17.5564,9.06521,6.32802,9.70533,10.7535,9.19503,-0.478005,-0.457301,-0.478666,-0.830992,-0.538279,-0.582711,-0.661216,-0.676957,-0.801943,-0.280686,-0.715452,-0.239258,-0.576874,-0.808961,-0.715189,-0.621667,-0.771799,-0.413862,-0.414692,-0.277633,-0.637132,-0.420485,-0.621256,-0.36719,-0.472951,-0.447489,-0.482651,-0.435024,-0.626472,-0.421089,-0.56649,-0.369811,0.617277,0.612374,0.617433,0.696565,0.631412,0.641691,0.659534,0.663059,0.69039,0.569714,0.671605,0.559531,0.640348,0.691888,0.671547,0.650598,0.68391,0.602013,0.602212,0.568966,0.654105,0.603599,0.650504,0.59078,0.616082,0.610042,0.618374,0.607073,0.651689,0.603744,0.637953,0.591413
80.7099,0.996671,0.0707006,6,63,0,-54.7391,-0.465621,-0.0097018,0.133947,-0.852647,0.813231,1.62853,-0.190887,-0.262299,0.274999,1.86257,-0.786651,0.145446,-1.52146,-0.130778,1.23202,-0.993048,0.689415,-0.862396,-2.37372,1.0231,-1.72388,-0.612899,0.900707,0.849635,3.38425,-0.109657,0.606052,0.286011,-0.700724,0.209996,1.55126,0.732248,0.780026,0.71987,1.38447,1.43342,1.271,1.01665,-0.141317,-0.166203,-0.676214,0.816389,1.53791,-1.03785,1.17234,0.813049,-1.39071,-1.15637,-0.0275564,0.308293,0.378778,0.999615,0.735149,0.729193,0.8939,0.607931,-0.754345,0.709091,-0.616264,0.763607,-0.843574,0.797135,0.936648,1.10693,0.25501,0.61927,-0.0580818,0.447945,0.474908,-0.123911,0.0992283,0.208436,-0.0352706,-0.044836,0.0271336,0.239785,-0.115072,0.00978033,-0.213497,-0.0272192,0.155324,-0.142718,0.0826434,-0.125217,-0.327655,0.127339,-0.240611,-0.0917979,0.110945,0.104105,0.443609,-0.02439,0.0714772,0.0286086,-0.103562,0.0184266,0.198085,0.0883808,0.0947805,0.0867228,0.175744,15.2654,3.50367,3.39458,1.77528,11.8349,29.6099,1.12111,18.6057,11.7848,0.71593,0.96433,4.04872,6.20444,6.78594,14.9384,10.6739,10.5934,13.0602,9.08028,1.60745,10.3262,1.91583,11.067,1.43511,11.5488,13.7895,17.1214,5.79817,9.2121,3.89465,7.4095,7.66783,-0.589532,-0.366392,-0.257185,-0.500891,-0.510457,-0.438487,-0.225836,-0.580692,-0.45584,-0.679117,-0.49284,-0.310297,-0.608339,-0.382977,-0.590838,-0.793275,-0.338281,-0.706232,-0.557419,-0.354675,-0.361516,-0.0220112,-0.490011,-0.394143,-0.437012,-0.569183,-0.447194,-0.267536,-0.37724,-0.37084,-0.378898,-0.289877,0.643258,0.590587,0.563944,0.622669,0.624914,0.607898,0.55622,0.641227,0.612027,0.663542,0.620775,0.576958,0.647562,0.594591,0.643557,0.688534,0.583773,0.669568,0.635855,0.587751,0.589407,0.505503,0.620109,0.59728,0.607547,0.638575,0.609972,0.566488,0.593207,0.591662,0.593607,0.571966
80.6999,0.614416,0.0707006,6,63,0,-45.6228,-0.125427,-0.259235,0.172194,1.91566,-0.170309,-1.78843,1.37799,0.30375,-0.366561,-0.0828186,-0.531576,-0.619205,2.80396,1.88488,-0.0394709,1.48987,0.427825,-2.18484,0.570314,-1.50224,1.08926,0.439219,0.411513,-1.22817,-1.74849,-0.433854,0.643778,0.0645713,-0.351584,-0.89108,0.567109,-1.30021,-0.0152511,0.291069,0.181792,1.50277,1.03722,-0.34266,0.296677,0.720512,-1.54944,-0.884771,1.03666,-1.32542,1.03838,0.582274,-1.00514,-1.14169,0.476814,-0.603552,-0.180438,1.67142,0.817231,0.987115,0.90483,0.843494,-0.625881,0.826789,-1.43707,1.82217,-1.18265,1.0451,0.450282,1.10509,0.597408,-0.338687,-0.37788,0.115243,0.515607,0.0706295,-0.288561,-0.567192,-0.0219549,-0.206931,-0.322355,-0.273496,-0.350769,-0.365858,0.223588,0.0653296,-0.266032,-0.00268857,-0.185566,-0.635451,-0.161031,-0.517912,-0.0716717,-0.183605,-0.188375,-0.470719,-0.560314,-0.333942,-0.148381,-0.248116,-0.319776,-0.412673,-0.161583,-0.483123,-0.261861,-0.209115,-0.227932,3.14987,6.11345,9.48869,0.900925,1.79512,13.171,1.13658,13.1944,8.22121,1.58444,1.37519,7.36938,2.4031,3.72706,25.4419,10.49,12.5112,11.4877,10.7796,2.34808,10.5945,1.0123,29.7479,1.31799,13.2868,7.16934,14.1398,8.35128,3.16287,3.03688,5.06475,7.67194,-0.0547974,-0.413988,-0.692619,-0.147382,-0.332358,-0.447782,-0.398923,-0.476196,-0.491285,0.0981611,-0.0600973,-0.391459,-0.128115,-0.310993,-0.760878,-0.286458,-0.643339,-0.197099,-0.309031,-0.313802,-0.596145,-0.685741,-0.459369,-0.273808,-0.373543,-0.445203,-0.5381,-0.28701,-0.60855,-0.387288,-0.334542,-0.353359,0.513696,0.602044,0.666549,0.536779,0.582333,0.610112,0.598429,0.616849,0.620409,0.475479,0.51502,0.596634,0.531985,0.577128,0.681544,0.571129,0.655508,0.549116,0.576649,0.577813,0.644774,0.665019,0.612864,0.568027,0.592315,0.609498,0.63137,0.571264,0.64761,0.59563,0.582864,0.587432
82.2326,0.860051,0.0707006,6,63,0,-41.3963,-0.702272,0.36308,0.263023,-1.34406,0.294587,0.215587,0.192321,-0.98514,0.616368,2.13469,-0.564723,-0.773943,-0.0323749,0.0536356,1.5855,-0.989219,1.04196,-1.59352,-2.66834,-0.777877,-0.603574,-0.268359,0.515625,-0.682257,2.5907,-0.646753,0.930415,0.296719,-1.18607,-0.52099,1.76744,-0.229686,0.537781,-0.230753,0.3016,1.28594,1.04911,1.03567,0.284029,0.86464,-0.459606,0.937048,0.867344,-0.498233,0.846449,1.1769,-1.88407,-0.941983,-0.0937779,0.246084,0.474974,2.54619,0.20399,0.875488,0.82253,0.781761,-1.57727,0.779132,-0.690309,0.589035,-0.701856,0.557581,1.46709,1.30529,0.201011,1.15209,0.863396,0.840338,0.330521,0.0095617,0.440563,0.419784,0.413665,0.103965,0.525199,0.924551,0.214544,0.159515,0.354564,0.377187,0.780102,0.102892,0.637139,-0.0560519,-0.338754,0.15848,0.204326,0.292495,0.498701,0.18363,1.04449,0.192969,0.6078,0.441124,0.0511155,0.226047,0.827958,0.302667,0.504528,0.302386,0.442407,10.7238,4.87402,8.96246,2.23394,9.66981,8.98792,2.14522,8.79303,12.4365,0.501251,1.34676,3.27907,4.68381,5.95506,52.3091,4.48147,9.06504,8.57513,8.2161,0.69157,8.19347,1.75371,6.71205,1.73259,6.49418,16.8623,14.2298,4.46748,12.117,8.95076,8.73685,5.11765,-0.69271,-0.261709,-0.282488,-0.288607,-0.598307,-0.177073,0.222279,-0.487727,-0.542757,-0.347708,-0.325085,0.0778299,-0.599379,-0.0651325,-0.758324,-1.04103,-0.543792,-0.497946,-0.409777,-0.203571,-0.518642,0.342221,-0.509303,-0.0944715,-0.261148,-0.651156,-0.476225,0.125686,-0.399605,-0.197743,-0.399886,-0.259864,0.66657,0.565056,0.570156,0.571655,0.645269,0.544153,0.444658,0.619571,0.632454,0.586062,0.580563,0.480552,0.645514,0.516277,0.68099,0.739048,0.632694,0.621977,0.601034,0.550718,0.62683,0.41527,0.624643,0.5236,0.564919,0.657271,0.616856,0.46862,0.598593,0.549275,0.59866,0.564603
