# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim4_model
# start_datetime = 2022-02-17 16:29:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpo9Ajcw/standata-115414366766.json
# init = 2 (Default)
# random
#   seed = 2001452873
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim4-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim4-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim4_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,mu_a,sigma_a,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_a.6,z_a.7,z_a.8,z_a.9,z_a.10,z_a.11,z_a.12,z_a.13,z_a.14,z_a.15,z_a.16,z_a.17,z_a.18,z_a.19,z_a.20,z_a.21,z_a.22,z_a.23,z_a.24,z_a.25,z_a.26,z_a.27,z_a.28,z_a.29,z_a.30,z_a.31,z_a.32,mu_the,sigma_the,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,a_i.1,a_i.2,a_i.3,a_i.4,a_i.5,a_i.6,a_i.7,a_i.8,a_i.9,a_i.10,a_i.11,a_i.12,a_i.13,a_i.14,a_i.15,a_i.16,a_i.17,a_i.18,a_i.19,a_i.20,a_i.21,a_i.22,a_i.23,a_i.24,a_i.25,a_i.26,a_i.27,a_i.28,a_i.29,a_i.30,a_i.31,a_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0806108
# Diagonal elements of inverse mass matrix:
# 0.116678, 0.115942, 0.928433, 0.757574, 0.758539, 0.729971, 0.801134, 0.859595, 0.728571, 0.763511, 0.901905, 0.703354, 0.870896, 0.870177, 0.905453, 0.694832, 0.856298, 0.828747, 0.924528, 0.778945, 0.873932, 0.636787, 0.775145, 0.63759, 1.03222, 0.999946, 0.851106, 0.71486, 0.77607, 0.784768, 0.938048, 0.747903, 1.02598, 1.07127, 0.938613, 0.026771, 0.0281214, 0.264744, 0.279597, 0.279804, 0.261356, 0.280733, 0.189382, 0.249363, 0.228636, 0.228439, 0.19487, 0.243135, 0.242452, 0.331295, 0.280176, 0.190099, 0.259894, 0.229907, 0.267623, 0.290202, 0.233464, 0.300375, 0.450999, 0.236423, 0.25756, 0.305855, 0.211841, 0.23101, 0.211663, 0.2084, 0.222177, 0.221693, 0.236725
93.7592,0.978827,0.0806108,5,31,0,-58.5659,-0.429968,-0.0301633,0.114271,-0.983207,-0.869273,-1.2498,-1.99714,0.206094,0.554795,0.187708,0.0853977,-0.168966,0.102732,-0.270513,0.0264876,0.0718891,-0.986892,0.463489,1.47939,0.812234,-1.56781,0.257842,0.0924913,-0.136203,-1.02702,0.251363,1.47448,0.368762,0.191744,-0.0794243,-0.0930419,0.628748,1.42383,0.212859,1.37993,1.76508,0.893135,0.826514,1.15412,0.117285,0.768886,0.206939,-0.639691,0.0130801,-0.232503,0.553519,-2.12138,0.313821,0.423482,1.71031,1.05712,-0.81959,0.0818285,-0.090634,0.886613,0.347876,0.0385568,0.246964,1.36161,-1.54011,0.498122,0.566669,0.457267,0.349288,-2.17608,-0.668552,-0.210015,-1.57835,-2.16047,-0.142516,-0.129496,-0.172979,-0.258379,-0.00661261,0.0332339,-0.00871357,-0.0204047,-0.0494712,-0.018424,-0.0610752,-0.0271365,-0.0219484,-0.142937,0.0228003,0.138889,0.0626518,-0.209319,-0.000699351,-0.0195942,-0.0457273,-0.147522,-0.00143964,0.138328,0.0119757,-0.00825242,-0.0392392,-0.0407953,0.0416846,0.13254,-0.00583959,0.127523,12.2223,16.3767,6.48717,11.6092,7.02798,3.29941,5.91066,4.74655,9.57775,0.87844,7.73194,8.52755,26.9132,15.0177,2.80968,6.28496,5.38775,12.8963,7.97073,6.04669,7.28376,19.7109,1.47632,9.11541,9.6909,8.78878,7.98079,0.836559,3.21545,4.84285,1.42674,0.848303,-0.572484,-0.559465,-0.602948,-0.688347,-0.436581,-0.396734,-0.438682,-0.450373,-0.479439,-0.448392,-0.491043,-0.457105,-0.451917,-0.572905,-0.407168,-0.29108,-0.367317,-0.639288,-0.430668,-0.449562,-0.475696,-0.57749,-0.431408,-0.291641,-0.417993,-0.438221,-0.469207,-0.470764,-0.388284,-0.297429,-0.435808,-0.302445,0.639336,0.636329,0.64633,0.665599,0.607444,0.597903,0.607945,0.610728,0.617616,0.610257,0.620352,0.612327,0.611095,0.639433,0.600409,0.57226,0.59081,0.654592,0.606033,0.610535,0.616731,0.64049,0.60621,0.572398,0.603003,0.607835,0.615196,0.615564,0.595869,0.573814,0.60726,0.57504
87.3133,0.990942,0.0806108,6,63,0,-57.9556,0.0240742,-0.389018,0.219895,-0.766834,-2.26913,-0.672265,-1.32543,-0.354136,1.13268,1.333,0.890461,-0.196391,1.20725,0.335613,-0.530071,-0.656098,-1.23458,-0.527519,1.0868,0.259802,-1.97267,-0.325847,-0.0852946,0.0857156,-1.77228,0.560583,0.852236,1.14433,0.137868,0.684879,1.51599,0.218308,0.713046,0.722871,1.33263,1.86795,0.820826,0.710711,1.07528,0.00242089,1.00769,-0.364003,-1.20465,0.285946,-0.0832749,0.320746,-1.62948,0.69487,0.884502,2.24747,1.30049,-0.434976,-0.335667,0.0243159,1.06728,0.665503,0.378454,0.198291,1.13791,-1.77864,0.100023,1.06033,0.451701,0.218536,-1.92417,-0.348104,-0.105598,-1.64124,-2.03012,-0.557641,-0.88799,-0.536846,-0.680475,-0.466891,-0.139946,-0.0958973,-0.193209,-0.432203,-0.123549,-0.315218,-0.505578,-0.533291,-0.660495,-0.505017,-0.150034,-0.331888,-0.822798,-0.46067,-0.407774,-0.370169,-0.778734,-0.265748,-0.201615,-0.137384,-0.358701,-0.238416,-0.0556583,-0.341013,-0.232222,-0.230062,-0.0959779,11.6037,15.6515,6.48791,14.8069,4.80266,2.40884,8.18795,6.04722,8.42522,1.69967,11.4538,13.3829,40.9659,18.8296,4.53087,4.91567,6.60556,15.5492,11.181,8.83391,7.61953,16.4773,1.5038,7.02907,15.4606,9.38132,7.74721,1.33448,4.86575,5.93742,1.68334,1.22333,-0.533567,-0.863915,-0.512772,-0.6564,-0.442817,-0.115872,-0.0718231,-0.169135,-0.408129,-0.0994749,-0.291144,-0.481504,-0.509217,-0.636421,-0.480943,-0.12596,-0.307814,-0.798724,-0.436596,-0.3837,-0.346095,-0.75466,-0.241674,-0.177541,-0.11331,-0.334627,-0.214342,-0.0315841,-0.316939,-0.208148,-0.205988,-0.0719037,0.630315,0.703478,0.625456,0.658451,0.60893,0.528936,0.517948,0.542183,0.600639,0.524848,0.572276,0.618103,0.624623,0.653944,0.61797,0.531448,0.576352,0.689701,0.607448,0.594765,0.58567,0.680193,0.560126,0.544269,0.528297,0.582885,0.553381,0.507895,0.578578,0.55185,0.551316,0.517968
84.9226,0.999305,0.0806108,6,63,0,-54.8616,-0.407524,0.0412279,0.184838,-1.18692,1.90081,-0.21524,0.342411,-0.886281,-0.112818,-1.68591,-0.50543,0.0841634,-0.347571,-0.454162,1.02139,0.113722,0.0478585,0.807691,0.802221,0.5313,1.81689,0.0980849,0.0431347,-0.423963,-1.96563,1.24772,-0.527817,-1.12345,0.869845,-0.146565,-0.52809,0.634971,-0.140123,0.653225,0.139133,1.65375,0.960175,1.22541,0.570034,0.504562,0.3719,0.983052,0.0870595,0.852938,0.476941,0.281587,-0.81984,0.110793,-0.409303,0.120018,0.692298,0.472634,0.063097,0.180803,-0.173572,0.074921,0.470058,1.57542,1.31282,-1.46308,0.523955,1.19264,-0.161338,-0.0697236,-1.22966,-0.377276,0.388087,-0.922839,-2.16047,-0.178161,0.392571,0.00144324,0.104519,-0.122591,0.0203748,-0.270393,-0.052195,0.0567845,-0.0230166,-0.0427186,0.23002,0.0622481,0.050074,0.19052,0.189509,0.139433,0.377059,0.0593577,0.0492008,-0.0371369,-0.322097,0.271854,-0.0563329,-0.166429,0.202009,0.0141369,-0.0563834,0.158595,0.0153278,0.161969,0.066945,16.9516,9.03478,8.4843,7.46957,13.4321,5.68222,11.8546,8.26224,6.84913,2.37871,5.81319,3.52805,5.86491,10.1602,8.22814,5.55297,6.2174,4.4242,5.61637,8.20782,23.7225,18.4357,1.28266,8.64376,16.4264,4.47648,4.88809,1.60489,3.63823,7.58658,2.15472,0.656597,-0.585685,-0.0149532,-0.406081,-0.303006,-0.530115,-0.387149,-0.677918,-0.459719,-0.35074,-0.430541,-0.450243,-0.177504,-0.345276,-0.35745,-0.217004,-0.218015,-0.268092,-0.0304648,-0.348166,-0.358323,-0.444661,-0.729621,-0.13567,-0.463857,-0.573953,-0.205515,-0.393387,-0.463908,-0.248929,-0.392196,-0.245555,-0.340579,0.642374,0.503738,0.600148,0.575177,0.62951,0.595596,0.663274,0.612948,0.586797,0.606003,0.610697,0.54426,0.585472,0.588423,0.554039,0.554289,0.566624,0.507616,0.586173,0.588635,0.609369,0.674722,0.533866,0.613929,0.639675,0.551199,0.597098,0.613941,0.561913,0.596811,0.561082,0.584331
79.3586,0.916781,0.0806108,6,63,0,-47.0763,0.0211427,-0.431453,0.0503276,-0.586376,0.836088,0.822042,0.931959,-1.40489,-1.13788,-0.117561,-0.710321,-2.45552,-0.263211,-0.860531,0.542038,0.22405,-0.721829,-1.82235,-0.264582,1.09149,1.0142,0.0512873,2.18806,0.051411,-1.71472,0.346935,-0.504853,-0.352128,0.634647,-0.859857,0.578851,0.100738,1.66426,0.681864,0.807238,1.61273,0.90686,1.82029,-0.181598,0.706928,0.941394,0.154741,-0.554204,0.913991,0.46205,0.398488,-1.26795,0.339971,0.0103252,1.83301,1.09108,0.485762,0.138626,-0.0768181,-0.263586,0.0969376,0.429375,0.422609,1.17423,-1.83414,0.902134,1.23521,-0.113808,0.842388,-1.52548,-0.351428,-0.299465,-1.27906,-2.04555,-0.460964,-0.389375,-0.390082,-0.38455,-0.502158,-0.48872,-0.43737,-0.467202,-0.555034,-0.4447,-0.474762,-0.404174,-0.420177,-0.467781,-0.523168,-0.444769,-0.376521,-0.380411,-0.428872,-0.321334,-0.428866,-0.517751,-0.413993,-0.456861,-0.449175,-0.399513,-0.474728,-0.402321,-0.426383,-0.347695,-0.397137,-0.390827,26.1403,4.25479,9.524,11.7805,5.77223,3.0348,11.4913,7.62738,7.20016,1.58863,6.82803,5.06368,26.4436,13.4932,7.79317,5.68849,4.67892,3.94991,5.47745,7.40469,7.35939,14.5501,0.950682,11.3684,15.3773,4.52457,10.7689,1.25776,3.64747,3.82347,1.57271,0.784822,-0.439821,-0.368232,-0.368939,-0.363407,-0.481015,-0.467577,-0.416227,-0.446059,-0.533891,-0.423557,-0.453619,-0.383031,-0.399035,-0.446638,-0.502025,-0.423626,-0.355379,-0.359268,-0.407729,-0.300191,-0.407723,-0.496608,-0.39285,-0.435719,-0.428032,-0.37837,-0.453585,-0.381178,-0.405241,-0.326553,-0.375994,-0.369684,0.608216,0.591032,0.591203,0.589865,0.617988,0.61481,0.60258,0.609702,0.63039,0.604334,0.611499,0.594604,0.598456,0.60984,0.622935,0.604351,0.587921,0.588863,0.600543,0.574489,0.600542,0.621662,0.596969,0.607238,0.605404,0.59348,0.611491,0.594157,0.599946,0.58092,0.592907,0.591383
73.5303,0.9322,0.0806108,6,63,0,-45.009,0.0598428,-0.457954,0.0536269,-0.803996,0.694427,1.09559,1.56375,-1.56184,-0.502212,-0.205214,-1.11151,-3.0825,-0.930408,-0.709324,0.43306,1.21537,-0.870926,-1.99983,-0.413546,1.37206,0.993827,-0.269045,1.66979,0.344531,-1.53112,0.810959,0.0190872,-0.646665,0.27372,-0.154106,0.880094,0.0149969,1.5776,0.0016328,0.962142,1.71711,0.870252,1.85285,0.069517,0.542309,0.91672,0.291771,-0.6476,0.871247,0.317928,0.249787,-1.16195,0.316474,-0.073014,1.85192,1.09335,0.406308,0.327117,0.0563151,-0.173184,0.140552,0.453288,0.478318,1.30435,-1.79844,0.761881,1.68643,-0.115328,1.15333,-1.76249,-0.1871,-0.315764,-1.30358,-1.96159,-0.501069,-0.420714,-0.3992,-0.374095,-0.54171,-0.484886,-0.468959,-0.51756,-0.623259,-0.507848,-0.495992,-0.43473,-0.392777,-0.504659,-0.565198,-0.480131,-0.384374,-0.404658,-0.472382,-0.368408,-0.439477,-0.540063,-0.414464,-0.45693,-0.492632,-0.443275,-0.466218,-0.410757,-0.457149,-0.373352,-0.457866,-0.406357,27.9261,5.91569,8.92678,12.3652,7.17803,3.16937,11.8855,7.34329,6.9205,2.02571,7.33401,5.2256,27.9034,14.4198,7.93038,7.40225,5.84811,4.78936,6.29292,8.26133,8.44326,17.3263,1.16417,10.8064,24.1608,5.03667,15.1925,1.20117,4.73171,4.23048,1.79081,1.01008,-0.441227,-0.360871,-0.339357,-0.314252,-0.481868,-0.425043,-0.409116,-0.457718,-0.563416,-0.448006,-0.43615,-0.374887,-0.332934,-0.444816,-0.505356,-0.420288,-0.324531,-0.344815,-0.412539,-0.308565,-0.379635,-0.48022,-0.354622,-0.397087,-0.432789,-0.383432,-0.406375,-0.350914,-0.397307,-0.313509,-0.398023,-0.346514,0.608551,0.589251,0.584034,0.577923,0.618189,0.604689,0.600876,0.612473,0.637243,0.610165,0.607341,0.592639,0.582473,0.609406,0.623717,0.603552,0.580428,0.58536,0.601696,0.576535,0.593785,0.6178,0.587738,0.597988,0.60654,0.594701,0.600218,0.586839,0.59804,0.577741,0.598213,0.585772
74.1644,0.964337,0.0806108,6,63,0,-37.3601,-0.327064,-0.0593654,0.0346157,1.31969,-0.701907,-1.81332,-0.749147,1.77387,-0.370296,-0.829952,0.529489,1.32683,0.697036,1.2778,-0.304175,-0.899054,1.07511,0.676712,0.674177,0.557773,-0.033937,0.872762,-1.24313,-0.993645,-0.108327,0.365182,0.14751,-0.066121,0.632424,0.956668,-1.28866,0.380224,-0.0605142,-0.461386,0.750313,1.75861,0.82122,0.213919,1.66296,0.625775,1.0852,0.666003,-0.175569,0.788835,0.349674,0.0448759,-1.74498,0.467039,0.179144,0.583034,1.25303,-0.0219681,-0.00104775,-0.850185,1.36073,1.30491,0.789765,0.96432,1.06049,-1.47554,-0.855733,1.05967,0.974388,-0.628174,-1.44337,-0.627183,0.534126,-1.84005,-2.17459,-0.0136836,-0.0836624,-0.122135,-0.0852976,0.00203841,-0.0721834,-0.0880947,-0.0410368,-0.0134364,-0.035237,-0.0151336,-0.0698946,-0.0904867,-0.0221499,-0.0359406,-0.0360283,-0.0400577,-0.0605401,-0.0291542,-0.102397,-0.0937611,-0.0631152,-0.0467244,-0.0542592,-0.0616542,-0.0374736,-0.0262497,-0.103973,-0.0462037,-0.0614601,-0.0753366,-0.0333928,6.91911,22.7432,9.70374,14.1512,10.0297,5.02503,11.0942,7.73512,6.02227,1.38487,8.51777,6.7243,9.36904,16.2425,5.7006,5.79938,2.88759,17.7443,16.9493,11.1026,12.8139,13.8669,1.72784,2.87447,13.8576,12.9203,3.4651,1.77409,3.46793,9.0002,1.28085,0.973158,-0.340747,-0.410726,-0.449198,-0.412361,-0.325025,-0.399247,-0.415158,-0.3681,-0.3405,-0.362301,-0.342197,-0.396958,-0.41755,-0.349213,-0.363004,-0.363092,-0.367121,-0.387604,-0.356218,-0.429461,-0.420825,-0.390179,-0.373788,-0.381323,-0.388718,-0.364537,-0.353313,-0.431037,-0.373267,-0.388524,-0.4024,-0.360456,0.584372,0.601262,0.610449,0.601654,0.580548,0.598507,0.602324,0.591,0.584312,0.589597,0.584724,0.597957,0.602897,0.586427,0.589767,0.589789,0.590763,0.595706,0.588125,0.605745,0.603681,0.596326,0.592374,0.594192,0.595974,0.590138,0.587421,0.606121,0.592248,0.595927,0.599264,0.589151
