# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim4_model
# start_datetime = 2022-03-02 19:32:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b43dee6420.json
# init = 2 (Default)
# random
#   seed = 341598475
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim4-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim4-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim4_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0666419
# Diagonal elements of inverse mass matrix:
# 0.114382, 0.117188, 0.0946308, 0.530786, 0.550697, 0.460534, 0.731938, 0.616636, 0.392616, 0.76784, 0.373287, 0.402857, 0.686118, 0.63766, 0.54585, 0.569356, 0.51357, 0.296675, 0.361884, 0.447025, 0.375761, 0.478052, 0.745754, 0.487768, 0.905387, 0.283375, 0.667292, 0.453385, 0.443663, 0.332255, 0.509828, 0.464567, 0.578162, 0.458139, 0.465312, 0.0491366, 0.0302828, 0.173675, 0.187373, 0.199988, 0.18085, 0.164712, 0.186757, 0.172729, 0.297205, 0.245926, 0.171635, 0.185122, 0.15218, 0.167968, 0.184495, 0.340028, 0.24612, 0.202718, 0.213609, 0.188357, 0.169317, 0.187826, 0.161045, 0.208797, 0.176514, 0.242045, 0.216533, 0.234628, 0.146354, 0.184582, 0.148512, 0.186381, 0.169594
80.7124,0.993657,0.0666419,6,63,0,-45.0639,-0.453306,0.0750581,0.209003,0.286119,0.308208,-0.303103,1.25565,-1.18675,-0.859777,0.343116,-1.059,-0.717206,-0.222147,-1.49359,-0.0559992,-0.173283,-0.539651,-1.36521,-0.459373,-1.40666,-0.536944,-1.15376,0.603137,-0.454791,-0.211721,0.0163198,0.675954,0.454964,-1.21343,-1.47797,1.66281,-0.300621,0.300818,-0.0687866,0.0837132,1.48487,0.950442,-0.141058,0.318037,0.309865,-2.07309,-0.0170725,0.902991,-1.45689,0.48509,0.341875,-1.59154,-2.05325,-0.518222,0.209633,0.885575,1.39552,1.11765,0.628479,0.594711,0.475009,-1.98617,0.426739,-1.78893,1.40503,-1.52608,0.704209,1.23724,0.557422,0.96568,0.619436,-0.210788,1.09825,-0.397197,0.134858,0.139475,0.0117087,0.337492,-0.172976,-0.104638,0.14677,-0.146276,-0.0748399,0.0286289,-0.237106,0.0633542,0.0388415,-0.0377302,-0.210275,-0.020952,-0.218938,-0.0371646,-0.166081,0.201115,-0.0199945,0.0308079,0.078469,0.216334,0.170147,-0.178552,-0.233841,0.42259,0.0122275,0.13793,0.0606816,0.0925544,3.86052,5.97237,5.92616,0.615401,4.34333,10.4136,1.10536,7.00006,6.10923,0.972581,0.627112,2.69751,5.38767,10.2426,16.6304,12.7704,8.02211,7.76873,6.93331,0.668399,6.62241,0.806214,16.7813,1.03501,8.6208,14.3076,7.49822,11.0529,7.95345,3.61296,12.537,3.02634,-0.318449,-0.313832,-0.441598,-0.115814,-0.626282,-0.557944,-0.306536,-0.599582,-0.528146,-0.424678,-0.690412,-0.389952,-0.414465,-0.491037,-0.663582,-0.474258,-0.672244,-0.490471,-0.619388,-0.252191,-0.473301,-0.422499,-0.374837,-0.236972,-0.28316,-0.631858,-0.687147,-0.0307163,-0.441079,-0.315377,-0.392625,-0.360752,0.578946,0.57782,0.60864,0.528921,0.651646,0.635977,0.57604,0.645561,0.629051,0.604602,0.666059,0.596271,0.602158,0.620351,0.660064,0.616391,0.662006,0.620217,0.650079,0.562716,0.616165,0.604081,0.592627,0.558967,0.570321,0.652911,0.665332,0.507678,0.608516,0.578197,0.596914,0.589222
79.3027,0.935389,0.0666419,6,63,0,-50.0926,0.0870057,-0.562191,0.217647,-0.041484,0.402094,0.0229781,-0.340013,1.19443,-0.424085,1.80252,-1.44953,0.268882,1.06912,3.11952,0.434486,0.86306,1.75753,-1.66736,-0.979789,0.536648,-0.733956,0.680844,0.732196,-0.487385,1.8471,-0.728977,0.582721,-0.959089,-0.261962,-0.105184,-0.00954133,-0.593618,0.358594,0.347394,0.00130508,1.82566,0.89571,0.742206,-0.169783,0.715328,-0.798295,-0.242933,1.26752,-1.30892,1.1704,0.625471,-2.41356,-0.756957,0.462671,-0.329442,-0.382516,2.44837,0.610054,0.453707,1.66708,1.13276,-0.771844,0.69591,-1.10662,0.630745,-1.2959,0.713391,0.798977,1.94111,-0.870728,-0.0337511,0.669104,-0.687961,0.786235,-0.57122,-0.474676,-0.55719,-0.636194,-0.302226,-0.654492,-0.169878,-0.877676,-0.503669,-0.329501,0.116763,-0.467626,-0.374348,-0.17967,-0.925087,-0.775439,-0.445391,-0.721934,-0.414007,-0.40283,-0.668269,-0.160174,-0.72085,-0.435363,-0.770934,-0.619206,-0.585084,-0.564267,-0.69139,-0.484144,-0.486581,-0.561907,12.0669,5.33126,11.7798,3.03625,4.99314,19.3171,1.92177,17.7078,10.8689,0.714488,3.15078,9.39411,4.62085,4.40632,55.6281,10.7198,9.31898,27.6295,17.1207,3.10905,11.5767,2.30356,10.9203,1.94432,11.7594,12.6964,35.3159,2.84552,6.02208,11.3021,3.35164,12.5523,-0.484214,-0.38767,-0.470184,-0.549188,-0.21522,-0.567486,-0.0828727,-0.79067,-0.416664,-0.242495,0.203769,-0.38062,-0.287342,-0.0926647,-0.838081,-0.688433,-0.358385,-0.634928,-0.327001,-0.315825,-0.581263,-0.0731682,-0.633845,-0.348358,-0.683928,-0.5322,-0.498078,-0.477262,-0.604384,-0.397138,-0.399576,-0.474901,0.618742,0.595722,0.615427,0.633947,0.553598,0.638183,0.520706,0.687975,0.602685,0.560328,0.449233,0.594023,0.571345,0.52315,0.698061,0.665618,0.588649,0.653606,0.58103,0.578306,0.641358,0.518284,0.653361,0.586219,0.664615,0.629996,0.622008,0.617101,0.646659,0.598,0.598586,0.616543
96.091,0.927794,0.0666419,6,63,0,-48.9526,0.402057,-0.763563,0.296734,0.356346,-0.447255,-0.451425,1.16816,-0.821229,-0.058688,0.935581,-0.970059,-1.10807,0.956161,0.373477,0.748465,-0.061142,-0.408983,-0.783247,-0.286562,-1.58764,0.0935644,-0.993111,1.32573,-0.234149,0.486526,-0.417718,1.18712,0.918138,-0.903987,-1.06182,0.34681,0.00608153,0.349089,-0.520041,0.59401,1.55826,0.814029,-0.306484,0.530109,0.879435,-1.81979,-0.296787,1.1212,-0.924123,2.42163,1.46819,-1.45893,-1.27793,-0.465248,0.577592,0.313298,1.73594,1.41545,1.70964,1.36222,0.920123,-1.50906,0.623591,-1.20909,2.12327,-1.15255,0.614886,1.77057,1.36357,-0.238331,0.894428,0.153316,0.10977,0.34855,-0.657822,-0.896279,-0.897516,-0.416928,-1.00725,-0.780977,-0.485943,-1.05141,-1.09236,-0.479837,-0.652739,-0.541467,-0.781706,-0.884922,-0.995979,-0.848595,-1.23467,-0.735799,-1.05825,-0.370174,-0.833043,-0.619194,-0.887514,-0.411303,-0.491119,-1.03181,-1.07864,-0.660652,-0.761758,-0.659976,-0.917877,-0.587299,3.70164,7.31398,9.71965,1.07993,3.73098,11.8337,2.23894,34.1084,15.6961,1.44868,1.67866,3.25287,7.60222,6.13063,19.5186,15.0365,19.1052,14.3989,10.047,1.39075,7.89228,1.77541,26.7535,1.85903,7.83656,20.0768,14.4147,3.91281,9.839,5.38204,5.1946,6.3091,-0.255766,-0.494222,-0.495459,-0.0148713,-0.605193,-0.378921,-0.0838867,-0.649356,-0.690308,-0.0777801,-0.250682,-0.139411,-0.379649,-0.482865,-0.593922,-0.446539,-0.832615,-0.333742,-0.656196,0.0318825,-0.430986,-0.217137,-0.485457,-0.00924665,-0.0890626,-0.62975,-0.676583,-0.258595,-0.359701,-0.257919,-0.51582,-0.185243,0.563595,0.6211,0.621392,0.503718,0.646843,0.593613,0.520959,0.656865,0.666035,0.519435,0.562344,0.534796,0.593788,0.618424,0.644265,0.609816,0.696908,0.58267,0.658405,0.49203,0.606109,0.554072,0.619036,0.502312,0.522251,0.652433,0.662976,0.564291,0.588968,0.564125,0.62617,0.546179
100.652,0.993222,0.0666419,6,63,0,-65.3162,-0.158325,-0.340048,0.209096,-0.399451,1.02548,-0.164925,0.626107,1.14215,-0.662062,0.643994,-1.55913,0.333631,0.48386,2.44777,0.975981,0.190772,1.67619,-1.17675,-1.23035,0.267491,-0.808858,0.452925,0.449641,-0.708272,2.19819,-1.0158,0.187956,-0.806713,-0.443358,-0.00999652,1.13467,-1.07086,0.0465946,0.986234,-0.343124,1.48126,1.11013,0.76123,-0.418512,0.696047,-0.480403,0.128588,1.44181,-1.22049,1.52979,0.88995,-1.69321,-0.78204,0.29083,0.109754,0.220782,2.33883,1.11591,0.601053,1.15136,0.605594,-0.669016,0.759859,-0.554871,1.70495,-1.49519,0.871065,1.11912,1.50899,-0.0169936,0.180419,0.467614,0.409659,-0.035518,-0.423571,-0.125624,-0.374533,-0.209131,-0.101229,-0.478482,-0.205391,-0.666055,-0.270287,-0.238874,0.171771,-0.135974,-0.300158,0.0104378,-0.586102,-0.59731,-0.284116,-0.509177,-0.245343,-0.24603,-0.488145,0.119586,-0.552448,-0.300747,-0.508728,-0.432752,-0.342138,-0.102793,-0.563959,-0.330305,-0.13383,-0.411793,10.2402,2.76395,9.52542,2.58042,5.0734,21.799,1.13469,24.0353,11.8132,0.671377,1.84614,6.07463,4.96842,5.62015,59.0076,15.1813,8.57207,15.7907,8.61538,2.09294,10.2247,2.37568,29.1945,0.836449,11.5682,15.2356,23.4867,4.31629,5.37388,7.39182,6.93122,4.22844,-0.581896,-0.283948,-0.532857,-0.367456,-0.259554,-0.636807,-0.363716,-0.82438,-0.428611,-0.397199,0.0134466,-0.294298,-0.458483,-0.147887,-0.744427,-0.755635,-0.442441,-0.667501,-0.403667,-0.404354,-0.646469,-0.0387385,-0.710773,-0.459071,-0.667053,-0.591077,-0.500462,-0.261117,-0.722284,-0.488629,-0.292155,-0.570118,0.641504,0.570514,0.630149,0.590844,0.564527,0.654031,0.58994,0.695165,0.605542,0.598014,0.496638,0.573048,0.612654,0.536904,0.677963,0.680405,0.60884,0.660943,0.599568,0.599733,0.656214,0.509683,0.670572,0.612794,0.660843,0.643612,0.622568,0.564911,0.67311,0.619784,0.572524,0.63879
94.5961,0.96875,0.0666419,6,63,0,-64.2758,-0.381201,-0.130186,0.159808,1.17514,-1.98553,-0.636553,0.504975,-0.668392,0.585861,1.42283,-1.58252,-0.856979,1.65454,-0.60432,-0.317436,0.338945,-0.910219,-1.54588,0.0706957,-1.3181,0.59701,-1.04039,1.27576,-0.299924,0.271702,0.0161506,1.74533,1.07609,-0.822073,-0.969952,0.63138,0.4669,0.472006,-1.08151,1.36976,1.46809,1.43943,0.129688,-0.269612,0.489215,-0.480043,0.102321,0.812055,-0.680541,1.22309,1.21418,-1.68344,-1.0814,-0.143322,0.439088,0.663291,1.72282,0.518918,1.13751,1.09427,0.700885,-0.77358,0.658383,-1.49342,1.26086,-0.716416,0.837958,1.02684,1.47011,0.434151,0.345857,0.0821297,0.415672,0.541332,0.0576104,-0.44749,-0.231913,-0.0494869,-0.237001,-0.0365607,0.0971941,-0.383085,-0.267139,0.134223,-0.226762,-0.180915,-0.0760199,-0.275647,-0.377231,-0.118888,-0.34083,-0.0347791,-0.29645,0.0736914,-0.178116,-0.086766,-0.127605,0.148733,0.0417811,-0.26156,-0.285193,-0.0292864,-0.0555717,-0.0547558,-0.30302,0.0887128,5.23186,2.9447,8.77829,2.17517,5.02978,13.971,1.62987,25.2451,24.9236,0.384775,0.915299,3.53174,8.16721,11.278,51.8297,9.16174,22.3193,20.9726,11.9051,1.42558,11.1986,0.505817,26.6558,1.54785,14.5018,19.0324,36.0249,8.10937,7.14153,4.88569,7.89651,9.46215,-0.323591,-0.828692,-0.613114,-0.430688,-0.618202,-0.417762,-0.284007,-0.764287,-0.64834,-0.246978,-0.607963,-0.562117,-0.457221,-0.656848,-0.758432,-0.50009,-0.722032,-0.415981,-0.677651,-0.30751,-0.559318,-0.467967,-0.508807,-0.232469,-0.33942,-0.642762,-0.666394,-0.410488,-0.436773,-0.435957,-0.684221,-0.292489,0.580199,0.696078,0.648651,0.606038,0.64981,0.602948,0.570528,0.682284,0.656636,0.561433,0.647476,0.636942,0.612355,0.658552,0.681013,0.62248,0.673054,0.602521,0.663214,0.576277,0.636295,0.614903,0.624527,0.557857,0.58405,0.655377,0.660695,0.601205,0.60749,0.607295,0.66468,0.572605
100.12,0.990894,0.0666419,6,63,0,-64.9901,-0.27625,-0.177879,0.212136,-0.581558,1.70159,-0.154254,0.247349,1.08666,-0.46004,0.00734874,-0.813514,-0.380363,0.111233,1.87147,1.13264,-0.125706,1.85202,-1.67628,-1.30912,0.341645,-1.1534,0.505392,0.320119,-0.891138,1.70826,-1.56676,-0.935584,-0.494414,-0.536096,-0.69297,0.708347,-0.420251,0.316824,1.045,-0.517914,1.58857,1.11755,0.553041,0.539262,0.559653,-1.5814,-0.131144,1.14782,-0.905623,1.03983,0.978042,-1.62121,-0.947594,0.395284,0.0486418,0.109618,1.71783,0.532531,-0.0834484,1.08363,0.424292,-0.770942,0.652519,-1.12029,1.43905,-1.63679,0.572405,1.01666,1.41209,-0.267064,0.269531,0.311861,-0.00590695,0.109702,-0.301248,0.18309,-0.210602,-0.125407,0.0526414,-0.27547,-0.17632,-0.350454,-0.258567,-0.154282,0.219126,0.0623948,-0.204546,0.215001,-0.533477,-0.455591,-0.105404,-0.422556,-0.0706673,-0.10997,-0.366921,0.184505,-0.510245,-0.37635,-0.282762,-0.291604,-0.324883,-0.0276132,-0.267029,-0.110669,0.0438026,-0.287747,9.08494,8.94611,9.15232,0.836345,4.22919,17.6602,1.77979,15.6524,14.6081,0.799953,1.69824,7.6165,5.17029,5.5349,33.3922,8.87908,4.46073,16.4376,7.86746,2.06888,10.1532,1.40017,24.4536,0.786143,9.28368,15.2524,23.7276,3.6332,6.61793,6.93852,4.86452,5.53542,-0.577499,-0.0931607,-0.486852,-0.401658,-0.223609,-0.55172,-0.45257,-0.626705,-0.534818,-0.430533,-0.0571245,-0.213856,-0.480796,-0.0612498,-0.809727,-0.731842,-0.381654,-0.698807,-0.346918,-0.386221,-0.643172,-0.0917456,-0.786495,-0.6526,-0.559012,-0.567855,-0.601133,-0.303864,-0.54328,-0.38692,-0.232448,-0.563998,0.640492,0.523273,0.619365,0.599086,0.55567,0.634535,0.61125,0.651742,0.630606,0.606001,0.514277,0.553261,0.617936,0.515308,0.692051,0.675209,0.594272,0.667923,0.58587,0.595373,0.65547,0.52292,0.687078,0.657596,0.636224,0.638268,0.645915,0.575387,0.632575,0.595541,0.557852,0.637377
