# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim5_cor_model
# start_datetime = 2022-02-18 19:23:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpoJNH5n/standata-158c55322fb7.json
# init = 2 (Default)
# random
#   seed = 1753124484
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim5_cor-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_cor-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim5_cor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,mu_aHS,bP,bAHS.1,bAHS.2,bAHS.3,mu_bAHS,sigma_abHS.1,sigma_abHS.2,Rho.1.1,Rho.2.1,Rho.1.2,Rho.2.2,m_c,s_c,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0437891
# Diagonal elements of inverse mass matrix:
# 0.176092, 0.621506, 0.305481, 0.28083, 0.200321, 0.0184247, 0.0456791, 0.0268151, 0.0260101, 0.0517384, 0.79391, 0.66124, 0.304968, 0.197465, 0.0335445, 0.291598, 0.291815, 0.289984, 0.303026, 0.281001, 0.269022, 0.293302, 0.292191, 0.325575, 0.302076, 0.268425, 0.314378, 0.286645, 0.314216, 0.290297, 0.27007, 0.317369, 0.288164, 0.308843, 0.277663, 0.249671, 0.280465, 0.3064, 0.374016, 0.272407, 0.334903, 0.284927, 0.308804, 0.337593, 0.294518, 0.297138, 0.281073, 0.0149344, 0.0873139, 0.0878054, 0.0856469, 0.112685, 0.136313, 0.114815, 0.142287, 0.112394, 0.113164, 0.0973859, 0.10262, 0.096658, 0.0805319, 0.199379, 0.098928, 0.0901597, 0.149557, 0.104388, 0.132586, 0.14155, 0.121225, 0.151019, 0.136062, 0.163166, 0.137588, 0.119695, 0.117849, 0.0959564, 0.107648, 0.121224, 0.330161, 0.119763, 0.11589
158.212,0.893318,0.0437891,6,63,0,-114.429,-0.251578,0.223935,-1.20176,-1.20035,-0.346598,-0.0229996,0.15374,0.127296,-0.0371293,0.138423,1.03968,0.220976,1,0.0931926,0.0931926,1,-0.144014,0.479373,-0.121649,-0.386578,-0.217692,-1.3513,-1.09433,-0.0645139,-1.14733,-0.260683,0.294666,0.267447,-0.34551,-0.296678,-0.0962484,-0.00795819,-0.0661494,-0.307209,0.219997,0.553769,-0.00698581,0.349674,-0.127165,-0.376627,-0.462484,-0.107527,-0.347664,0.13692,0.371047,0.632077,0.424594,0.763937,0.040463,0.0160606,1.53835,0.359453,3.72531,5.12046,4.11261,4.08196,4.65662,4.32041,5.38414,5.70818,3.79452,4.62686,3.30338,3.59677,10.9843,2.96357,3.80494,10.8865,2.94716,4.5604,4.58008,5.06594,9.5364,5.30298,4.25344,1.75914,7.48047,4.27114,5.87165,3.68879,5.81089,11.9338,6.82898,6.59602,0.483156,0.205732,0.376402,-0.753637,-0.485061,0.542968,-0.53271,0.366434,0.890545,0.879392,0.256617,0.336688,-1.16002,-1.08959,-1.27507,-1.52149,-0.841102,-0.907068,-1.08594,-0.839613,-1.32359,-1.72177,-2.00956,-1.73422,-1.88225,-1.45175,-1.1505,-0.965517,-1.12284,-0.7403,-1.54553,-1.50603,0.381507,0.448748,0.406995,0.679971,0.618942,0.367497,0.630115,0.409403,0.290997,0.293304,0.436195,0.416614,0.761337,0.748304,0.78161,0.820757,0.698697,0.7124,0.747616,0.698384,0.789779,0.848357,0.881797,0.849951,0.867869,0.810267,0.759603,0.724225,0.754515,0.677061,0.824267,0.818472
159.172,0.976427,0.0437891,7,191,0,-121.917,-0.670227,1.09545,0.0221993,0.302109,0.509601,-0.16381,-0.172208,-0.0461899,-0.215994,-0.0400592,0.506442,0.208974,1,-0.0143169,-0.0143169,1,-0.210121,0.516457,0.279628,0.304148,0.57834,-0.826058,-0.457544,0.640367,-0.368534,0.169164,0.989437,0.639865,0.0598634,-0.0386565,-0.18557,-0.0704363,0.0435006,-0.473004,-0.0865516,-0.413879,-0.325157,-0.189629,-0.10864,-0.801722,-1.11745,-1.14571,-0.66855,-0.42477,-0.27957,0.297188,-0.0271671,-0.430801,-0.299393,-0.750456,1.57145,0.376171,2.0523,2.16928,7.19809,5.83438,4.6664,9.32681,2.83639,5.03314,4.85576,4.00308,3.94801,2.24374,6.71088,4.19077,4.48579,3.69148,6.33511,11.8059,7.94841,4.01787,4.78779,4.46694,5.11383,7.71709,2.90881,6.48951,6.35528,10.5135,6.4575,9.44413,6.22308,4.9532,0.140569,0.0760936,0.362999,-1.01597,-0.564819,0.520378,-0.437668,0.189025,0.78681,0.551661,-0.0982659,0.0257025,-0.917539,-0.929541,-0.769414,-1.32406,-0.79945,-1.11534,-1.16519,-0.862694,-0.83256,-1.63202,-2.06635,-2.56473,-1.52845,-1.62144,-1.09511,-0.963052,-1.02705,-1.07457,-1.47699,-1.52136,0.464916,0.480986,0.410234,0.734187,0.637567,0.372764,0.607703,0.452884,0.312854,0.365479,0.524547,0.493575,0.71454,0.716982,0.683394,0.789856,0.689857,0.753124,0.762275,0.703223,0.696896,0.836446,0.887589,0.928557,0.821779,0.834994,0.749343,0.723732,0.736344,0.745465,0.814118,0.820739
149.871,0.783656,0.0437891,7,127,0,-116.009,-0.215858,0.400637,-0.567299,-1.33246,-0.389506,-0.141737,-0.0105175,-0.087319,-0.160715,-0.124085,0.852442,0.0673051,1,0.47246,0.47246,1,0.100324,0.735622,-0.137223,-0.126249,-0.0166851,-1.45006,-1.23622,0.149138,-1.39513,-0.425558,0.46637,0.54764,-0.66614,-0.234527,-0.0774332,0.260404,0.195104,-0.228857,0.19753,-0.297576,0.0714604,-0.284997,-0.481989,-1.14549,-0.256538,0.0897274,0.136896,0.226405,0.779842,1.09028,1.01672,1.05448,0.525474,0.528732,1.66718,0.411585,3.74849,4.58394,4.33077,5.61882,5.34055,7.15255,7.48244,4.0201,4.13628,6.65225,3.49267,2.48878,12.2664,3.27145,5.50019,8.76481,2.80225,3.68309,6.12138,7.58002,12.7935,4.71315,5.13948,2.92201,9.03137,3.64273,6.9938,7.25473,6.6461,20.0038,7.41926,5.52354,0.113256,0.0472275,0.167792,-1.24359,-0.958238,0.416118,-1.08415,-0.037573,0.661848,0.842122,-0.432161,0.19196,-1.07528,-0.847446,-0.825428,-1.28239,-0.783816,-1.12697,-1.01989,-1.18452,-1.42552,-2.13371,-2.25503,-2.26319,-1.78459,-1.9603,-1.12943,-1.15142,-1.05206,-0.680002,-1.64473,-1.31575,0.471716,0.488195,0.45815,0.776187,0.722769,0.397446,0.747278,0.509392,0.340325,0.301088,0.60639,0.452157,0.7456,0.700031,0.695387,0.782856,0.686502,0.755279,0.734951,0.76576,0.806202,0.894137,0.905083,0.905782,0.856263,0.876565,0.755734,0.759771,0.741171,0.663739,0.838177,0.788474
140.901,0.996815,0.0437891,7,127,0,-102.437,-0.254325,-0.15596,-0.048722,0.340204,0.124989,-0.0933261,0.100087,-0.0712841,-0.322273,-0.192871,0.332845,0.279451,1,-0.232781,-0.232781,1,-0.568078,0.762084,0.383109,0.488987,0.302231,-0.940741,-0.638546,0.417112,-1.02816,-0.017997,0.794382,0.674663,0.121293,-0.693577,-0.699223,-0.781032,-0.368973,-1.13066,0.0104349,-0.171525,-0.61615,-1.12509,-0.81351,-1.10925,-1.92436,-0.545819,-1.60902,-1.03736,-0.0542341,-0.119789,-0.225606,-0.388263,-0.461185,-1.07747,1.398,0.577611,2.87441,3.26824,3.71795,2.87897,6.18635,6.72182,5.08175,2.83108,4.95184,4.41367,2.76293,1.9363,7.97048,1.57426,7.3227,7.61425,2.19729,2.25785,5.60242,5.49652,6.84015,3.92818,6.7667,1.58314,4.76891,4.14262,3.53824,10.8837,2.97025,14.5862,6.54454,4.64018,0.444135,0.49931,0.319797,-0.908688,-0.559413,0.489002,-0.927299,0.133569,0.819192,0.764662,0.171454,-0.51666,-1.185,-1.33924,-0.855897,-1.63931,-0.464476,-0.505016,-1.16349,-1.53234,-1.24973,-1.56111,-2.5678,-1.85553,-2.20175,-2.02117,-0.422476,-1.13982,-0.698875,-0.85786,-1.43413,-1.6195,0.390756,0.377703,0.420725,0.712732,0.636317,0.380129,0.716527,0.466657,0.305935,0.317635,0.457241,0.626366,0.765845,0.792365,0.701803,0.837441,0.614075,0.623637,0.761967,0.822349,0.777253,0.826512,0.92876,0.864775,0.900406,0.883002,0.604076,0.757646,0.667938,0.702213,0.807545,0.834726
146.45,0.932439,0.0437891,7,127,0,-102.25,0.304571,-0.207321,-0.431494,-0.476593,-0.300073,-0.20771,0.145442,-0.154686,-0.236378,-0.296348,0.127122,0.45244,1,0.446393,0.446393,1,-0.745382,0.562436,-0.695475,-0.335147,-0.169859,-1.6728,-1.28554,-0.516991,-1.5369,-0.73364,-0.15453,-0.248387,-0.59686,-1.56861,-0.777743,-0.680973,-0.0035861,-0.937861,-0.116223,-0.903764,-0.307063,-0.709276,-0.657286,-1.2448,-1.07962,-1.36728,-1.13778,-0.934076,0.0506476,0.250587,-0.829336,-0.33012,-0.243264,-0.869924,1.642,0.550334,1.92269,3.02259,7.55093,8.8577,3.32748,6.9524,2.72703,6.39332,3.30083,3.92536,3.5741,2.84255,13.2712,5.09477,2.66663,4.96389,6.72722,23.8867,7.09772,3.17362,7.61017,6.67763,4.30622,9.97474,2.83847,6.00577,7.61744,4.75346,11.1926,11.9656,6.50325,4.671,0.141477,0.38896,0.570368,-0.900336,-0.408284,0.344142,-0.611282,0.304821,0.601818,0.653048,0.215911,-0.473726,-1.29946,-1.36389,-0.53182,-1.51446,-0.613755,-1.09844,-0.965802,-1.06018,-1.07267,-1.69896,-1.91306,-2.72184,-1.85838,-2.0442,-0.6512,-0.940137,-1.76493,-0.776663,-1.3292,-1.47767,0.46469,0.403968,0.361152,0.711019,0.600676,0.414804,0.648233,0.424379,0.353928,0.342303,0.446231,0.616265,0.785743,0.796392,0.629908,0.819721,0.648797,0.749969,0.724282,0.742725,0.745105,0.845398,0.871362,0.938303,0.865108,0.88536,0.657281,0.719127,0.853827,0.68496,0.790709,0.814221
139.312,0.774689,0.0437891,6,63,0,-99.7045,0.167341,-0.346512,-0.302431,-0.170855,-0.43486,-0.141089,0.236687,-0.204412,-0.337912,-0.359997,0.139074,0.394989,1,0.50213,0.50213,1,-0.684901,0.573032,-0.428556,-0.434351,-0.55135,-2.29259,-1.49151,-0.154317,-1.84375,-0.840909,-0.122801,-0.405827,-0.447277,-1.04971,-0.676335,-0.224934,-0.44148,-0.972941,-0.104874,-0.753761,-0.741717,-0.489621,-0.891984,-0.909149,-1.34973,-1.51216,-1.20686,-0.470792,0.370771,0.271848,-1.18674,-0.70324,-0.572221,-1.03538,1.5883,0.690235,2.17133,3.77599,6.13728,7.5128,3.62882,7.47507,2.60706,5.38332,3.48904,5.12346,2.64803,3.00072,9.21279,4.42146,3.8391,5.56587,4.22539,21.5452,6.02158,3.15055,7.77914,7.03105,3.56805,9.07586,3.45417,7.32928,9.04384,5.33284,8.98694,15.8284,6.89446,5.06235,0.4463,0.363853,0.257805,-1.46153,-0.589278,0.736963,-0.908671,0.170823,0.697304,0.512829,0.411153,0.000344464,-1.37761,-1.03571,-1.04784,-1.61215,-0.789722,-0.934876,-1.53607,-0.975533,-1.4217,-1.36585,-2.15721,-3.02832,-1.9377,-1.64357,-0.169981,-0.955677,-1.88627,-1.24792,-1.72857,-1.68957,0.390241,0.410027,0.435903,0.811767,0.643199,0.323669,0.712728,0.457398,0.33241,0.37453,0.398636,0.499914,0.798607,0.738021,0.740361,0.83371,0.687772,0.718063,0.822892,0.726221,0.805604,0.796709,0.896341,0.953837,0.874099,0.83802,0.542393,0.722256,0.868329,0.77694,0.849229,0.844167
