# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim5_cor_model
# start_datetime = 2022-02-18 19:23:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpoJNH5n/standata-158c55322fb7.json
# init = 2 (Default)
# random
#   seed = 1753124484
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim5_cor-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_cor-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim5_cor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,mu_aHS,bP,bAHS.1,bAHS.2,bAHS.3,mu_bAHS,sigma_abHS.1,sigma_abHS.2,Rho.1.1,Rho.2.1,Rho.1.2,Rho.2.2,m_c,s_c,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0535104
# Diagonal elements of inverse mass matrix:
# 0.195022, 0.591721, 0.302526, 0.300988, 0.197845, 0.0183414, 0.0419778, 0.0251777, 0.0302437, 0.0515524, 0.891195, 0.556103, 0.318472, 0.198545, 0.0327907, 0.303037, 0.292188, 0.270816, 0.293015, 0.284616, 0.262893, 0.307415, 0.289099, 0.290607, 0.271571, 0.283876, 0.309739, 0.275822, 0.312487, 0.278336, 0.27698, 0.305205, 0.304828, 0.28053, 0.257431, 0.266336, 0.28016, 0.324901, 0.428182, 0.306448, 0.326001, 0.29515, 0.312291, 0.333936, 0.280682, 0.296525, 0.287416, 0.0131441, 0.0897643, 0.0999581, 0.0974694, 0.0944998, 0.116235, 0.10994, 0.133865, 0.106357, 0.0881099, 0.0975405, 0.113044, 0.0735284, 0.0809933, 0.191312, 0.085291, 0.106179, 0.124884, 0.105685, 0.122212, 0.135905, 0.108471, 0.162179, 0.126968, 0.153344, 0.161036, 0.126033, 0.138285, 0.130107, 0.123459, 0.122231, 0.314061, 0.117941, 0.0947286
161.498,0.90069,0.0535104,6,63,0,-124.435,-0.699855,-1.11819,-1.05004,-0.931048,-0.956106,-0.224988,0.351435,0.0110746,-0.0216895,0.276114,0.208986,0.447824,1,-0.578421,-0.578421,1,0.534076,0.636163,0.983167,0.545488,1.04468,-0.714841,-0.244615,0.929531,-0.314842,0.389463,1.1949,1.47823,0.237886,-0.00530894,0.159616,0.974723,0.966941,0.577826,0.798047,0.892153,0.442765,0.335108,0.499814,0.17432,-0.372184,-0.409624,0.315663,-0.0263245,1.07476,0.551223,0.867838,0.468103,-0.250834,0.616614,1.4599,0.34763,2.93076,3.16761,5.14005,4.79673,4.62562,6.42542,3.3331,4.9396,6.16435,6.63564,4.42062,1.74643,7.15258,2.97575,6.67753,5.47527,3.58351,4.93228,5.43047,5.08649,8.36202,3.79034,7.19672,4.40427,2.95825,3.45981,5.42348,5.93945,4.70708,10.0533,7.33595,6.15321,0.741928,0.182017,0.69867,-1.02593,-0.4422,0.714484,-0.460042,0.366496,0.866357,1.30684,-0.0295461,0.0328393,-1.48202,-0.841535,-0.860392,-1.30189,-0.817401,-0.931137,-1.3473,-1.30015,-1.20529,-1.7514,-2.25082,-2.38403,-1.44074,-1.97031,-0.895693,-1.48007,-1.35581,-0.991455,-2.16862,-1.01756,0.322583,0.454621,0.332107,0.736125,0.608783,0.328609,0.613024,0.409388,0.296013,0.213016,0.507386,0.491791,0.814878,0.698788,0.702743,0.786153,0.693684,0.717306,0.793688,0.78586,0.769464,0.852129,0.904721,0.915601,0.80857,0.877644,0.710064,0.814583,0.795077,0.729375,0.897396,0.734497
163.293,0.998035,0.0535104,6,63,0,-128.88,-0.437291,-0.945131,-0.932052,-0.826248,-0.728908,-0.164301,0.204817,-0.0707897,-0.177036,-0.420968,0.137633,0.317917,1,-0.490044,-0.490044,1,0.297686,0.502923,0.473102,0.960301,0.89903,-0.00101415,-0.00130655,0.830017,-0.375653,0.174969,1.21561,1.14629,0.520718,0.608828,-0.161163,0.627607,0.661508,0.366462,0.36,0.186645,0.424076,0.306976,0.530833,0.00581759,-0.436481,-0.121712,-0.634602,0.381503,0.700374,0.99858,0.393142,0.769633,0.114507,-0.00314389,1.59704,0.443709,2.19091,2.84369,5.09664,3.90806,2.16693,6.31804,4.36747,5.72272,3.61931,4.37336,5.29257,2.1209,10.9855,2.91179,4.30418,8.08253,6.22769,6.74958,4.76513,4.15714,10.4518,4.21576,4.15092,3.31575,6.33865,3.8342,8.46406,4.67716,4.14503,6.02867,8.14809,5.79292,0.0348763,0.432813,0.384294,-0.490247,-0.407654,0.410918,-0.743745,-0.103861,0.713627,0.759069,0.0633642,0.374628,-1.68808,-1.02683,-0.922138,-1.25544,-1.14779,-1.23629,-1.21123,-1.1364,-0.963552,-1.5708,-2.20333,-2.28088,-2.31219,-1.59426,-0.972321,-1.04094,-1.46445,-0.691172,-1.84212,-1.59146,0.491282,0.393455,0.405092,0.620165,0.600525,0.398692,0.677814,0.525942,0.328798,0.318849,0.484164,0.407423,0.843972,0.736301,0.715478,0.77824,0.759107,0.774918,0.770517,0.757018,0.723832,0.827897,0.900548,0.907281,0.909881,0.831214,0.725582,0.739031,0.812213,0.666228,0.8632,0.830822
147.179,0.960631,0.0535104,6,127,0,-115.293,-0.073074,-0.880122,-0.91396,-0.898515,-0.887965,0.0284403,0.199111,-0.27518,-0.410975,0.16836,0.0536772,0.368405,1,-0.212735,-0.212735,1,0.261501,0.644325,0.612659,0.335116,0.692118,-0.695432,-0.643042,0.734656,-0.694776,0.543632,0.462833,1.29958,-0.461844,0.157955,0.380186,0.462858,0.297467,0.1396,0.553498,-0.333995,0.384316,-0.0371413,0.287394,-0.599146,-0.1386,-0.463737,-0.35414,0.115165,0.699639,1.04619,-0.808364,1.07488,0.0666338,0.422024,1.68326,0.726108,3.60042,2.6421,5.80324,9.17737,8.39184,8.87432,5.36441,5.59035,2.56388,3.81087,2.34674,3.53733,8.65366,4.77382,5.25574,7.01747,3.48618,5.70218,9.63667,8.14054,5.64465,8.93631,4.23658,7.97387,5.62179,5.7868,4.79424,18.1585,6.75137,26.0503,8.92452,7.55562,0.434284,0.172192,0.526987,-0.864978,-0.826935,0.55297,-0.885292,0.337666,0.295495,1.11238,-0.636908,-0.0557366,-1.44187,-1.33713,-1.22734,-1.37858,-1.27187,-1.31175,-1.41898,-1.58623,-1.25286,-1.83774,-1.90631,-3.04677,-2.1373,-2.058,-0.642745,-1.11594,-2.11874,-0.745799,-2.10984,-1.37659,0.393104,0.457058,0.37122,0.7037,0.695706,0.365176,0.707918,0.416377,0.426659,0.247427,0.654054,0.513931,0.808745,0.792017,0.773353,0.798764,0.781063,0.787806,0.805179,0.830085,0.777795,0.862681,0.870604,0.954643,0.894476,0.886753,0.655374,0.753235,0.892711,0.678263,0.891856,0.798442
150.364,0.810551,0.0535104,6,63,0,-119.983,-0.0436612,-0.923693,-0.838382,-0.825381,-0.873652,0.0427742,0.19596,-0.255946,-0.394377,0.163155,0.0493111,0.345885,1,-0.177382,-0.177382,1,0.271774,0.646164,0.616653,0.344428,0.653393,-0.785402,-0.600653,0.774904,-0.688237,0.528714,0.464933,1.26703,-0.466184,0.131431,0.37935,0.486176,0.280903,0.0772526,0.528774,-0.387037,0.279371,-0.00761161,0.387604,-0.54477,-0.133743,-0.452158,-0.367117,0.0122983,0.6232,1.03316,-0.709563,1.12318,0.117956,0.415402,1.68044,0.715752,3.7037,2.62391,5.70246,9.15759,8.4742,8.46129,5.04506,5.64467,2.68778,3.95947,2.36178,3.51506,8.09276,4.67507,5.21397,7.10468,3.61881,5.74289,10.3721,8.04165,5.42366,8.65448,4.107,8.40834,5.51594,5.91756,5.01947,18.144,6.68635,24.6283,8.63507,7.60068,0.400616,0.151629,0.457275,-0.98816,-0.824989,0.553888,-0.922533,0.27118,0.265495,1.03772,-0.677242,-0.137723,-1.2848,-1.14477,-1.0941,-1.28779,-1.14035,-1.25513,-1.35656,-1.41913,-1.01064,-1.64723,-1.75269,-2.8499,-2.0093,-1.99272,-0.579789,-0.955264,-1.86442,-0.575438,-1.89205,-1.25002,0.401164,0.462165,0.387633,0.728724,0.695294,0.364963,0.715558,0.432618,0.434014,0.261591,0.663123,0.534376,0.783265,0.758555,0.749153,0.783773,0.757744,0.778186,0.7952,0.805202,0.733145,0.838516,0.852292,0.945313,0.88177,0.880031,0.641019,0.722173,0.865811,0.640017,0.868989,0.777303
156.312,0.757645,0.0535104,7,127,0,-118.009,-0.470322,-0.472412,-0.450755,-0.51146,-0.421914,-0.212846,0.132356,-0.238503,-0.22972,0.330555,0.101246,1.12816,1,0.931495,0.931495,1,0.310779,0.438482,0.447658,0.600718,0.78948,-0.473499,-0.0578837,0.765051,-0.75412,0.189552,1.42101,0.987189,0.849015,0.441603,0.348287,1.06162,0.934398,0.429868,0.700896,0.118211,0.48125,0.34763,0.314212,-0.36012,-0.21651,-0.124453,0.483319,0.577918,0.691662,0.904357,-0.00928751,0.621457,0.120733,0.237846,1.64624,0.473902,1.8364,3.6603,5.3209,4.70371,2.36529,10.2165,7.24244,7.06591,6.49745,3.7246,2.39766,2.48165,16.8547,1.63676,3.46525,8.78283,4.10165,7.60784,5.87447,3.85542,10.1919,3.91509,3.04817,3.57074,2.73644,4.56015,6.27015,8.06819,7.96448,11.614,5.71402,8.17543,0.196185,0.233609,0.438891,-0.791049,-0.268058,0.538357,-0.914737,0.144571,1.08694,0.801794,0.572763,0.454439,-1.21732,-0.669175,-0.557897,-1.11198,-0.83993,-0.872298,-1.22477,-0.962952,-1.06245,-1.69651,-1.85106,-2.268,-1.0356,-1.32765,-0.820544,-1.08381,-1.76102,-0.616629,-1.76006,-1.16543,0.45111,0.441862,0.392005,0.688057,0.566616,0.36857,0.713968,0.46392,0.252194,0.309642,0.3606,0.388306,0.771591,0.661318,0.635966,0.752499,0.698451,0.705224,0.772902,0.723713,0.743158,0.845078,0.864252,0.906192,0.737999,0.790452,0.694352,0.747214,0.853338,0.649451,0.853217,0.762319
137.35,0.502463,0.0535104,6,63,0,-105.006,-0.0547088,0.42265,-1.05095,-1.21504,-0.473437,-0.0283072,-0.153923,-0.0884886,-0.359224,-0.305884,0.636286,0.2229,1,-0.583132,-0.583132,1,0.417965,0.530593,0.550189,0.467871,0.783371,-0.717645,-0.458383,0.535822,-0.243595,0.398456,0.665276,1.22372,1.21906,-0.165291,-0.0252948,0.790847,0.544326,0.261544,0.646131,0.468699,-0.0743995,0.000730319,-0.232619,-0.508141,-0.352445,0.0675391,0.242233,0.603141,0.681029,0.959412,0.337178,1.03264,0.293652,0.579922,1.25703,0.627494,1.98256,2.66533,5.73741,5.67381,6.47035,4.69763,1.33496,4.68523,1.16374,6.46238,3.04437,1.81157,10.7039,3.75737,7.16946,9.20887,2.49088,8.23491,6.41159,5.77243,8.77365,3.32594,3.89601,2.11091,5.62255,5.83975,6.42538,11.0383,4.77757,48.9965,5.67368,5.36846,0.323962,0.226266,0.543963,-0.95266,-0.679117,0.31289,-0.457738,0.199691,0.428065,1.00628,0.98954,-0.356366,-1.38698,-0.59281,-0.750842,-1.04022,-0.71226,-0.646196,-1.45476,-1.27027,-1.51241,-1.72581,-2.36635,-2.6714,-1.75629,-1.77548,-0.987931,-1.43019,-1.36364,-0.928535,-2.08167,-1.40322,0.419711,0.443674,0.367266,0.72165,0.663542,0.422409,0.612478,0.450242,0.394589,0.267708,0.271003,0.58816,0.80011,0.64401,0.679362,0.738892,0.6709,0.656153,0.81073,0.780789,0.819418,0.848875,0.914225,0.935318,0.852745,0.855138,0.728679,0.806931,0.79635,0.716778,0.889109,0.802695
