# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim5_cor_model
# start_datetime = 2022-02-17 16:40:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpo9Ajcw/standata-1154421d3b4b.json
# init = 2 (Default)
# random
#   seed = 1427415602
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim5_cor-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim5_cor-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim5_cor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,z_abHS.1.1,z_abHS.2.1,z_abHS.1.2,z_abHS.2.2,z_abHS.1.3,z_abHS.2.3,mu_aHS,bP,mu_bAHS,sigma_abHS.1,sigma_abHS.2,L_Rho.1.1,L_Rho.2.1,L_Rho.1.2,L_Rho.2.2,mu_a,sigma_a,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_a.6,z_a.7,z_a.8,z_a.9,z_a.10,z_a.11,z_a.12,z_a.13,z_a.14,z_a.15,z_a.16,z_a.17,z_a.18,z_a.19,z_a.20,z_a.21,z_a.22,z_a.23,z_a.24,z_a.25,z_a.26,z_a.27,z_a.28,z_a.29,z_a.30,z_a.31,z_a.32,mu_the,sigma_the,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,mu_abHS.1,mu_abHS.2,RE.1.1,RE.2.1,RE.1.2,RE.2.2,RE.1.3,RE.2.3,aHS.1,aHS.2,aHS.3,bAHS.1,bAHS.2,bAHS.3,a_i.1,a_i.2,a_i.3,a_i.4,a_i.5,a_i.6,a_i.7,a_i.8,a_i.9,a_i.10,a_i.11,a_i.12,a_i.13,a_i.14,a_i.15,a_i.16,a_i.17,a_i.18,a_i.19,a_i.20,a_i.21,a_i.22,a_i.23,a_i.24,a_i.25,a_i.26,a_i.27,a_i.28,a_i.29,a_i.30,a_i.31,a_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32,Rho.1.1,Rho.2.1,Rho.1.2,Rho.2.2
# Adaptation terminated
# Step size = 0.0400697
# Diagonal elements of inverse mass matrix:
# 0.184989, 0.697652, 0.809658, 0.429616, 0.6879, 0.57669, 0.825955, 0.197442, 0.00897966, 0.0126289, 1.11921, 1.47877, 0.32118, 0.171362, 0.502903, 0.711596, 0.538648, 0.670097, 0.601201, 0.566534, 0.697342, 0.763544, 0.605258, 0.611221, 0.745363, 0.710027, 0.711155, 0.721546, 0.61972, 0.747279, 0.602933, 0.619052, 0.770133, 0.64518, 0.512982, 0.63097, 0.810454, 0.906542, 0.776054, 0.700273, 0.687452, 0.52217, 0.919042, 0.833896, 0.624591, 0.65469, 0.712611, 0.0331453, 0.0237955, 0.2462, 0.290749, 0.195984, 0.253331, 0.221191, 0.221352, 0.292823, 0.229015, 0.373128, 0.193651, 0.231634, 0.275589, 0.245462, 0.219398, 0.246473, 0.275638, 0.227467, 0.199124, 0.183686, 0.272838, 0.267463, 0.21902, 0.230263, 0.270252, 0.22068, 0.240663, 0.387687, 0.248852, 0.274037, 0.19961, 0.264304, 0.277087
76.5481,0.999863,0.0400697,7,127,0,-36.2949,-0.0249139,0.942248,0.528371,0.644947,1.11578,-0.166128,-1.44513,-0.534905,-0.0998961,0.267518,0.400688,0.00470991,1,-0.0371469,0,0.99931,-0.369749,0.16432,0.920744,-1.62475,0.72053,-0.0783122,0.172681,-1.00513,1.14036,1.26105,0.414677,-1.09026,-1.67189,-0.761944,-0.849757,0.467069,0.414511,0.382554,-0.352889,-0.143914,-0.393484,1.01859,0.968439,2.64063,-1.22905,0.124105,-0.163945,-0.736603,0.159519,-0.000872624,-0.0631032,-0.573613,-0.691376,1.21488,1.43842,0.871831,0.885734,0.822159,-0.355881,0.581867,-0.554784,-1.56826,0.785473,-0.691365,2.1475,-0.529251,0.207431,0.580599,0.406508,0.443518,0.209748,1.00293,-0.686484,-0.523226,0.0466139,1.57134,0.00340053,-0.254339,-1.24504,0.723645,-1.00944,0.56402,2.52448,-3.04005,1.65381,-0.0479827,0.679227,0.719571,-0.534905,0.267518,-0.157357,-0.276482,-0.60147,0.26984,0.272656,0.260745,-0.157357,-0.276482,-0.60147,0.26984,0.272656,0.260745,-0.218452,-0.636728,-0.251352,-0.382618,-0.341374,-0.534913,-0.182365,-0.162534,-0.301609,-0.548902,-0.644475,-0.494952,-0.509382,-0.293,-0.301637,-0.306888,-0.427736,-0.393397,-0.434407,-0.202373,-0.210615,0.0641602,-0.571707,-0.349356,-0.396689,-0.490788,-0.343537,-0.369893,-0.380118,-0.464006,-0.483357,-0.17012,9.12142,8.62961,3.08993,6.99857,2.59799,1.07375,8.35796,2.30634,27.4036,2.65647,5.04935,6.99083,6.00638,6.20334,5.05956,10.1026,2.31618,2.67046,4.3888,16.5827,4.22652,3.37594,1.42326,7.91937,1.74779,6.89051,38.0666,0.297602,17.8189,4.04137,7.61855,7.89129,0.754592,0.282044,0.675174,0.559414,0.651053,0.449761,0.833321,0.907425,0.632669,0.455155,0.316939,0.602142,0.0405057,0.179356,-0.101937,-0.130447,0.133781,-0.727381,0.0495792,0.0826107,0.0433567,-0.0475621,-0.767336,-0.0467552,-0.538047,-0.445056,-0.850307,-0.362926,-0.999309,-0.473561,-0.425994,-0.257206,0.319822,0.429953,0.337339,0.363683,0.342752,0.389418,0.302943,0.287527,0.346906,0.388136,0.421422,0.353854,0.489875,0.455281,0.525462,0.532566,0.466605,0.67423,0.487608,0.479359,0.489163,0.511888,0.682944,0.511687,0.631358,0.609463,0.700632,0.589748,0.730923,0.616226,0.604917,0.563949,1,-0.0371469,-0.0371469,1
65.7925,0.861243,0.0400697,7,127,0,-33.6182,-0.669818,0.248119,1.35978,1.05304,-1.84907,-1.99344,-1.0875,0.65741,-0.103078,0.0768613,0.262329,0.0612901,1,-0.58722,0,0.809427,-0.0851606,0.242027,0.762168,-0.471813,-0.404912,-0.313055,2.03773,1.04144,0.60616,-2.91859,0.613874,-0.610514,-0.224792,1.3216,0.529945,0.413583,0.158151,-0.233851,-1.85332,-1.41267,1.41263,-1.19079,-1.39172,-0.351294,-1.36919,0.964208,-0.915515,0.515736,-0.590564,0.294226,0.33039,0.78724,0.073771,1.21988,1.21042,0.793405,0.74052,0.792106,-0.0490378,0.182493,-0.0099601,-0.998756,0.688695,-0.866881,1.83108,-0.227222,0.0731728,1.50742,0.620926,0.496758,0.134081,1.02586,0.634235,-0.467664,-0.239893,1.4486,-0.214975,-0.26989,-0.854959,0.135265,-0.697355,0.141785,1.8855,-1.89935,1.82705,0.174352,0.565608,0.617718,0.65741,0.0768613,0.722499,0.933653,0.134474,0.13539,-0.0527705,0.0946559,0.722499,0.933653,0.134474,0.13539,-0.0527705,0.0946559,0.0993043,-0.199352,-0.18316,-0.160928,0.408025,0.166896,0.0615462,-0.791537,0.0634131,-0.232921,-0.139566,0.234702,0.0431001,0.0149375,-0.0468838,-0.141759,-0.533713,-0.427063,0.256732,-0.373363,-0.421995,-0.170183,-0.41654,0.148203,-0.30674,0.0396611,-0.228093,-0.0139501,-0.00519736,0.105372,-0.067306,0.210083,6.03726,6.28948,3.22687,3.87757,3.32848,1.51892,5.79405,1.68646,14.3422,2.80145,3.55542,11.0941,5.49074,4.97561,3.73146,7.57114,5.54903,2.31491,2.77343,10.5882,2.82881,2.7082,1.70249,3.73496,1.92925,3.75433,14.975,0.74339,14.2964,3.8526,5.25497,5.47678,0.77192,0.417264,0.441455,0.479687,1.10064,0.851512,0.778162,-0.0189209,0.696029,0.471695,0.521049,1.03532,0.182998,0.0748352,0.0657843,-0.0530907,-0.381815,-0.196854,0.32863,-0.172694,-0.253327,-0.0447447,-0.856199,-0.126143,-0.690398,-0.325341,-0.814407,-0.418953,-0.707512,-0.142285,-0.420308,-0.117575,0.316064,0.397172,0.391394,0.382326,0.24962,0.299116,0.314716,0.50473,0.332693,0.384215,0.372607,0.262054,0.454378,0.4813,0.48356,0.51327,0.594311,0.549055,0.418574,0.543067,0.562995,0.511184,0.701866,0.531494,0.666055,0.580625,0.693048,0.603233,0.669851,0.535511,0.603557,0.52936,1,-0.58722,-0.58722,1
73.4556,0.718659,0.0400697,7,127,0,-25.6866,0.14833,-0.502546,-0.343296,0.244407,-0.915253,-1.0527,-0.420168,-0.65877,-0.214981,0.49076,0.232765,0.514991,1,0.219439,0,0.975626,0.0313301,0.223204,-0.0786428,-2.22292,-0.516684,0.407082,-0.106823,-1.1816,1.3024,0.230632,0.342428,-1.15391,-1.27013,-0.202552,0.184415,1.48169,-1.1274,-0.0822506,1.06018,0.806932,1.44066,-0.666273,1.73824,0.765046,-0.451258,1.30246,0.0320472,-0.970685,0.67454,-1.74506,0.314094,0.787158,0.281715,0.402571,1.45144,0.782224,0.754249,1.20768,-0.217926,0.702698,0.829444,-2.6239,0.16673,0.133601,1.80501,-2.43483,-0.338093,0.0657418,0.16897,0.625131,-0.519622,0.241919,0.200388,-0.311939,-0.390141,-0.106017,1.54068,-0.504098,-0.577732,1.03844,0.20133,1.00878,2.99698,-2.52608,-0.0700743,-1.38486,0.686584,1.06444,-0.65877,0.49076,-0.775746,-0.601881,-0.903802,0.261483,0.058522,0.160686,-0.775746,-0.601881,-0.903802,0.261483,0.058522,0.160686,0.0137767,-0.464834,-0.0839958,0.122192,0.0074867,-0.232407,0.322031,0.082808,0.107761,-0.226226,-0.252168,-0.0138803,0.0724924,0.36205,-0.220311,0.0129714,0.267966,0.21144,0.352892,-0.117385,0.419313,0.202091,-0.0693926,0.322045,0.0384831,-0.185331,0.18189,-0.358174,0.101437,0.207027,0.09421,0.121186,7.70162,10.9805,3.60014,7.39724,8.16822,0.548242,4.864,4.73957,17.5204,0.635626,3.27716,4.49455,4.87252,6.96176,2.84334,5.15865,4.99375,3.34489,3.14641,3.9295,14.2477,2.87808,2.71699,9.61892,4.99744,9.39835,44.5115,0.591841,4.04154,1.44509,7.30458,9.81654,0.595754,0.000347466,0.397871,0.637429,0.631176,0.374597,0.995776,0.873348,0.606313,0.422491,0.304782,0.835058,-0.133799,-0.0110919,-0.651975,-0.468748,0.0867029,-0.31224,0.0047776,-0.365513,0.104444,-0.37152,-0.69876,-0.0360047,-0.474088,-0.695724,-0.716616,-0.951993,-1.039,-0.0218983,-0.391156,-0.27459,0.355316,0.499913,0.401824,0.345828,0.347244,0.407431,0.269773,0.294558,0.352901,0.395921,0.424389,0.302577,0.5334,0.502773,0.657455,0.615087,0.478338,0.577432,0.498806,0.590374,0.473913,0.591826,0.667913,0.509,0.616351,0.667239,0.671861,0.721516,0.738658,0.505474,0.596561,0.568219,1,0.219439,0.219439,1
72.7922,0.194933,0.0400697,7,127,0,-34.9163,-0.406725,-0.0654907,-0.719046,-0.184644,-0.988699,-0.606968,-0.354388,-0.124707,-0.0348508,0.297183,1.20865,0.0802304,1,0.488725,0,0.872438,0.0405042,0.361485,0.250373,-1.00399,-0.0861164,0.530948,1.37548,-0.186376,1.16588,-1.12683,0.194867,-0.00218009,-0.0951807,0.00472173,0.645704,0.997095,0.101452,0.0999796,-1.15122,0.526744,2.22047,0.459391,-0.150235,2.3787,-1.06849,0.708861,-0.431034,0.838098,0.461212,-1.41048,0.987525,0.679519,1.12434,1.53014,1.42598,0.567295,0.155,1.30207,-0.128308,0.538644,0.328172,-1.3792,1.77417,0.0894232,1.09404,-1.16429,-0.537667,-1.29284,1.32031,1.02353,0.781498,-0.0150685,1.1507,-0.602089,-1.12717,1.38608,0.449449,-0.833102,-1.52495,0.378724,-0.399149,0.719823,1.9611,-2.52722,0.93645,-1.13768,0.941849,1.87528,-0.124707,0.297183,-0.203863,-0.347878,-0.85832,0.244285,0.220738,0.248578,-0.203863,-0.347878,-0.85832,0.244285,0.220738,0.248578,0.13101,-0.322424,0.00937444,0.232434,0.53772,-0.0268679,0.461953,-0.366826,0.110946,0.0397161,0.00609784,0.042211,0.273916,0.400939,0.0771777,0.0766453,-0.375642,0.230914,0.843169,0.206567,-0.0138034,0.900368,-0.345739,0.296747,-0.115308,0.343464,0.207225,-0.469364,0.397479,0.28614,0.446936,0.593628,4.54445,8.71139,3.86974,5.64938,5.01356,1.90325,11.3868,4.37849,7.74167,2.15002,3.06779,1.99882,8.80202,7.43814,6.48385,4.12649,7.99457,2.9577,2.19578,9.13661,5.37063,2.59441,1.75221,5.15942,3.31859,6.26092,12.6606,0.992323,7.07961,2.18273,7.10132,12.059,0.52406,0.051692,0.386195,0.614664,0.937532,0.370239,0.869879,0.0600337,0.490471,0.443585,0.39509,0.478538,0.193149,0.293124,-0.251376,-0.260023,-0.452352,-0.535058,0.739411,-0.0922329,-0.323423,0.337553,-1.14528,-0.0137576,-0.895919,-0.214266,-0.858479,-1.04062,-0.707445,-0.448489,-0.106736,-0.16805,0.371903,0.48708,0.404634,0.350996,0.281399,0.408483,0.295279,0.484996,0.379783,0.390887,0.402493,0.382597,0.451862,0.427239,0.562515,0.564642,0.611198,0.630662,0.323133,0.523042,0.580158,0.416404,0.758648,0.503439,0.71011,0.553362,0.702343,0.738969,0.669836,0.61028,0.526659,0.541914,1,0.488725,0.488725,1
68.9231,0.94391,0.0400697,7,127,0,-29.5049,-0.0770763,0.958516,0.297373,0.0453097,-1.13587,-0.967346,0.188702,0.0444739,-0.198894,0.135323,0.208052,0.0465769,1,0.148753,0,0.988874,-0.363904,0.12572,0.00567493,-0.0718516,-0.801411,0.0831638,0.905228,0.245998,2.18335,-1.0655,0.834445,1.48586,-0.713561,-0.351347,-0.247838,0.17814,-1.21206,0.598196,-0.323233,-0.390829,2.5499,1.13789,-0.216137,1.7207,-0.851585,1.75761,-1.88975,1.19963,0.103725,-0.31192,1.40533,-0.848592,0.494421,0.857082,1.5722,0.679621,0.378463,0.634654,0.587698,0.607251,-0.157399,-2.66465,0.631601,0.336791,1.96097,-1.87841,-0.468651,-0.993587,0.645053,0.4316,0.375647,0.888209,0.407478,-0.474811,-1.40427,0.859311,0.893834,-0.878435,-1.56226,0.568685,0.0269812,0.431221,-0.0188746,-3.2639,0.560284,-0.544635,1.12522,1.751,0.0444739,0.135323,0.243895,0.0539007,-0.156785,0.15566,0.0833197,0.137312,0.243895,0.0539007,-0.156785,0.15566,0.0833197,0.137312,-0.363191,-0.372937,-0.464658,-0.353449,-0.250098,-0.332977,-0.089412,-0.49786,-0.258997,-0.1771,-0.453613,-0.408075,-0.395062,-0.341508,-0.516285,-0.288699,-0.404541,-0.413039,-0.0433293,-0.220848,-0.391077,-0.147576,-0.470966,-0.142937,-0.601484,-0.213086,-0.350864,-0.403119,-0.187225,-0.470589,-0.301745,-0.256151,6.23022,7.41514,7.18225,7.27832,4.32853,0.787608,7.39977,6.05625,18.2637,1.34392,3.50326,2.45208,7.46773,6.45932,6.2183,8.80963,6.35429,3.48863,1.8549,8.6383,8.84337,2.65169,1.66605,7.09003,4.90638,6.45766,4.75583,0.52413,7.04967,3.32694,10.3493,15.8349,0.5775,0.459697,0.383413,0.525495,0.729183,0.630868,0.936179,0.635787,0.60451,0.825336,0.463922,0.779599,-0.10195,-0.202761,-0.460857,-0.279581,-0.088274,-0.501096,0.118573,0.00438106,-0.227594,-0.252651,-0.610858,-0.0545156,-0.633321,-0.254259,-0.728406,-0.521474,-0.788597,-0.240006,-0.319763,-0.179933,0.359508,0.387058,0.405304,0.371568,0.325374,0.347314,0.281673,0.3462,0.353312,0.304632,0.386056,0.314406,0.525465,0.550517,0.613218,0.569443,0.522054,0.622717,0.470392,0.498905,0.556654,0.562829,0.648137,0.513626,0.653242,0.563224,0.674455,0.627492,0.68753,0.559715,0.579266,0.544862,1,0.148753,0.148753,1
56.9281,0.986191,0.0400697,7,127,0,-20.7626,0.114455,0.160573,0.812775,-0.852325,1.79763,-1.30568,-0.0948228,-0.730708,-0.0693106,0.210862,0.350588,0.0218677,1,0.49807,0,0.867137,0.201961,0.0915093,-0.326432,-0.153212,-1.10123,-0.0830502,-1.04258,-1.49778,0.381512,0.340165,1.14056,-0.975454,-0.435293,1.18707,0.0409653,0.666618,-1.00632,-0.644304,-1.1434,1.43063,1.37679,-0.427047,-0.481125,0.211242,-0.265057,-0.159239,0.474145,-1.01272,2.25511,-1.07586,-0.665621,0.659286,-0.0156297,1.80696,1.68062,0.741048,-0.436895,0.227297,-0.402154,-0.327628,-0.653628,-2.01445,0.896804,-1.92519,1.45777,-1.78884,0.0349624,1.11034,0.444125,0.926193,-1.10962,0.889478,-0.0695506,-1.30307,-1.35873,1.5501,-0.737787,-1.23104,-0.550792,1.34409,-0.295813,-0.330639,2.88729,-2.56689,0.384858,-0.928542,-0.355259,0.718802,-0.730708,0.210862,-0.674413,-1.02952,-1.18846,0.228023,0.235666,0.194843,-0.674413,-1.02952,-1.18846,0.228023,0.235666,0.194843,0.172089,0.18794,0.101188,0.194361,0.106555,0.0648996,0.236873,0.233089,0.306332,0.112698,0.162127,0.310589,0.205709,0.262962,0.109873,0.143001,0.0973288,0.332876,0.32795,0.162882,0.157933,0.221291,0.177706,0.187389,0.245349,0.109288,0.408324,0.10351,0.14105,0.262291,0.20053,0.367315,3.884,6.35386,3.98529,4.21158,3.30771,1.20662,10.4354,1.28913,15.8141,1.42619,5.50983,12.2245,7.4614,10.6651,2.35925,10.3789,5.09921,2.04416,1.96156,16.934,3.10772,2.15624,3.56963,14.5364,4.31205,4.20219,45.6153,0.801266,7.14079,2.69806,4.12622,9.14577,0.576923,0.555119,0.473745,0.577677,0.524837,0.477802,0.671292,0.705164,0.684269,0.539048,0.558892,0.801491,0.020752,0.0242119,-0.364543,-0.347553,-0.0795596,-0.604802,0.0972682,-0.252362,-0.278828,-0.515687,-0.569572,-0.186341,-0.464273,-0.456595,-0.568762,-0.48927,-0.914036,-0.355883,-0.357284,-0.304653,0.359641,0.364678,0.38373,0.359467,0.371722,0.382771,0.338208,0.330668,0.335309,0.368409,0.363804,0.309707,0.494812,0.493947,0.59014,0.586024,0.519879,0.646754,0.475702,0.562758,0.569259,0.626139,0.638664,0.546451,0.614027,0.612206,0.638477,0.619934,0.713825,0.588043,0.588383,0.575579,1,0.49807,0.49807,1
