# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim5_nocor_model
# start_datetime = 2022-03-02 19:33:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b41848298a.json
# init = 2 (Default)
# random
#   seed = 1263843836
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim5_nocor-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim5_nocor-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim5_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0795675
# Diagonal elements of inverse mass matrix:
# 0.146561, 0.150656, 0.14858, 0.13738, 0.0243231, 0.015681, 0.0344336, 0.0175254, 0.142216, 0.0338805, 0.360573, 0.393844, 0.330878, 0.43569, 0.394585, 0.35646, 0.451214, 0.430778, 0.373125, 0.363706, 0.294985, 0.336243, 0.345758, 0.343906, 0.516972, 0.371714, 0.343066, 0.375201, 0.401168, 0.464575, 0.29109, 0.402461, 0.312724, 0.398192, 0.288331, 0.362416, 0.514231, 0.427881, 0.399381, 0.400753, 0.379744, 0.260847, 0.0124186, 0.294853, 0.686477, 0.873968, 0.646641, 0.677032, 0.772129, 0.654725, 0.643748, 0.550088, 0.574149, 0.672329, 0.792281, 0.734608, 0.495726, 0.631887, 0.737474, 0.729775, 0.873707, 0.679914, 0.57955, 0.658532, 0.615605, 0.65182, 0.609998, 0.644444, 0.628595, 0.641656, 0.635245, 0.507177, 0.673393, 0.523249, 0.632157, 0.711554
162.567,0.923915,0.0795675,6,63,0,-131.284,-0.365774,-0.302929,-0.137988,0.139474,-0.530769,-0.0183904,-0.289454,-0.0460957,-0.228072,0.516219,-0.353219,-1.98483,1.44137,0.178271,0.173591,2.62442,0.819551,0.298679,1.55495,-1.69127,-0.501493,-0.350361,1.48378,-1.12895,0.754654,1.70856,-0.6109,2.28796,0.568122,0.411038,-0.277839,-0.556969,-0.818487,-0.71205,-0.420179,-0.0538561,-0.117343,0.825072,-1.56345,0.921812,-1.06826,-0.233423,1.2333,0.410572,1.54234,1.9977,-0.186726,0.776173,0.766798,0.626209,0.390655,-0.23723,-0.840766,0.492727,1.93472,-0.388991,-1.36426,-0.170993,0.310503,1.08833,0.103857,-0.820796,-0.253909,0.171558,0.425411,-1.39126,0.337762,-0.333167,-0.804259,0.112492,-1.01401,-0.872875,0.634491,-2.32642,-0.341851,0.228787,-0.41041,-1.25268,0.515989,-0.136045,-0.13846,1.12671,0.194996,-0.0738878,0.574625,-1.10113,-0.486951,-0.408934,0.537885,-0.810855,0.161495,0.653917,-0.54343,0.953018,0.0652039,-0.015886,-0.371497,-0.51559,-0.65059,-0.595645,-0.444976,-0.255873,-0.288646,0.197846,-1.03515,0.247785,-0.779529,-0.348569,6.46592,7.79515,3.17923,4.7208,4.70267,4.4389,4.02972,3.11399,2.43053,4.20218,7.59617,2.92588,1.96045,3.19983,3.89926,5.36631,3.58208,2.45054,3.09274,3.68305,4.08763,1.93884,3.94315,2.99371,2.46723,3.59481,2.26366,2.3987,4.45402,1.32067,2.98306,3.77061,-0.0300849,-1.26483,-0.0767872,-0.04654,-0.737705,0.991277,-0.429107,0.389701,0.241342,-1.36954,-0.934825,-1.19633,-0.478561,-2.06517,-2.03101,-0.765058,-1.22717,0.0879434,-0.921282,-1.21366,-1.58256,-2.05102,-0.618892,-1.88304,-1.01876,-0.632193,-1.17372,-0.838595,-2.1524,-0.331696,-1.63728,-0.644085,0.507521,0.779856,0.519187,0.511633,0.676494,0.27066,0.60566,0.403789,0.439956,0.797306,0.718053,0.767871,0.617408,0.887472,0.884015,0.682451,0.773323,0.478028,0.715303,0.770947,0.829567,0.886051,0.649966,0.86796,0.734732,0.652987,0.763816,0.698169,0.895893,0.582172,0.837165,0.655676
163.259,0.902521,0.0795675,6,63,0,-127.234,0.0787295,0.350736,0.162475,0.17184,-0.0408464,0.119626,-0.281234,-0.119537,-1.18454,0.736223,0.501733,-0.745599,0.41595,0.643841,-0.337318,0.731653,0.282127,0.695885,0.951186,-0.474246,0.320201,-1.13116,2.36366,0.446341,0.528502,0.351894,0.561946,1.74965,-0.119731,0.0264065,-0.221902,-0.32116,0.607376,-0.979404,-0.0846689,0.091797,0.43952,-0.097993,-1.00538,1.39287,-0.435038,1.34764,1.23833,0.293018,-0.846966,0.0124801,-0.697493,0.622397,-0.158034,-0.227217,0.59551,-1.4298,-2.23072,-1.42612,0.140904,0.645467,0.229315,0.891919,-0.404037,0.527788,2.17577,0.795731,-1.45883,-0.0858749,1.28511,-1.55657,0.599901,0.5741,-0.256245,-0.232496,1.2558,0.499141,-1.02644,1.13437,0.441015,0.34059,-0.815152,-1.73347,-0.878307,-0.710529,-1.43288,-0.645879,-0.976831,-0.672213,-0.484254,-1.53369,-0.948799,-2.01732,0.555638,-0.855932,-0.795444,-0.925467,-0.770821,0.103596,-1.27269,-1.1651,-1.34791,-1.42098,-0.737375,-1.9056,-1.24687,-1.11696,-0.860954,-1.25668,-1.92473,-0.159074,-1.50482,-0.192374,2.69165,3.46249,2.81216,4.14004,3.29374,3.22765,4.10755,2.26908,1.79443,2.27153,3.59527,4.16812,3.68963,4.48025,3.06467,4.02684,6.5265,4.35574,2.24986,3.36413,5.02735,2.18634,4.11284,4.08186,3.20031,3.22266,4.98435,3.99318,2.55376,4.81012,3.92575,3.81191,0.0581665,-1.01139,-0.0798762,-0.222714,-0.877029,0.308789,-0.543933,0.0864726,0.334147,-0.710296,-0.381299,-1.23387,0.239471,-1.19041,-1.46108,-1.01365,-0.802426,-0.200922,-1.32759,-1.75418,-1.67905,-1.77709,-0.58294,-1.85268,-1.13904,-0.877931,-1.12504,-1.53242,-1.9747,-0.283653,-1.53483,-0.17911,0.485462,0.733293,0.519958,0.555449,0.706206,0.42341,0.632727,0.478395,0.417232,0.670467,0.594186,0.774495,0.440417,0.766814,0.811697,0.733734,0.690493,0.550062,0.790442,0.852479,0.842779,0.855337,0.641744,0.864441,0.757503,0.706393,0.754922,0.82236,0.878115,0.570442,0.822712,0.544658
155.544,0.996255,0.0795675,6,63,0,-119.93,-0.506458,0.907842,0.357556,-0.068725,0.0702366,-0.12057,-0.240843,-0.143054,-0.385481,0.583274,0.100894,-1.12978,0.244473,-0.110933,-0.527685,2.0209,0.933118,0.970503,0.812414,-1.08239,-0.371563,-1.68738,1.33689,-1.32189,-1.23201,0.469739,0.304053,1.93635,-0.395716,-0.407492,0.0224234,-2.00198,0.0399087,-1.76128,0.36647,-0.0254418,0.921825,1.03371,-0.874915,0.780516,-1.47713,0.769626,1.11946,0.282909,1.16989,1.73726,0.657198,-0.0580665,-0.0393564,0.23216,0.433109,0.477121,-1.95764,-0.642855,0.0584879,0.319496,0.247464,-0.320237,-0.316031,1.68941,1.85232,-1.45086,-0.955981,0.827844,-0.639017,-1.53103,1.09213,-1.2409,0.2395,0.0798134,-1.77543,0.326945,-0.87803,1.62223,-0.560541,0.630088,-0.326632,-1.04445,-0.242886,-0.450185,-0.693266,0.793254,0.158783,0.180588,0.0883791,-1.01681,-0.602204,-1.36968,0.394295,-1.15651,-1.10408,-0.111494,-0.208135,0.743941,-0.616291,-0.62316,-0.372402,-1.55318,-0.362203,-1.41279,-0.171728,-0.40032,0.152196,0.217453,-0.895795,0.0697736,-1.24705,0.0634218,4.26495,5.00755,3.68911,3.01328,3.02927,3.27114,3.46249,3.50587,1.76054,2.55381,3.1143,3.35297,3.28533,2.79787,2.8012,4.94021,5.17322,2.03195,2.33731,3.87158,2.55659,1.98638,4.17215,2.1563,3.27794,3.13315,1.85368,3.36004,2.38943,4.8472,2.61398,3.66092,-0.433076,-0.975957,-0.220559,-0.149134,-0.424076,0.632056,0.554265,0.18613,0.076367,-1.0374,-0.353045,-1.3216,-0.245056,-1.76438,-1.86695,-0.418432,-0.612366,0.0845584,-0.980461,-1.51766,-0.985999,-2.12386,-1.12068,-1.99671,-0.850082,-0.955651,-0.932429,-0.84714,-1.65139,-0.906135,-2.03699,-0.80091,0.606608,0.726305,0.554917,0.537215,0.604458,0.347044,0.364875,0.453601,0.480918,0.738349,0.587356,0.789448,0.560959,0.853757,0.866105,0.603108,0.64848,0.478873,0.7272,0.820194,0.728297,0.8932,0.754115,0.880452,0.700584,0.72225,0.717568,0.699967,0.839079,0.712209,0.884626,0.690169
161.772,0.998071,0.0795675,6,63,0,-118.585,-0.0214327,-0.113991,-0.31461,-1.05326,-0.137141,-0.0555578,-0.211735,-0.0865828,-0.321412,0.776268,0.238206,-0.997778,0.948839,-0.164996,-0.514919,0.7781,0.695106,0.328946,0.575056,-0.873369,-0.662984,-0.722592,1.74338,-0.350736,-0.612463,0.634764,0.121295,1.58387,-0.0596923,-1.47538,-0.734656,-0.83587,0.393343,-1.19196,-0.369248,0.595909,0.626703,0.343485,-0.796848,1.62811,-0.0905071,1.05628,1.13577,0.303925,-0.408607,-0.763337,-1.52723,1.94256,0.231805,1.45557,1.458,-1.8093,-0.628372,-0.753082,2.076,0.426288,-1.24356,1.5426,0.889952,-0.672155,0.474723,1.82957,-0.773062,0.0282788,-0.152639,-2.60963,0.698521,2.41352,0.596865,-0.253863,1.45735,-0.610073,-0.0942873,-1.51071,-0.213022,0.697377,-0.1365,-1.09596,0.415142,-0.449493,-0.721127,0.282603,0.218177,-0.0660614,0.124986,-0.99938,-0.836066,-0.882337,1.03192,-0.593677,-0.796847,0.171335,-0.227254,0.908094,-0.367749,-1.4667,-0.891702,-0.970271,-0.0160723,-1.24669,-0.608048,0.141174,0.165078,-0.0547749,-0.93998,0.942443,-0.391669,0.498545,2.74995,2.4689,1.95738,5.61903,3.34083,4.84599,4.84957,1.79657,2.57227,2.4766,5.85161,3.54425,2.13362,4.97589,4.08061,2.53827,3.59681,5.42935,2.46161,3.14044,2.97242,1.40866,3.84997,6.48373,3.73284,2.88237,4.84861,2.58662,3.02561,1.96723,2.91837,3.84863,-0.153291,-1.16335,0.146919,-0.389009,-0.88941,0.0817437,0.0942782,-0.0105331,-0.0761883,-1.18379,-0.965236,-1.20085,0.289518,-1.39754,-1.98007,-0.538127,-0.746745,0.204804,-0.965463,-2.3929,-1.68439,-1.84677,-1.09877,-2.67022,-1.84719,-0.972278,-1.37852,-1.63748,-2.39422,-0.447519,-1.77886,-0.743373,0.538248,0.761941,0.463336,0.596044,0.708768,0.479575,0.476448,0.502633,0.519038,0.765629,0.724169,0.768675,0.428122,0.801793,0.878688,0.631377,0.678469,0.448977,0.724214,0.916284,0.843485,0.863747,0.75003,0.935246,0.863797,0.725573,0.798752,0.837192,0.916385,0.610049,0.855556,0.677733
158.507,0.981325,0.0795675,6,63,0,-116.711,-0.515918,0.794319,1.03918,0.0749444,-0.216466,-0.083979,-0.534049,0.119186,-0.879964,0.560728,-0.412157,-1.98442,0.136876,-0.0640661,0.256645,1.8384,1.11234,0.704514,1.30595,-1.05829,-0.0817165,-0.672395,1.70409,-0.62183,0.848213,-0.132921,-0.381711,1.89658,-0.194234,-0.0470703,-0.933723,-0.732991,-0.255789,-0.372274,0.88916,1.09482,0.40034,0.678554,-1.09064,0.625628,-1.78126,0.340778,1.13854,0.294583,0.963325,2.18005,0.405472,-0.687719,0.607223,-0.0580963,-0.482806,-0.251735,-1.45633,0.80176,0.538075,0.806363,0.0200304,0.83519,-1.34308,1.04683,1.40189,-1.52517,-0.558215,-0.468224,1.23785,-0.960418,1.12552,-1.07654,0.270475,0.602276,-1.33206,0.932172,-0.227996,0.853991,-0.400987,0.253201,-1.11107,-1.99268,-0.803214,-0.915888,-0.736056,0.150876,-0.256246,-0.484924,-0.147684,-1.47338,-0.925785,-1.25699,0.0755657,-1.22864,-0.404348,-0.954497,-1.094,0.183501,-0.988877,-0.906358,-1.40353,-1.29097,-1.02339,-1.08871,-0.381388,-0.266067,-0.655483,-0.49948,-1.49152,-0.529157,-1.87876,-0.688881,4.14675,5.93432,3.51834,2.54965,3.73379,3.06924,2.70829,2.89906,2.03304,3.95401,3.6585,3.95937,3.1407,3.99314,2.10201,4.25003,4.71862,1.99223,2.64879,2.71995,4.49603,2.35284,4.34969,2.27371,3.38117,3.72835,2.10885,4.10887,2.91941,4.01532,2.77436,3.36401,-0.634277,-1.59947,-0.723284,-0.328263,-0.505806,0.34085,0.0403444,0.102308,0.0380774,-1.26116,-0.6338,-1.25644,-0.442261,-1.84348,-1.81781,-1.22049,-1.06014,-0.272591,-1.07848,-1.91414,-2.00073,-2.02046,-1.22116,-1.82445,-0.826094,-0.768225,-0.813185,-0.718918,-2.01988,-0.700215,-2.3013,-0.882113,0.653459,0.831945,0.67333,0.581337,0.623823,0.415603,0.489915,0.474445,0.490482,0.779225,0.653351,0.778412,0.608798,0.86336,0.860303,0.77215,0.742717,0.567729,0.746207,0.871483,0.880874,0.882929,0.772268,0.861099,0.695528,0.683137,0.692788,0.672369,0.882868,0.668235,0.908984,0.70726
163.353,0.993426,0.0795675,6,127,0,-121.709,-1.02302,-0.359736,0.345628,0.124037,-0.554926,0.266219,-0.221078,-0.0670335,-0.0315176,0.708726,-1.06851,-1.75546,0.743875,0.0426205,-0.79676,0.0421696,1.33906,-0.391593,-0.155205,-1.17777,-0.0949757,-0.498549,2.06885,-0.366484,1.18188,1.5737,0.19061,0.66628,-1.3089,-0.395852,-0.0711228,-0.75091,-0.817237,-0.200924,-0.486749,-0.445545,0.536656,-0.571622,-0.777879,1.51753,0.291563,0.898017,0.953028,0.607733,0.701805,1.44182,-0.567385,1.70918,0.0896948,0.968903,0.936362,-1.64167,-0.0674687,-0.276311,1.67288,0.433607,0.742677,0.922514,0.422508,0.286306,2.02789,0.6413,0.456977,0.25924,0.989907,-0.988626,0.963356,0.580868,0.355003,0.443863,1.17396,0.46776,0.951674,-0.779008,-0.139753,-0.44797,-0.7888,-1.27566,0.495686,-0.00131138,-0.596202,-0.00163091,0.917513,-0.309049,-0.141515,-0.866234,-0.0988294,-0.384853,1.43473,-0.291254,0.806109,1.0838,0.103573,0.440692,-0.959171,-0.312068,-0.0819242,-0.563707,-0.610715,-0.173918,-0.376489,-0.347287,0.348824,-0.436641,-0.582821,1.044,0.17512,0.604931,3.97307,6.22935,1.83714,7.3284,2.73885,4.67329,4.58178,0.956316,2.48936,2.19264,7.1685,3.37551,4.07299,4.54338,3.35282,3.08646,8.89458,3.82963,3.42379,3.03611,4.73332,1.4222,4.65756,3.69153,3.21805,3.39661,5.29353,3.4463,4.62461,1.61543,2.38237,1.97542,-0.218447,-1.40109,0.0486488,-0.591354,-1.62089,0.314942,-0.418616,0.0629111,-0.317248,-0.974141,-0.965261,-1.03537,0.384423,-1.59026,-1.39223,-0.468909,-0.680443,-0.451358,-2.05971,-1.47041,-1.33571,-2.15663,-1.2588,-2.20113,-1.65762,-1.40312,-1.31427,-2.258,-2.45098,-0.280764,-1.42174,-0.4041,0.554396,0.802356,0.48784,0.643676,0.834918,0.421909,0.603152,0.484277,0.578653,0.725944,0.724174,0.737955,0.405061,0.830653,0.800949,0.615126,0.663837,0.610962,0.886925,0.81312,0.791784,0.896286,0.778819,0.900351,0.839918,0.802679,0.788227,0.905338,0.920633,0.569733,0.80561,0.599672
