# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim5_nocor_model
# start_datetime = 2022-03-02 19:33:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b41848298a.json
# init = 2 (Default)
# random
#   seed = 1263843836
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim5_nocor-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim5_nocor-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim5_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0877498
# Diagonal elements of inverse mass matrix:
# 0.15231, 0.137398, 0.137421, 0.137598, 0.02302, 0.0156073, 0.0308801, 0.0174307, 0.153049, 0.0327397, 0.40169, 0.294086, 0.412013, 0.474371, 0.306499, 0.384407, 0.400641, 0.459314, 0.371604, 0.360793, 0.265314, 0.361353, 0.35785, 0.354189, 0.406735, 0.411057, 0.297681, 0.329621, 0.387607, 0.419568, 0.333264, 0.469103, 0.390167, 0.439842, 0.370453, 0.457832, 0.486029, 0.522438, 0.427417, 0.37431, 0.475536, 0.320421, 0.0118333, 0.306313, 0.647556, 0.815584, 0.59126, 0.771224, 0.755271, 0.672896, 0.637306, 0.492876, 0.625276, 0.604731, 0.757906, 0.760839, 0.611326, 0.708599, 0.694544, 0.725737, 0.912167, 0.56541, 0.524202, 0.726586, 0.72572, 0.586328, 0.562166, 0.659271, 0.719467, 0.716286, 0.61077, 0.590805, 0.735846, 0.634933, 0.736077, 0.511924
142.237,0.874335,0.0877498,6,63,0,-109.076,-0.983905,-0.218696,-0.0405755,-0.618108,-0.604954,-0.039157,-0.236004,0.0797586,0.472286,0.509399,-0.795145,-1.58738,1.09888,-0.634786,-0.485147,0.0766587,0.18367,-0.586219,0.542626,-1.27079,-1.90985,-0.275788,1.36312,0.0678554,0.383143,1.57812,0.212559,0.411391,0.13308,-1.12627,-0.163867,-1.16795,-0.171289,-0.955064,1.20229,0.671665,0.909028,0.642703,0.0788895,2.35984,0.437735,-0.0836703,1.15554,0.193042,0.885166,-0.160657,0.901614,0.550468,1.53627,0.665876,0.231592,-0.974691,-0.890962,0.178661,1.3566,-1.76466,0.33222,-2.41527,0.564685,0.418347,-0.184416,-0.145065,-1.8143,-1.00738,0.967255,-1.68872,-0.364115,-1.8586,0.849427,0.222835,2.00159,0.147027,1.11227,-0.379471,-0.949711,-1.58367,0.0672396,-0.336322,1.03205,0.148926,0.225152,0.511336,0.565847,0.173666,0.748699,-0.175052,-0.50059,0.3318,1.16666,0.506851,0.667458,1.27618,0.580563,0.681848,0.540076,-0.101436,0.388812,-0.122669,0.385031,-0.0142232,1.08473,0.814431,0.935344,0.799678,0.512472,1.67438,0.695268,0.429664,3.76752,3.07877,3.7795,3.5318,4.27211,3.61136,3.32095,2.63106,2.67393,3.28719,4.12648,2.25893,3.38609,1.99231,3.5415,3.44286,3.06468,3.08805,2.23739,2.61451,3.8277,2.29229,2.96019,2.21834,3.74162,3.31534,4.67362,3.26718,3.93637,2.95143,2.64378,2.33925,0.00570015,-0.826996,-0.138596,-0.189493,-0.916478,-0.15624,-0.58592,0.225224,-0.126189,-0.975999,-1.46969,-1.06067,-0.254348,-1.18527,-2.00008,-0.697526,-0.555146,-0.566631,-0.940689,-1.63521,-1.25402,-2.1352,-0.790626,-2.69334,-0.781039,-0.95857,-0.888327,-1.19652,-1.84042,0.0667188,-1.36186,-0.986645,0.498575,0.695719,0.534594,0.547232,0.714324,0.538981,0.642428,0.443931,0.531505,0.726314,0.813011,0.742819,0.563246,0.765894,0.880805,0.667639,0.635329,0.637985,0.719239,0.836882,0.777994,0.894278,0.687966,0.936633,0.685904,0.722835,0.708545,0.767905,0.862998,0.483326,0.796062,0.728425
134.33,0.976194,0.0877498,6,63,0,-95.6809,-0.195205,-0.0249302,0.486677,-0.153549,-0.138608,0.147044,-0.321169,0.0728732,-0.770539,0.526221,0.435665,-0.999446,1.01402,1.14362,0.712524,1.05546,1.63822,1.07373,1.26405,-0.777307,-0.598059,-1.11688,2.04313,-1.86975,-0.0183727,0.920279,1.55775,1.46832,-2.11078,-0.775524,-0.463523,-2.28404,-0.569508,-1.83332,0.0532996,0.0897212,-0.319056,-1.09506,-0.771246,1.27761,-2.04841,-1.05902,1.128,0.222338,-1.25789,0.76076,-1.34059,-1.18182,-0.917846,1.84466,1.51852,0.258228,0.29184,0.834204,-1.39484,1.48321,-0.258491,2.24435,-0.291604,-0.983743,-0.707821,0.0626866,-0.176763,-0.688668,0.107022,-0.89895,0.209641,-1.14816,1.11311,1.22504,-1.38114,-0.57183,-0.867245,-0.524168,1.01551,1.65991,-0.541283,-1.29647,-0.236941,-0.168741,-0.395594,-0.215136,0.0915265,-0.205521,-0.105372,-1.17957,-1.08525,-1.35826,0.304596,-1.75444,-0.780207,-0.28627,0.0491811,0.00211937,-1.88128,-1.17864,-1.01445,-1.97245,-1.07023,-1.73527,-0.742492,-0.723326,-0.938433,-1.34678,-1.17638,-0.0982326,-1.84845,-1.32782,2.33574,3.65886,2.29318,2.37558,2.51918,4.65594,4.33027,3.27206,3.2966,3.71909,2.26569,4.2964,2.91693,5.08863,2.89554,2.48254,2.63961,3.13285,2.97042,2.65087,3.16388,2.52978,3.2369,2.39343,3.95702,4.05673,2.2726,2.72064,2.54768,2.74962,3.87207,4.46856,-0.0319299,-1.04145,0.0182906,-0.190874,-0.445744,0.311376,-0.116961,0.17373,0.217626,-0.839635,-1.09587,-1.15386,-0.028976,-2.15013,-1.66648,-0.479381,0.0480729,-0.291923,-1.96144,-1.80514,-1.39885,-2.44155,-1.26669,-2.27622,-1.09708,-1.11126,-1.11958,-1.56746,-1.58798,-0.284486,-2.19229,-1.52483,0.507982,0.739131,0.495427,0.547574,0.609627,0.422779,0.529207,0.456676,0.445807,0.698388,0.749486,0.760214,0.507243,0.895681,0.841106,0.617602,0.487984,0.572467,0.876689,0.858774,0.802001,0.919941,0.780176,0.906888,0.749713,0.752363,0.753911,0.827421,0.830332,0.570646,0.899555,0.821248
157.915,0.955646,0.0877498,6,63,0,-100.152,-0.559026,-0.159446,-0.0455479,-0.5939,-0.633081,-0.0775579,-0.187675,0.0189854,0.0572179,0.585223,-1.02527,-1.81356,0.83808,-0.736084,-0.465394,0.119937,0.359202,-0.529751,0.478228,-0.773545,-1.67629,-0.175133,1.33729,-0.508034,0.715265,1.66103,1.03082,1.08607,-1.06604,-1.03493,-0.505558,-1.30237,-0.4404,-0.740177,0.914616,1.03189,0.604022,-0.017601,0.0702145,2.55256,-0.275045,0.270486,1.03747,0.375931,0.624259,0.90223,0.163664,0.0732189,1.41423,0.0250445,1.09168,-1.50991,-0.367758,-0.452239,1.38447,0.125111,-0.304591,0.210201,-0.125227,0.11597,1.00228,0.486157,-1.17486,-0.632591,1.29161,-0.0964482,-0.197875,0.829592,0.295968,-0.817729,-0.163407,1.18001,-0.195985,0.0856973,0.338503,-1.62785,-0.542793,-1.00412,0.547681,-0.373555,-0.215142,0.127408,0.267431,-0.252805,0.337088,-0.395479,-0.923784,-0.0452737,0.839831,-0.240095,0.475808,1.02929,0.66048,0.69281,-0.566652,-0.548448,-0.238646,-0.704957,-0.200514,-0.375951,0.592473,0.661101,0.410706,0.0469174,0.098309,1.55103,-0.103745,0.215512,3.56851,3.96159,3.00115,2.90082,4.80243,2.84876,4.25402,1.59975,2.45768,2.38085,4.749,2.95797,2.51674,3.05412,2.69229,2.94782,4.11344,3.38797,1.81449,2.22478,4.58608,2.72158,2.61976,3.85487,3.15419,2.0752,2.65392,4.39765,2.62162,2.91446,3.20503,1.53037,-0.176891,-1.05072,-0.247096,-0.187666,-0.906389,-0.177485,-0.397844,0.268033,-0.148175,-0.803363,-1.43448,-1.07219,-0.0611025,-1.42475,-1.67031,-0.509336,-0.00119272,-0.0275739,-1.58942,-1.50809,-1.37172,-2.22492,-0.971743,-2.72054,-0.900957,-0.670763,-1.23211,-1.77645,-1.96937,0.198747,-1.86191,-0.872039,0.544108,0.740914,0.561462,0.546779,0.712261,0.544255,0.59817,0.43339,0.536976,0.690693,0.807599,0.745013,0.515271,0.806082,0.841617,0.624651,0.500298,0.506893,0.830535,0.818778,0.797657,0.902465,0.725467,0.938228,0.711146,0.661674,0.774188,0.855258,0.877543,0.450476,0.865519,0.70517
149.641,0.965842,0.0877498,5,63,0,-115.529,-0.668448,-0.338763,-0.747651,-1.32402,-0.352519,-0.00228326,-0.102815,0.157721,0.394545,0.501405,-0.814204,-1.65565,1.01855,-0.785357,0.12948,1.54426,0.937434,-0.273599,0.972123,-1.39471,-0.565779,-0.771432,2.17176,-1.12848,-0.0272784,1.21511,0.428385,1.30687,-0.735991,-1.42319,-1.17154,-1.54417,0.315037,-0.683215,0.535821,1.48093,1.00783,0.90899,-1.26835,0.644293,-1.72413,0.355447,1.22915,0.221729,1.51454,0.28171,-0.780282,2.51905,-0.182009,0.610907,-0.15124,0.162533,-2.66407,-1.25684,0.203708,-0.855156,-1.12673,2.14421,1.13687,1.22579,0.477768,0.708088,0.253937,1.55151,0.747767,-0.577387,2.62616,0.937855,1.77534,-1.48187,0.209106,-0.476588,-0.0781251,-0.73305,1.5167,-0.848866,-0.0137015,-0.435608,0.90525,0.000762289,0.459467,1.16885,0.864579,0.257361,0.881972,-0.304769,0.11086,0.00774477,1.48348,-0.171283,0.380867,1.00381,0.609339,1.04981,0.0255146,-0.31905,-0.192873,-0.37971,0.552506,0.0519773,0.663208,1.13709,0.899878,0.850317,-0.241413,0.717597,-0.469945,0.572768,4.78252,3.63865,2.87525,5.97568,3.28312,3.91418,3.30559,3.54376,1.89354,2.58693,3.57626,2.82791,2.66265,5.4991,4.39834,4.48592,3.80032,3.99944,3.61631,4.82189,4.03478,3.00755,6.1193,4.20847,5.06724,2.46102,3.58054,3.07553,3.35962,2.90552,4.78482,2.83185,-0.294389,-0.986895,-0.021739,-0.502872,-0.491681,0.555543,-0.113009,0.022043,0.12733,-1.01632,-0.739751,-1.0485,-0.0942674,-1.90701,-1.88854,-0.930713,-0.836865,-0.427393,-1.62176,-1.9278,-1.89988,-2.30215,-1.08027,-2.4569,-1.37171,-0.955015,-0.776779,-0.926876,-2.44895,-0.944435,-2.50513,-1.089,0.57307,0.728474,0.505435,0.623134,0.620502,0.364579,0.528222,0.494489,0.46821,0.734256,0.676942,0.740488,0.523549,0.870683,0.868589,0.71722,0.697804,0.605251,0.835038,0.873005,0.869878,0.909055,0.746546,0.921065,0.797657,0.722123,0.684986,0.716441,0.920484,0.719995,0.924501,0.748193
149.458,0.927482,0.0877498,6,63,0,-109.923,-0.179489,-0.0178169,0.594567,-0.0339595,-0.288642,0.0408093,-0.381841,-0.0680258,-0.633822,0.49823,-0.277678,-1.44134,1.14513,-0.10846,0.255971,1.94216,0.579967,0.611189,0.594771,-0.754079,-0.222964,-0.683103,1.24907,-0.586059,-0.126797,0.278526,-0.634999,1.72272,-0.08265,-0.333944,-0.746318,-1.03344,-0.240011,-0.464923,-0.308868,-0.132425,-0.654716,-0.307775,0.382332,1.41566,0.210248,1.55686,1.09442,0.255157,1.44866,1.33568,0.72898,0.199066,0.0616701,0.654072,0.0552665,-0.266553,1.14078,0.280907,2.6019,2.22973,0.733893,-1.26567,-0.714092,0.82767,1.59486,-0.299779,-1.48454,-1.07141,0.889601,-2.20512,-1.3811,-0.444234,0.132407,2.16886,0.0814341,0.064034,-1.2116,-1.02934,-2.10431,-1.20681,-0.772169,-1.35194,-0.0632855,-0.68786,-0.506289,0.333819,-0.344865,-0.329309,-0.337489,-1.00953,-0.744909,-0.974164,-0.0114973,-0.925813,-0.696996,-0.495051,-0.950197,0.224487,-0.675,-0.800202,-1.00566,-1.14871,-0.753402,-0.86546,-0.787709,-0.6998,-0.96002,-0.787164,-0.443332,0.0715,-0.52907,0.141854,4.32347,4.20061,3.59817,3.14311,3.03483,3.53005,3.02988,2.79102,3.99682,3.20944,5.80265,5.27697,3.60268,2.16296,2.48983,3.68993,4.48779,2.76746,2.04547,2.27287,3.7487,1.70194,2.10018,2.66731,3.0901,5.19565,3.05017,3.03666,2.193,2.29739,1.74628,2.19569,-0.246562,-1.09058,-0.06687,-0.472837,-0.615012,0.62976,-0.517916,0.190768,-0.199956,-0.836713,-0.771313,-1.08359,-0.324087,-1.36776,-1.87358,-0.802115,-0.857426,-0.00578391,-0.746867,-1.43583,-1.42409,-1.74354,-0.869504,-1.69891,-1.23309,-0.994832,-1.70355,-1.61302,-1.22721,-0.462889,-1.17183,-0.195152,0.56133,0.74849,0.516711,0.616055,0.649083,0.347565,0.62666,0.452452,0.549823,0.697773,0.683805,0.747172,0.58032,0.797018,0.866872,0.690427,0.702123,0.501446,0.678496,0.807809,0.805978,0.851136,0.704643,0.845392,0.774358,0.730041,0.845998,0.83383,0.77333,0.613699,0.763476,0.548634
161.287,0.970729,0.0877498,6,63,0,-115.282,0.599928,0.179812,0.567253,0.206158,-0.333129,-0.104241,-0.411167,-0.136379,-1.34909,0.516656,-0.877227,-1.99372,1.67039,-0.269618,0.634859,2.0827,0.483039,0.0429818,0.831656,-1.67409,-0.842236,-1.57609,1.32023,-0.717576,-0.639891,0.0895746,-0.655807,1.89675,-0.470588,1.21654,-0.911771,-2.01931,-0.598381,-1.85005,-0.113973,-0.784271,0.945195,1.32514,-1.13515,0.509883,-0.409501,1.19547,1.00275,0.579668,-0.118763,2.32419,-0.240462,0.360103,0.134838,0.867074,1.83525,-0.353832,-0.53755,0.0921508,2.09874,1.07985,0.842753,0.0801087,0.580572,1.60252,1.28764,0.494579,-0.045149,-1.62742,1.74647,-1.13794,-0.123847,-0.146925,1.15197,1.06329,0.0204136,-0.0896398,0.192719,-0.425993,-0.853606,-0.442258,-1.80232,-2.37916,-0.486078,-1.48839,-1.02109,-0.273051,-1.09953,-1.32689,-0.919413,-2.21402,-1.78424,-2.16339,-0.666986,-1.71983,-1.6797,-1.30281,-1.68792,-0.369123,-1.59223,-0.720561,-1.82017,-2.39238,-1.65825,-2.30493,-1.40798,-1.75429,-0.860752,-0.664449,-1.93558,-1.08566,-1.56066,-0.731447,2.54444,10.4857,2.37112,3.35849,2.94737,4.5058,7.89781,2.22031,1.99601,2.87533,9.20109,5.09726,4.44273,2.85533,3.81634,6.90111,5.74974,3.63076,2.65536,1.06118,7.50168,1.40935,2.53695,2.50323,5.3149,5.04859,2.75822,2.58775,3.04794,2.12935,1.66187,2.10937,-0.642265,-1.37274,0.0632214,-0.232775,-0.290453,0.470597,-0.291795,-0.0218761,-0.207246,-1.46114,-0.958598,-1.73624,-0.280573,-1.48272,-2.26091,-0.939548,-0.863195,0.112296,-0.957513,-0.677452,-1.5559,-2.3317,-0.797683,-2.27228,-0.927434,-1.04236,-0.897923,-0.796626,-1.90357,-0.823584,-1.36579,-0.183698,0.655265,0.797823,0.4842,0.557932,0.572107,0.384475,0.572436,0.505469,0.551627,0.811706,0.722841,0.850209,0.569687,0.814982,0.905588,0.719008,0.703328,0.471955,0.722624,0.66317,0.825765,0.911469,0.689479,0.906555,0.716554,0.739306,0.710523,0.689252,0.870296,0.694996,0.7967,0.545796
