# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim5_nocor_model
# start_datetime = 2022-02-17 16:30:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpo9Ajcw/standata-115463315016.json
# init = 2 (Default)
# random
#   seed = 1304097012
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim5_nocor-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim5_nocor-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim5_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,mu_a,sigma_a,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_a.6,z_a.7,z_a.8,z_a.9,z_a.10,z_a.11,z_a.12,z_a.13,z_a.14,z_a.15,z_a.16,z_a.17,z_a.18,z_a.19,z_a.20,z_a.21,z_a.22,z_a.23,z_a.24,z_a.25,z_a.26,z_a.27,z_a.28,z_a.29,z_a.30,z_a.31,z_a.32,mu_the,sigma_the,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,a_i.1,a_i.2,a_i.3,a_i.4,a_i.5,a_i.6,a_i.7,a_i.8,a_i.9,a_i.10,a_i.11,a_i.12,a_i.13,a_i.14,a_i.15,a_i.16,a_i.17,a_i.18,a_i.19,a_i.20,a_i.21,a_i.22,a_i.23,a_i.24,a_i.25,a_i.26,a_i.27,a_i.28,a_i.29,a_i.30,a_i.31,a_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0689462
# Diagonal elements of inverse mass matrix:
# 0.14781, 0.208815, 0.138414, 0.116682, 0.00859169, 0.0201362, 0.0131357, 0.0082044, 0.148035, 0.581715, 0.654809, 0.755719, 0.760408, 0.673002, 0.686443, 0.771653, 0.76967, 0.871237, 0.59797, 0.82654, 0.706981, 0.631304, 0.765392, 0.774074, 0.755419, 0.741119, 0.688975, 1.01461, 0.932365, 0.552249, 0.616307, 0.999688, 0.712139, 0.694708, 0.955588, 0.721579, 0.6567, 0.901315, 0.811819, 0.911471, 0.588717, 0.700373, 0.026364, 0.0249034, 0.263345, 0.292448, 0.190674, 0.263424, 0.211701, 0.202023, 0.290692, 0.207357, 0.301709, 0.208656, 0.211224, 0.235407, 0.209642, 0.239808, 0.21481, 0.239748, 0.253388, 0.199646, 0.203422, 0.269214, 0.244112, 0.217243, 0.209296, 0.225958, 0.232675, 0.263777, 0.469792, 0.250063, 0.254981, 0.198778, 0.279516, 0.288172
65.8002,0.765561,0.0689462,6,63,0,-18.8156,-0.0141876,0.576684,-0.844249,-0.95476,-0.257409,-0.274266,0.0309656,-0.0279271,0.689438,0.110178,2.01717,0.0789727,0.513571,2.14985,0.044252,0.0740613,0.0347884,-2.49668,1.55216,0.234748,-2.11042,0.402527,0.415719,1.8657,1.03878,0.160614,-0.575725,0.140981,1.444,-0.269534,1.48042,1.32378,0.667574,1.01355,1.09973,0.903963,-0.309976,0.518729,0.0715087,0.250521,0.749595,-0.177278,1.31425,0.639115,1.68493,1.37321,0.5958,1.31059,-0.913247,-2.00199,0.297401,0.67856,1.43704,-1.37758,-0.179965,0.210977,0.970892,1.20275,0.123029,0.968797,0.274034,-0.342149,-1.04243,1.41122,0.955587,-0.481769,-1.03431,1.08371,0.228148,1.12757,1.93307,-2.80838,1.68769,0.0464668,0.846592,1.13908,0.911687,0.698139,0.746023,0.926305,0.694314,0.697598,0.693271,0.414358,0.860453,0.715303,0.456915,0.733788,0.735242,0.894999,0.803889,0.707135,0.626006,0.704971,0.848535,0.659742,0.852548,0.83529,0.762991,0.801109,0.810605,0.789036,0.655286,0.746591,0.697317,0.71704,0.772028,0.669906,10.9257,8.95211,5.44685,8.60092,2.07629,1.03536,4.50112,5.74271,9.3249,1.54315,3.31758,4.25924,6.92241,8.02811,4.02644,6.91315,4.4344,2.99092,1.91175,9.17227,6.85503,2.73559,1.9217,7.43998,4.30624,7.65146,12.8033,0.618397,10.945,3.83416,6.39376,7.70797,0.572839,0.219446,0.287308,0.507546,0.405412,0.388718,0.464303,0.325236,0.421716,0.456367,0.0881009,0.714588,0.0555445,0.0155218,-0.106553,-0.263242,-0.0237244,-0.237435,-0.000974496,-0.0309433,0.0819515,-0.206008,-0.495616,-0.573285,-0.308156,-0.547443,-0.70525,-0.689777,-0.952899,-0.0620946,-0.534484,-0.309009,0.360582,0.445358,0.428663,0.375769,0.400013,0.404026,0.385966,0.4194,0.396106,0.387848,0.477989,0.328586,0.486117,0.49612,0.526613,0.565433,0.505931,0.559082,0.500244,0.507735,0.479524,0.551321,0.621428,0.639521,0.576435,0.633542,0.669351,0.665917,0.721698,0.515519,0.630528,0.576643
73.7937,0.998764,0.0689462,6,63,0,-23.075,-0.944601,-0.636214,0.665284,0.467238,-0.265424,0.504661,0.121566,0.131778,-0.0737822,0.217957,-0.250075,-0.719998,-0.358917,-0.210207,-0.676967,-0.528821,-0.0193756,-0.08433,0.391168,-0.072662,-0.35287,-1.64589,0.330319,0.245654,-1.86036,0.402979,-0.344657,-0.377245,-0.0673551,0.410117,-0.100695,1.48188,-1.73457,1.17075,-1.48261,-1.27066,-0.628967,-1.52677,0.135111,-1.52116,0.284888,0.0524425,1.17955,0.748283,0.160142,0.030711,-0.356744,0.486835,-0.321001,-1.25129,0.0916326,0.12885,2.85926,-2.10161,0.743915,0.224132,0.66388,1.56513,0.891295,1.50526,1.3183,0.359227,-0.210949,1.54322,0.856443,0.024246,-0.82244,1.6454,-1.14388,0.989469,1.98544,-1.31229,0.662496,-1.05314,1.24373,1.31389,-0.128288,-0.230711,-0.152011,-0.119598,-0.221332,-0.189043,-0.0780053,-0.0921625,0.0114757,-0.0896194,-0.150693,-0.432516,-0.00178687,-0.0202401,-0.479261,0.01405,-0.148903,-0.156005,-0.0884627,0.0156057,-0.0957293,0.249204,-0.451844,0.181392,-0.396927,-0.350731,-0.21087,-0.406553,-0.0443339,-0.40533,-0.0116889,-0.062352,3.66701,3.32852,2.49079,4.68252,2.55831,1.27536,3.48376,3.58215,27.6349,0.674993,5.67576,3.84687,5.34583,10.493,6.33751,10.0332,8.72341,4.25608,2.7779,10.3223,6.17437,3.31245,1.75791,11.1426,1.38209,6.8206,14.371,1.21845,5.34029,1.47919,8.24994,8.69461,0.511357,0.264734,0.364034,0.437647,0.469813,0.481502,0.67494,0.804982,0.548121,0.632425,0.458052,0.536729,0.17211,-0.0523437,-0.63293,-0.20142,0.0558937,-0.521908,-0.0896663,0.088536,-0.105199,-0.129031,-0.906735,-0.0717423,-0.707618,-0.725344,-0.931439,-0.884165,-1.0636,-0.365821,-0.355402,-0.228843,0.374875,0.4342,0.409983,0.392302,0.384661,0.381897,0.337392,0.308961,0.366301,0.346961,0.387448,0.368949,0.457079,0.513083,0.653154,0.550185,0.48603,0.627594,0.522402,0.47788,0.526276,0.532213,0.712332,0.517928,0.669875,0.673783,0.717367,0.707685,0.743379,0.590449,0.587927,0.556962
81.0144,0.906437,0.0689462,6,63,0,-42.5959,-0.844847,-0.403982,0.641529,0.509829,-0.275775,0.451245,0.127501,0.145887,-0.0726713,0.459897,0.350312,-0.359306,-0.333813,-0.83022,-0.933605,-0.750128,0.600802,-0.492841,0.379548,-1.17064,-1.37487,-1.04607,0.275376,0.560504,-1.9616,-0.224612,-0.371862,0.213573,0.649512,-0.0234862,-0.340346,1.35356,-1.06703,0.687956,-1.09089,-1.04523,-0.449758,-1.32664,0.018797,-0.305976,-0.149662,-0.184182,1.35938,0.934292,-0.201961,0.214268,-0.23561,-0.253349,-0.124748,-1.26375,-0.0319269,0.811021,2.57311,-2.16356,1.10588,0.444992,0.511142,0.979907,1.16715,1.61015,1.00143,0.0198916,-0.500385,0.902543,0.957326,-0.283625,-0.744602,1.25129,-1.07079,0.989279,3.00084,-1.40307,0.654819,-0.667265,0.86571,1.03044,0.0884363,-0.237915,-0.226191,-0.454486,-0.502033,-0.417653,0.203635,-0.299327,0.101882,-0.611046,-0.704972,-0.553753,0.0539733,0.185103,-0.974803,-0.17597,-0.243689,0.0255503,0.226037,-0.0834725,-0.229195,0.549825,-0.563396,0.243718,-0.574367,-0.55337,-0.279513,-0.68279,-0.0640266,-0.213389,-0.1415,-0.157376,3.2242,4.75675,3.12441,3.07306,3.46539,1.19562,3.77933,8.30707,43.0953,0.515807,10.9418,5.90104,6.27725,9.7269,11.5864,17.5267,9.92449,3.9668,2.43969,9.04864,9.52384,2.98735,1.94196,12.534,1.43182,9.81244,64.2665,1.04969,7.17905,2.08747,8.74255,10.1971,0.854274,0.378099,0.411226,0.225738,0.317313,0.38029,1.08719,0.734053,0.760702,0.240405,0.0287611,0.554539,0.325126,0.242221,-1.04519,-0.310562,0.0595682,-0.267728,0.31526,0.0815826,-0.149754,0.244924,-0.857126,0.177551,-0.718274,-0.754722,-0.858253,-0.991159,-0.953116,0.00656285,-0.310747,-0.151458,0.298537,0.406585,0.398618,0.443804,0.421331,0.406057,0.252147,0.324306,0.318494,0.440186,0.49281,0.364812,0.419427,0.439739,0.739849,0.577023,0.485112,0.566535,0.421831,0.479616,0.537369,0.439073,0.70206,0.455729,0.672227,0.680207,0.702296,0.729317,0.721741,0.498359,0.577068,0.537792
82.9471,0.995298,0.0689462,6,63,0,-49.3088,0.530819,0.584682,-0.373814,-1.03614,-0.0532429,-0.129651,0.00925549,-0.00771087,-0.216592,0.301692,1.7688,0.341042,0.638024,0.907081,0.546592,0.269513,1.49865,0.908857,1.38983,-1.41025,-0.616634,0.530536,0.662013,0.420221,-1.21269,-0.898402,0.25974,-0.699939,0.568417,0.0620725,-0.672077,0.319938,-0.159353,1.64397,-1.37913,-0.584696,0.278049,1.00573,0.21297,1.34082,0.832712,1.28841,1.49227,0.641184,0.882299,1.72569,0.078849,1.45431,0.168448,-2.39063,0.562758,-0.548068,0.557268,-1.34933,-0.803933,0.435821,-0.477159,0.744707,-1.33916,0.430897,0.41899,-1.13033,-0.603779,1.4972,0.548954,-0.644802,-0.740339,0.19201,0.822929,0.194619,1.67776,-2.71625,1.38693,-0.716942,0.332696,0.885666,0.317041,-0.113702,-0.0241045,0.0570679,-0.051689,-0.135281,0.235539,0.0576036,0.202709,-0.642052,-0.402625,-0.0565329,-0.0168672,-0.089814,-0.582451,-0.487632,-0.13823,-0.427758,-0.0451044,-0.197865,-0.419352,-0.120069,-0.264667,0.27938,-0.632664,-0.39299,-0.132706,0.0868297,-0.15234,0.187924,0.0346312,0.172112,7.83017,13.447,4.67778,11.2994,4.95439,0.960241,6.37956,3.12944,6.35714,1.87217,2.65594,5.88089,3.27501,7.16897,1.88442,5.86236,5.81777,2.15441,3.01963,11.6144,6.32334,2.94124,2.76647,5.0298,7.53769,5.03822,13.04,0.77931,10.8216,2.80829,5.50461,7.84709,0.954423,0.494754,0.588484,0.677921,0.596024,0.508299,0.895649,0.746639,0.81943,0.011859,0.228558,0.646965,0.18566,0.0713903,-0.430502,-0.34808,0.0704956,-0.288121,0.122298,-0.000460897,-0.238477,0.0019632,-0.833771,-0.317542,-1.17284,-0.980135,-0.720959,-0.520977,-0.800511,-0.282005,-0.546316,-0.339141,0.277996,0.378774,0.356983,0.336726,0.355254,0.375592,0.289946,0.321554,0.305885,0.497035,0.443108,0.343674,0.453718,0.48216,0.605994,0.586152,0.482383,0.571536,0.469463,0.500115,0.559338,0.499509,0.697152,0.578725,0.763658,0.727135,0.672818,0.627376,0.690084,0.570038,0.63328,0.583982
96.6213,0.88796,0.0689462,6,63,0,-49.3946,0.333269,-0.0178363,0.0924409,-0.473815,-0.192232,0.0244278,-0.250001,-0.108326,-0.0320063,0.396349,0.305332,-0.804276,-0.486147,0.673306,0.123416,-1.26625,1.38376,-0.852831,0.703844,-0.542726,-0.658302,1.07486,0.332102,0.831029,-0.214745,0.209118,-1.04549,-1.16885,2.26287,-0.308764,0.227565,0.389806,-1.03507,1.79968,-0.64923,0.513232,-0.992791,0.433702,-0.00897987,-1.07397,1.003,-0.0493072,1.79096,1.02395,-0.0636574,0.245902,-1.0957,-0.583515,-0.970551,-2.26652,0.880781,0.050609,1.73319,-1.53587,-0.126171,-0.200408,-0.483368,0.38045,-0.141896,-0.847929,0.438492,-0.560653,-0.994095,0.352751,0.404939,-0.457876,-1.09211,0.71754,-1.08273,0.321033,1.39881,-2.56003,0.606778,-0.712443,0.0770627,0.897658,0.0890118,-0.35078,-0.22469,0.234858,0.0169096,-0.533884,0.516448,-0.370025,0.246962,-0.247115,-0.292924,0.394015,0.099622,0.297371,-0.11712,0.0508775,-0.446383,-0.495279,0.864879,-0.154385,0.0581888,0.122493,-0.442256,0.681296,-0.289328,0.171413,-0.425498,0.139891,-0.0355654,-0.457672,0.36553,-0.0515491,5.61687,7.71176,1.95233,3.2985,2.21924,0.588698,14.7734,6.31405,35.3625,1.24397,5.26859,4.88295,3.6547,8.85087,5.18444,2.51613,9.39284,3.37663,2.16638,8.60337,9.07562,3.75135,1.95951,12.4994,1.97842,8.32844,25.1098,0.435883,11.1592,2.89057,6.48741,15.0309,0.64832,0.104092,0.245102,0.734489,0.613517,0.0478039,1.15781,0.375777,0.731673,0.371871,0.244006,1.19204,-0.160563,-0.112008,-0.276499,-0.15326,-0.684189,-0.132277,0.477879,-0.149649,0.00324647,0.138518,-0.974057,-0.111916,-0.716693,-0.506014,-0.94595,-0.612133,-0.77235,-0.631407,-0.289517,-0.374478,0.343368,0.474,0.43903,0.32421,0.351257,0.488051,0.239065,0.407146,0.324828,0.408089,0.439299,0.232895,0.540055,0.527973,0.568688,0.53824,0.664673,0.533021,0.382753,0.537343,0.499188,0.465426,0.725927,0.52795,0.671878,0.623872,0.7203,0.648427,0.684029,0.652808,0.571878,0.592541
96.4359,0.720004,0.0689462,6,63,0,-59.3816,-0.42817,0.0634965,0.268484,-0.0969978,-0.101718,0.252061,0.0702193,0.146772,-0.287766,0.334566,1.43618,-0.159114,1.21086,0.43777,0.464102,0.676342,1.97377,-0.49565,0.446951,-0.708326,-0.36715,-0.103933,0.121598,0.916335,-1.26845,-0.48228,0.64846,0.19319,-0.456873,0.93419,0.592546,2.35785,-0.474159,0.814173,-0.917561,-0.370485,-0.426231,-1.38502,0.268862,0.324156,-0.194627,0.543168,1.57457,0.842315,0.605411,1.20984,0.24997,0.709456,-0.684465,-2.04966,0.931387,-0.636779,0.283768,-1.83562,-0.339719,0.330765,0.159277,0.418388,-0.128866,1.26377,-0.728921,-0.773636,-1.05309,1.44233,0.0761838,-0.342202,-1.20974,0.645043,-0.118899,0.204509,3.01232,-2.65755,0.665461,-1.15058,0.485961,0.580062,0.192733,-0.341,0.117346,-0.141303,-0.132493,-0.0614845,0.37259,-0.453593,-0.138231,-0.524747,-0.410602,-0.322538,-0.247083,0.0188091,-0.712145,-0.44912,-0.070813,-0.223131,-0.44062,0.0247825,-0.0895199,0.501092,-0.446403,-0.0153711,-0.59475,-0.411717,-0.430368,-0.751145,-0.197814,-0.179314,-0.352881,-0.10604,8.04069,13.3784,5.96031,8.77717,2.71294,0.85908,10.5813,2.82413,6.13242,1.02881,3.62704,6.38005,5.52194,6.86875,4.33197,14,2.61323,2.51663,1.98881,16.2723,5.14867,3.61946,1.74296,8.31364,4.36849,5.73638,61.0619,0.514827,8.45786,1.83201,7.27105,7.87083,0.913645,0.324651,0.79089,0.548031,0.608155,0.671269,1.13692,0.366,0.543208,0.227743,0.298468,0.524686,-0.162189,0.0247583,-0.776415,-0.537074,0.0259232,-0.415998,-0.422829,0.047352,-0.0985284,0.32713,-0.770417,-0.0695241,-0.863503,-0.608695,-0.952468,-0.987595,-0.834384,-0.313859,-0.538017,-0.319531,0.286255,0.419543,0.311978,0.366321,0.35248,0.338213,0.242886,0.409508,0.367442,0.443309,0.425932,0.371757,0.540459,0.493811,0.684907,0.631131,0.49352,0.602525,0.60416,0.488164,0.524612,0.418939,0.683611,0.517374,0.703392,0.647643,0.721611,0.728613,0.697281,0.577827,0.631351,0.57921
