# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim5_nocor_model
# start_datetime = 2022-02-21 13:33:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpwju1ZW/standata-4c9c74ade61.json
# init = 2 (Default)
# random
#   seed = 2121686240
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim5_nocor-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim5_nocor-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim5_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,s_M,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0740918
# Diagonal elements of inverse mass matrix:
# 0.15893, 0.155583, 0.166172, 0.148745, 0.0265597, 0.0226895, 0.0280976, 0.020903, 0.131983, 0.0336997, 0.346809, 0.316263, 0.323253, 0.239035, 0.320965, 0.377211, 0.341355, 0.270029, 0.264723, 0.321306, 0.330873, 0.434767, 0.244083, 0.316348, 0.321129, 0.31567, 0.387785, 0.294841, 0.303246, 0.366043, 0.297114, 0.453406, 0.336043, 0.496407, 0.475877, 0.386971, 0.316998, 0.262926, 0.28406, 0.22469, 0.356293, 0.421327, 0.0142154, 0.0880885, 0.348488, 0.479785, 0.420712, 0.643426, 0.443824, 0.692261, 0.504225, 0.519075, 0.534339, 0.428603, 0.409565, 0.42084, 0.565576, 0.407725, 0.410112, 0.633988, 0.631156, 0.548531, 0.550297, 0.50991, 0.690088, 0.544576, 0.548192, 0.525551, 0.769799, 0.63682, 0.511231, 0.451569, 0.532191, 0.650944, 0.56552, 0.541629
144.415,0.989781,0.0740918,6,63,0,-115.073,-0.574549,0.132747,-0.195788,-0.446049,-0.471855,0.138592,0.0357599,0.126264,-0.359253,0.484018,-0.101486,-0.0576335,0.816192,-1.60339,-1.90261,1.88692,-1.61445,0.552466,2.09798,2.36734,-0.326271,0.391989,-0.681186,0.302263,0.565694,0.287092,0.0677411,-0.587001,-0.154201,-0.0109032,-0.576735,-1.24653,-1.10331,-1.54624,-1.36119,-0.962433,2.56007,0.52734,0.26008,0.771922,-0.904878,0.68233,1.75168,0.561078,-1.73109,-0.933013,-1.72022,0.591042,-0.457428,1.1474,-0.151459,-0.0667458,-0.379995,-1.81667,-0.712473,-1.09512,0.013202,-2.26667,-0.133208,1.48995,-0.321763,0.497975,0.142068,-1.06079,-0.230282,-0.733375,0.280069,-1.36195,0.361989,0.716924,-0.017461,-0.16473,-0.856362,1.27734,0.909271,0.152815,-0.408374,-0.387149,0.035798,-1.13532,-1.28015,0.554049,-1.14068,-0.0918499,0.656207,0.786579,-0.517174,-0.169524,-0.68896,-0.212953,-0.0854475,-0.220296,-0.326466,-0.643373,-0.433889,-0.364531,-0.638403,-0.962595,-0.893277,-1.10766,-1.01809,-0.825088,0.879866,-0.104011,-0.23337,0.0143706,-0.79723,-0.0289934,2.18236,3.41503,2.19571,8.03094,4.45946,10.9732,5.29467,5.5524,4.65747,2.08004,3.86487,3.11812,5.80714,1.61592,5.34916,13.2986,4.81216,7.62234,6.24257,3.17878,5.06561,3.81981,6.74513,2.68457,7.0624,8.61867,5.70808,5.25539,3.56511,11.8032,9.60086,6.28032,0.317663,-0.186572,0.115299,-1.21346,-0.466539,0.426427,-0.852522,0.565657,1.10353,0.447243,-0.227489,0.327283,-1.26626,-0.999713,-1.04882,-1.14718,-1.67517,-0.782794,-1.18562,-0.766682,-1.49522,-2.09966,-2.03392,-2.05929,-2.67034,-2.16495,-0.432274,-0.816973,-1.29664,-0.947463,-1.56274,-1.56152,0.421245,0.546508,0.471207,0.77091,0.614564,0.39498,0.701096,0.36224,0.249079,0.390017,0.556628,0.418902,0.780103,0.731002,0.740548,0.758995,0.842265,0.686282,0.765957,0.682803,0.816861,0.89087,0.884313,0.886883,0.935254,0.897057,0.606417,0.693594,0.785269,0.720605,0.826746,0.826571
153.526,0.996516,0.0740918,6,63,0,-118.091,-0.461628,0.677815,-0.289768,-0.770502,-0.366789,-0.0279532,0.0545194,0.211891,-0.53058,0.643764,1.24412,1.06505,1.41456,-0.748037,-1.13663,0.615886,-1.14286,-0.558667,0.056844,0.994267,-1.31185,-0.598412,-0.300912,0.513487,1.24334,-0.0221477,-0.577683,0.590681,-0.459113,-0.140007,0.164672,-0.876102,-0.67714,-0.781558,-1.22019,-0.0667064,2.19811,0.613797,0.198028,0.390293,-0.446569,-0.0272286,1.74429,0.569935,-1.23979,0.653624,-0.335846,0.397652,-0.827877,0.355242,-1.61361,-0.456076,-1.3876,-0.174964,-1.44513,-1.46814,2.57618,0.326855,-0.61719,-0.226214,0.939618,0.870162,-0.101825,0.0623656,1.76921,-0.335823,0.708753,-0.680966,1.12295,-0.729329,-0.390476,0.930648,0.875627,1.1043,-0.182352,0.275414,0.270338,0.155062,0.38006,-1.01214,-1.2623,-0.134095,-1.26631,-0.890229,-0.493986,0.109493,-1.3751,-0.915815,-0.724296,-0.200015,0.269835,-0.544838,-0.902471,-0.150321,-0.82614,-0.620711,-0.42457,-1.09458,-0.966498,-1.03372,-1.31609,-0.573523,0.884482,-0.13544,-0.403096,-0.279323,-0.818064,-0.548108,2.8227,8.30466,4.72507,7.17735,3.56961,7.00594,2.28107,4.41214,2.59464,5.17881,2.51095,2.47824,24.8424,6.89351,4.02504,5.02973,9.77487,9.39549,5.39925,5.9289,15.6838,4.72514,8.56974,3.88137,10.8515,3.77584,4.58022,9.72503,9.4248,10.7367,5.15705,6.69434,0.987271,0.463536,0.730103,-0.784633,-0.477289,0.326316,-0.889762,-0.090882,0.141978,0.269645,-0.861676,-0.512757,-1.2722,-0.884011,-0.60489,-1.33776,-2.07673,-0.35784,-1.4829,-1.03246,-1.16303,-2.05088,-2.1782,-2.21224,-3.03923,-1.59886,-0.34679,-0.787209,-1.32717,-1.23829,-1.51068,-1.72321,0.271451,0.386147,0.325172,0.686678,0.617107,0.419137,0.708841,0.522705,0.464565,0.432994,0.703011,0.625452,0.781119,0.707653,0.646774,0.792121,0.888621,0.588518,0.815011,0.737392,0.761882,0.886037,0.898275,0.901343,0.954315,0.831859,0.585839,0.687232,0.790372,0.775266,0.819162,0.848542
154.16,0.973337,0.0740918,6,63,0,-121.633,-0.306059,0.179223,0.232145,-0.395035,-0.189798,0.0687315,-0.244151,0.0350034,-0.465945,0.683258,0.997156,1.12509,1.44378,-0.741353,-1.02406,1.16688,-1.20511,0.392522,1.82224,0.930756,-0.368058,-0.0637858,0.304316,1.02525,0.271079,0.0448395,-0.391994,-0.190725,-0.270396,0.480321,0.445869,-0.543487,-1.00235,-1.90437,-0.878692,-0.877998,1.34861,0.308074,0.346552,-0.102431,-0.77318,0.216557,1.68725,0.428014,-1.86197,-0.903495,-0.62672,1.82239,0.630579,1.89008,-0.556508,0.383807,1.75347,-0.93421,-1.43579,-1.1804,-0.122883,-1.75571,0.277519,1.38997,-0.695237,0.650766,0.0923936,-0.461143,0.387582,-0.0337292,0.0167539,-0.265716,-1.08255,1.34661,-1.0381,-0.0923919,0.420853,1.17365,1.07826,0.230013,0.21537,0.302781,0.52053,-0.972481,-1.16564,0.331333,-1.28935,-0.197751,0.779114,0.170002,-0.717424,-0.509527,-0.258019,0.234563,-0.280728,-0.435308,-0.733778,-0.59626,-0.650695,-0.137762,-0.161302,-0.837287,-1.15081,-1.76712,-1.06632,-1.06584,0.455501,-0.255451,-0.229161,-0.535932,-0.994227,-0.317981,2.43586,3.67129,4.13301,11.7901,7.07911,12.1367,4.2591,6.36953,11.4474,3.62334,2.9233,3.26097,5.12769,2.54921,6.08626,9.79797,4.01357,7.14054,5.62261,4.43654,6.37983,5.32714,5.4435,4.8236,3.40045,9.61783,3.46575,5.19505,6.47133,8.93156,8.57422,5.96375,0.597238,0.473289,0.629351,-0.927068,-0.748549,0.330872,-1.08361,0.143567,1.03589,0.0973658,-0.524058,-0.20688,-0.771357,-0.62156,-0.690823,-1.34779,-1.29887,-0.933464,-1.49273,-0.580646,-1.04561,-1.83432,-1.91598,-2.44048,-2.02149,-1.9585,-0.394432,-0.880157,-0.994774,-1.24496,-1.64007,-1.28813,0.354976,0.383838,0.347658,0.71648,0.678863,0.418028,0.747177,0.46417,0.261944,0.475678,0.628096,0.551536,0.683814,0.650573,0.66615,0.793769,0.785645,0.717778,0.816487,0.641216,0.73993,0.862275,0.871689,0.919862,0.883035,0.87637,0.597349,0.706855,0.73003,0.776426,0.837544,0.783831
154.727,0.957141,0.0740918,6,63,0,-122.028,-0.164829,0.126586,-0.0821201,-0.704353,-0.153552,0.215475,-0.192256,0.058966,-0.45721,0.702821,0.479826,0.422104,0.703485,-1.36382,-1.27416,0.59916,-1.83389,0.199651,0.0447003,0.403233,-0.327768,-0.855877,-0.303472,0.451445,0.283034,0.0894848,-1.47621,0.0812831,-0.379978,0.406315,-0.0127279,-0.572162,-1.00145,-0.274133,-1.79442,-0.404035,1.44647,0.317388,0.828719,0.185381,-0.0586223,-0.177027,1.3828,0.685539,-1.28288,0.781969,0.205046,0.523107,-0.712508,0.841849,-0.415937,0.348934,-1.43494,-0.166151,-0.516578,-0.690715,2.73801,0.14501,-0.393682,0.550204,0.524906,1.14921,0.344286,0.645275,1.94979,-0.292385,0.803812,-0.514883,1.98963,-0.171892,0.694552,0.523079,0.566405,1.53101,0.234797,0.8171,-0.119978,-0.160547,0.0372135,-1.41573,-1.35271,-0.0361079,-1.74611,-0.316891,-0.425794,-0.173809,-0.687572,-1.05874,-0.670497,-0.139926,-0.258288,-0.394319,-1.49472,-0.400083,-0.724267,-0.171644,-0.466156,-0.859338,-1.16105,-0.649877,-1.71837,-0.741175,0.5594,-0.234144,0.125231,-0.32692,-0.498411,-0.581628,1.65423,6.81325,4.58765,5.70538,2.44574,7.09876,2.99714,5.06325,1.49047,3.55692,2.79733,2.48255,26.0447,4.40266,3.04322,5.81236,5.71242,8.76376,5.04714,6.20379,15.1721,3.26206,6.91605,2.80058,15.5922,3.54295,6.41694,5.70527,5.87727,11.3858,4.68217,6.97933,0.732942,0.521378,0.509363,-0.994883,-0.471294,0.0278908,-1.03569,0.343354,0.166053,-0.00833286,-0.147025,-0.11004,-1.26242,-1.0039,-0.771948,-1.30389,-2.13378,-0.849505,-1.57684,-0.706564,-1.35293,-1.83731,-2.05142,-1.49662,-2.7931,-1.64274,-0.368901,-0.949583,-0.704206,-1.14122,-1.23095,-1.54589,0.324549,0.37253,0.375343,0.730051,0.61569,0.493028,0.738017,0.414995,0.458582,0.502083,0.53669,0.527482,0.779442,0.731824,0.683942,0.786489,0.894143,0.700463,0.828757,0.669641,0.794608,0.86263,0.886091,0.817069,0.942302,0.837908,0.591194,0.721031,0.66912,0.757904,0.773985,0.82432
149.536,0.923998,0.0740918,6,63,0,-118.472,-0.242022,0.60279,-0.236248,-0.657794,-0.0594936,0.10626,-0.0449661,0.0715384,-0.48851,0.529195,0.612212,0.111485,0.458445,-2.29746,-1.50974,0.12563,-1.80673,-0.533937,1.61888,0.51474,-1.95785,-0.236397,0.0498149,0.533946,0.106423,0.00375922,-0.666109,0.779636,-0.234827,-0.0508478,-0.522927,-1.5823,-0.762554,-0.706377,-1.57189,-1.18878,1.65253,1.1366,-0.689582,0.561997,-0.930818,-0.142715,1.70552,0.580143,-1.03498,-1.26372,-0.900648,1.72206,0.31432,0.862824,-0.22338,-0.222658,1.50129,-1.01652,-1.89072,-1.31082,-0.122089,-1.28024,0.42503,1.09262,-0.518083,0.795998,-0.461467,-0.938019,-0.0459498,0.0650116,-0.0265025,-0.758447,-0.227615,-0.210964,-0.718909,0.748542,0.454075,1.74921,0.676625,0.197621,-0.164531,-0.429513,-0.245903,-1.70432,-1.28746,-0.422028,-1.44462,-0.771068,0.368191,-0.216112,-1.52459,-0.613611,-0.462149,-0.205949,-0.432192,-0.486521,-0.841012,-0.0759307,-0.61278,-0.515419,-0.765241,-1.32586,-0.89205,-0.862322,-1.32035,-1.1176,0.386002,0.112971,-0.853434,-0.191104,-0.981095,-0.564035,3.01947,2.64423,3.2642,14.9478,6.60529,9.08007,4.83522,4.83725,13.1508,3.05199,1.83792,2.57296,5.12787,2.61901,7.04345,10.375,4.07535,8.73478,4.21143,3.19419,5.35946,5.71581,5.42026,3.54491,4.82336,4.87018,3.62716,8.49758,7.16314,15.1851,8.15034,6.1729,0.609842,0.278607,0.358165,-1.12012,-0.502042,-0.0216464,-0.72546,-0.0941217,1.01864,0.246361,-0.894024,0.220645,-1.01503,-0.834714,-0.984275,-1.13295,-1.44168,-0.573601,-1.23713,-1.04622,-1.40284,-1.99879,-1.75138,-1.75344,-2.2998,-1.8352,-0.439336,-0.581201,-1.59177,-0.972273,-1.68189,-1.30592,0.352095,0.430795,0.411404,0.754012,0.622939,0.505411,0.673808,0.523513,0.265293,0.438719,0.70972,0.445061,0.734003,0.697351,0.727956,0.756384,0.808715,0.639594,0.775064,0.740048,0.802634,0.88067,0.852127,0.852386,0.908861,0.86238,0.608101,0.641344,0.830866,0.725572,0.843155,0.78683
156.783,0.964316,0.0740918,6,63,0,-118.828,-0.402629,0.0903365,0.0355995,-0.640656,-0.460513,-0.163401,-0.246307,0.0925358,-0.148394,0.820586,0.54695,1.27422,1.60703,-0.438325,-0.385154,0.633404,-0.184011,-0.16225,0.684654,1.51965,-0.853279,0.842163,-0.402006,0.887055,-0.0291084,0.647085,-0.433667,-0.0875851,0.111682,-0.488646,-0.0588962,-0.385533,-0.674995,-1.70212,-0.832067,-0.498049,1.38019,0.484766,-0.358721,0.0480106,-0.982577,0.367721,1.59414,0.680868,-1.79678,0.359925,0.752446,0.888873,0.389054,0.497461,-0.200442,-0.333925,-1.01174,0.236501,-0.929443,-1.101,2.02451,-1.57077,0.217788,0.151584,0.705023,0.984236,-1.74816,0.12324,0.781556,0.228463,1.37402,0.118394,1.14921,0.571763,0.384667,1.16788,0.423421,1.15157,0.313087,0.251952,0.300426,0.897212,1.17032,-0.508077,-0.464445,0.371369,-0.29939,-0.281534,0.413424,1.09861,-0.848582,0.542673,-0.478274,0.579511,-0.17228,0.382596,-0.504255,-0.220265,-0.0567487,-0.54937,-0.196723,-0.464757,-0.702285,-1.54513,-0.831176,-0.557086,0.984168,0.249399,-0.442755,-0.108997,-0.954683,0.153353,1.44885,6.29151,8.21906,9.0191,6.41753,6.90913,4.29591,3.9227,2.47261,5.7844,2.61512,2.32683,19.5419,1.68987,5.71117,5.45945,7.95791,9.62413,1.49761,5.3551,8.38358,5.75283,12.5493,5.33746,10.7683,7.26766,6.39839,10.906,6.56947,10.7855,6.09403,5.84557,0.231919,0.315875,0.769475,-1.06277,-0.44748,0.365706,-0.795255,-0.118262,0.371563,0.587661,-1.04429,-0.0482144,-1.21933,-0.647168,-1.00891,-0.980838,-1.71696,-0.533958,-1.24924,-1.11948,-1.49178,-2.03332,-1.89342,-2.52111,-2.49093,-2.03473,-0.405038,-0.585724,-1.61977,-1.15632,-1.84109,-1.51233,0.442279,0.421681,0.316593,0.743219,0.61004,0.409579,0.688959,0.529531,0.408163,0.357172,0.739677,0.512051,0.771945,0.656372,0.732807,0.727274,0.847737,0.630406,0.777168,0.753892,0.816345,0.884252,0.869145,0.925608,0.923503,0.884395,0.599898,0.642384,0.834763,0.760663,0.863077,0.819406
