# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim2_model
# start_datetime = 2022-04-21 07:11:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpSmrUlH/standata-4f383cb7432.json
# init = 2 (Default)
# random
#   seed = 400853124
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_sim2_power-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim2-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,z_re.33,z_re.34,z_re.35,z_re.36,z_re.37,z_re.38,z_re.39,z_re.40,z_re.41,z_re.42,z_re.43,z_re.44,z_re.45,z_re.46,z_re.47,z_re.48,z_re.49,z_re.50,z_re.51,z_re.52,z_re.53,z_re.54,z_re.55,z_re.56,z_re.57,z_re.58,z_re.59,z_re.60,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_i.33,re_i.34,re_i.35,re_i.36,re_i.37,re_i.38,re_i.39,re_i.40,re_i.41,re_i.42,re_i.43,re_i.44,re_i.45,re_i.46,re_i.47,re_i.48,re_i.49,re_i.50,re_i.51,re_i.52,re_i.53,re_i.54,re_i.55,re_i.56,re_i.57,re_i.58,re_i.59,re_i.60,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,SI.33,SI.34,SI.35,SI.36,SI.37,SI.38,SI.39,SI.40,SI.41,SI.42,SI.43,SI.44,SI.45,SI.46,SI.47,SI.48,SI.49,SI.50,SI.51,SI.52,SI.53,SI.54,SI.55,SI.56,SI.57,SI.58,SI.59,SI.60,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32,Ht.33,Ht.34,Ht.35,Ht.36,Ht.37,Ht.38,Ht.39,Ht.40,Ht.41,Ht.42,Ht.43,Ht.44,Ht.45,Ht.46,Ht.47,Ht.48,Ht.49,Ht.50,Ht.51,Ht.52,Ht.53,Ht.54,Ht.55,Ht.56,Ht.57,Ht.58,Ht.59,Ht.60
# Adaptation terminated
# Step size = 0.0640469
# Diagonal elements of inverse mass matrix:
# 0.025983, 0.0347547, 0.023876, 0.0309074, 0.00787068, 0.00190138, 0.0243043, 0.0119072, 0.188974, 0.183045, 0.156981, 0.226969, 0.261211, 0.199835, 0.178814, 0.167247, 0.159765, 0.198353, 0.252484, 0.166109, 0.260339, 0.17964, 0.144818, 0.163206, 0.19847, 0.230767, 0.195027, 0.187127, 0.216995, 0.18096, 0.137199, 0.147118, 0.183002, 0.200762, 0.178678, 0.215089, 0.146622, 0.221544, 0.189752, 0.196594, 0.218866, 0.160423, 0.178186, 0.262066, 0.175301, 0.243257, 0.18027, 0.189901, 0.223335, 0.245082, 0.199754, 0.156994, 0.201487, 0.154982, 0.138625, 0.166242, 0.174169, 0.253389, 0.197842, 0.213875, 0.156532, 0.21219, 0.155947, 0.230855, 0.189481, 0.191221, 0.203295, 0.219898, 0.00151262
613.983,0.996543,0.0640469,6,63,0,-590.049,0.01993,0.310756,0.0552047,-0.245078,-0.186806,0.154575,-0.187227,0.318562,0.895719,0.432979,-0.202313,1.68966,-0.569759,-1.03882,-0.324581,0.829951,1.17764,0.487562,-2.11062,-0.291467,0.683232,0.324269,-0.0771335,-0.851806,-1.26297,-1.34841,-1.3389,0.138752,-0.180679,1.18352,-0.552209,0.0245365,-1.5085,1.26244,-2.95896,-1.69777,-0.108001,0.106197,-0.624852,2.19807,1.67059,-0.709289,0.711159,1.56924,1.95106,0.41476,-0.229747,-0.808879,-0.534341,0.881146,1.1045,1.1502,-1.36121,-0.0733375,0.808286,-1.15394,0.281463,0.607732,-1.73027,1.99243,0.379778,1.48652,0.681441,-1.16278,1.08502,3.08614,0.778699,1.55023,10.7306,0.0981153,-0.049296,-0.251676,0.351036,-0.368731,-0.518155,-0.290626,0.0771643,0.187926,-0.0319079,-0.85959,-0.280077,0.030425,-0.0839272,-0.211799,-0.45858,-0.589562,-0.616778,-0.61375,-0.143026,-0.244785,0.189799,-0.36314,-0.17941,-0.667778,0.214937,-1.12984,-0.728073,-0.221632,-0.153397,-0.386281,0.512994,0.34496,-0.41318,0.0393214,0.312675,0.434308,-0.0550999,-0.260416,-0.444905,-0.357448,0.0934729,0.164624,0.179182,-0.620858,-0.210589,0.0702624,-0.554828,-0.0975633,0.00637374,-0.738427,0.447488,-0.0662441,0.286323,0.0298547,-0.557645,0.158419,0.795901,0.0608372,0.306617,1.11333,1.05844,0.62802,1.34426,1.10826,0.421645,0.750324,0.937802,1.02755,0.842086,0.430406,0.740838,0.582888,0.835839,0.755691,0.347656,0.425651,-0.0796233,-0.00215845,0.918935,0.493867,0.734781,0.00723238,0.298789,-0.370866,0.75992,-0.75279,-0.148724,0.491282,-0.00535785,0.433485,0.82994,0.729665,0.0115943,0.617695,0.788923,0.912507,0.785677,0.15768,0.112457,-0.144188,-0.251464,0.310126,0.263604,-0.676679,0.0818333,0.114615,-0.315831,0.0135713,-0.198321,-0.553832,0.794312,-0.0552831,0.365042,0.322277,-0.292911,0.424129,0.820218,0.394305,0.365301,0.247251,0.257608,0.34796,0.20681,0.248196,0.396123,0.320751,0.281345,0.263559,0.301096,0.394029,0.322821,0.358268,0.302412,0.319583,0.413951,0.395165,0.519895,0.50054,0.285175,0.378983,0.324146,0.498192,0.425853,0.591668,0.318664,0.679786,0.537113,0.379592,0.501339,0.393295,0.303658,0.325268,0.497101,0.350306,0.3124,0.286487,0.313098,0.460661,0.471915,0.535985,0.562537,0.423084,0.434478,0.662997,0.479553,0.471378,0.578308,0.496607,0.549418,0.635024,0.311244,0.513817,0.40974,0.420121,0.572709,0.395529,0.305717,0.402681,0.409677
605.525,0.956811,0.0640469,6,63,0,-569.64,-0.0299415,0.223734,0.0488763,-0.166146,-0.249427,0.121018,-0.0529154,0.311994,0.412355,1.48936,-0.332511,1.89903,-0.402539,-1.55983,0.427221,1.131,0.95043,-0.163644,-2.55044,-0.539422,1.58949,0.647658,0.202916,-0.834684,-0.576992,-1.59735,-1.78643,0.0249003,-0.230752,1.81092,-0.382633,-0.390235,-1.76841,2.21735,-2.76391,0.232672,-0.298785,0.0894325,-0.0703701,1.85601,1.8116,-0.846647,0.765501,0.377412,0.811906,-0.950692,-0.845555,-0.606003,-0.447757,0.688937,0.973375,1.47912,-1.23734,-0.124567,0.857584,-1.16552,0.365274,0.821144,-2.34977,2.15939,0.140521,0.0946135,1.31116,-1.54259,0.956206,2.36144,0.907562,1.69346,10.7615,0.0757371,0.411755,-0.156657,0.53957,-0.178505,-0.539574,0.0803751,0.299949,0.243613,-0.103971,-0.848638,-0.221212,0.442997,0.14915,0.0103931,-0.313332,-0.232934,-0.551281,-0.610272,-0.0451467,-0.124909,0.512082,-0.172295,-0.174666,-0.60465,0.638885,-0.915238,0.0196769,-0.146135,-0.025013,-0.0748705,0.52615,0.512294,-0.317064,0.185917,0.064835,0.200395,-0.349526,-0.316724,-0.241985,-0.192613,0.162029,0.250772,0.408563,-0.438957,-0.0917797,0.214646,-0.41655,0.061048,0.203277,-0.786031,0.620801,-0.00907358,-0.0233965,0.35616,-0.534195,0.245416,0.683842,0.230239,0.475436,0.842026,1.38695,0.599437,1.44725,1.11898,0.296772,0.966403,0.945221,0.946206,0.559134,0.199173,0.638066,0.762162,0.958746,0.798335,0.344676,0.533355,-0.0818066,-0.126783,0.783561,0.523843,0.902244,0.0700983,0.126326,-0.460343,1.02905,-0.663929,0.370351,0.382878,0.0912649,0.596813,0.697207,0.688449,-0.0874078,0.620662,0.53397,0.501387,0.264837,-0.0959841,0.250082,-0.230203,-0.279378,0.208085,0.369695,-0.66508,0.0617057,0.122277,-0.3344,0.0578481,-0.0508751,-0.691145,0.76155,-0.146027,-0.155253,0.509646,-0.332306,0.363233,0.564722,0.353154,0.316829,0.301108,0.199895,0.354473,0.190425,0.246201,0.426347,0.275598,0.279847,0.279649,0.363748,0.450371,0.345684,0.318177,0.277129,0.310382,0.414674,0.369735,0.52044,0.531653,0.313553,0.371954,0.28859,0.482483,0.468461,0.613096,0.263269,0.660142,0.408456,0.405433,0.4772,0.355073,0.332432,0.334378,0.521838,0.349631,0.369591,0.377215,0.434175,0.523978,0.437803,0.557298,0.569394,0.448166,0.408615,0.660401,0.484578,0.469469,0.58283,0.485542,0.512716,0.666221,0.31831,0.536442,0.538735,0.375277,0.58232,0.410177,0.362456,0.412618,0.421449
609.81,0.932858,0.0640469,6,63,0,-574.846,-0.000664067,0.208722,-0.0222051,-0.327016,-0.187278,0.155106,-0.0713647,0.30741,0.74859,1.76454,-0.26587,1.87646,-0.379528,-1.49322,-0.0778518,1.09213,0.795274,0.126043,-2.4731,-1.10503,0.784584,0.938645,0.126615,-0.687252,-0.566113,-1.65613,-1.21745,-0.195653,-0.462099,1.5635,-0.888541,-0.249648,-1.41055,2.76148,-2.7928,-0.813551,-0.413162,0.226856,-1.07486,1.65403,2.00796,-0.744645,0.656699,0.905577,1.21603,-0.809904,-0.7928,-1.48231,-0.306915,0.325419,1.25492,0.617431,-0.496037,-0.38581,0.70993,-0.984551,0.258871,0.345483,-1.55006,2.44761,0.430941,-0.00960045,1.22676,-1.44244,1.19181,2.10534,0.862111,1.19504,10.6099,0.158759,0.471073,-0.153096,0.50548,-0.188036,-0.530395,-0.0952972,0.264366,0.173111,-0.0326179,-0.83162,-0.411062,0.169824,0.217184,-0.0324419,-0.282633,-0.245394,-0.580476,-0.445622,-0.13151,-0.213419,0.409273,-0.344511,-0.148109,-0.504984,0.777543,-0.929901,-0.321459,-0.198375,-0.00162673,-0.401789,0.437102,0.545904,-0.300276,0.130511,0.207019,0.302454,-0.320338,-0.31508,-0.527043,-0.165714,0.0286725,0.31441,0.11844,-0.223852,-0.189967,0.146875,-0.374026,0.00821497,0.0348403,-0.547868,0.681057,0.0611111,-0.074316,0.305754,-0.514785,0.295011,0.575839,0.193657,0.296002,1.05363,1.45856,0.60564,1.37803,1.16992,0.288596,0.825239,1.00413,0.891675,0.72054,0.338871,0.489389,0.600499,1.01609,0.814448,0.402456,0.64948,-0.165427,0.0441908,0.810229,0.429324,0.857857,-0.0711177,0.233524,-0.305236,1.22613,-0.649812,0.161719,0.418705,0.0485925,0.322413,0.656934,0.833806,0.0277961,0.612571,0.586417,0.684087,0.425068,0.00629757,-0.0661859,-0.0531796,-0.41896,0.358875,0.101531,-0.381358,0.00179093,0.0897955,-0.235829,0.0180866,-0.272194,-0.46435,0.927493,-0.0294441,-0.0968022,0.497512,-0.350925,0.459988,0.498674,0.426703,0.253431,0.258528,0.188688,0.353055,0.201325,0.23687,0.428348,0.304653,0.268129,0.290764,0.327274,0.416084,0.380038,0.35423,0.26579,0.306944,0.400722,0.343107,0.541263,0.488954,0.307842,0.394288,0.297787,0.517772,0.441883,0.575722,0.22686,0.656968,0.459658,0.396827,0.487854,0.420088,0.341429,0.302841,0.493051,0.351473,0.357457,0.33535,0.395305,0.498426,0.51654,0.513292,0.603234,0.411232,0.474639,0.594201,0.499552,0.477566,0.558686,0.495478,0.567631,0.614046,0.283434,0.50736,0.524182,0.378125,0.586842,0.386989,0.377852,0.394914,0.436979
613.876,0.803496,0.0640469,6,63,0,-577.493,0.145832,0.398649,0.121585,-0.184567,-0.127222,0.118238,-0.308314,0.387367,1.90565,1.32547,0.0327393,1.70667,0.0463948,-1.9286,0.205839,1.25097,0.107901,0.394639,-1.40704,0.0891123,0.851713,-0.0224856,-0.534457,-0.643343,-1.57106,-0.644489,-1.32462,0.289356,-0.37271,1.03821,-0.143878,0.0240138,-1.16888,0.810478,-1.93521,-1.21291,0.856876,0.00598454,0.00161787,1.07592,0.308499,-0.905332,0.327437,0.98826,0.277685,-0.0248395,0.17261,-1.24839,-0.609777,0.146241,1.23195,0.620281,-2.22069,0.249025,0.0292501,-1.39069,0.867363,-0.285794,-1.88805,1.32783,-0.507128,0.421494,1.90285,-0.838162,0.764469,2.70917,0.786193,2.26989,10.178,0.429871,0.205128,-0.295632,0.352795,-0.290342,-1.05539,-0.228579,0.176271,-0.266517,-0.155444,-0.853355,-0.273795,0.0216115,-0.317024,-0.515345,-0.557524,-0.916893,-0.557968,-0.821429,-0.196227,-0.45269,0.0938543,-0.364048,-0.299012,-0.7611,0.00563857,-1.05795,-0.778157,0.0236116,-0.305996,-0.307687,0.10846,-0.188812,-0.65901,-0.181476,0.0745054,-0.200748,-0.317936,-0.241451,-0.791899,-0.544522,-0.251665,0.168904,-0.0680374,-1.16854,-0.21185,-0.296984,-0.847022,0.0276738,-0.419021,-1.03968,0.206042,-0.504759,-0.145041,0.428787,-0.632991,-0.0121839,0.741129,-0.00376866,0.570966,1.49241,1.31771,0.648679,1.37442,1.09965,-0.0701445,0.838519,1.12057,0.650506,0.79795,0.409285,0.779658,0.743064,0.654576,0.501722,0.336758,0.145643,0.127127,-0.0726745,0.898145,0.305506,0.720154,0.13037,0.281807,-0.316712,0.631939,-0.558984,-0.115486,0.777246,0.0110717,0.518717,0.566493,0.328333,-0.114577,0.467565,0.628063,0.38007,0.535743,0.298434,-0.170133,-0.219853,-0.359015,0.434461,0.142955,-1.05305,0.153766,-0.11328,-0.517791,0.256859,-0.43086,-0.76047,0.621674,-0.343796,0.0750339,0.794402,-0.299198,0.335239,0.911188,0.402766,0.777397,0.183561,0.2112,0.343287,0.201906,0.249806,0.517529,0.301847,0.245906,0.342876,0.310464,0.399084,0.314394,0.322335,0.341959,0.377136,0.416597,0.463654,0.468261,0.518161,0.289432,0.424212,0.327359,0.467454,0.430011,0.578523,0.347071,0.636217,0.52884,0.314914,0.497232,0.373152,0.362046,0.418646,0.528613,0.385193,0.34795,0.40611,0.369178,0.42594,0.542431,0.554743,0.588802,0.393062,0.464322,0.741361,0.461634,0.52829,0.626631,0.436136,0.606079,0.681456,0.349401,0.585112,0.48125,0.311224,0.574247,0.416966,0.286757,0.400648,0.314881
600.098,0.998857,0.0640469,6,63,0,-576.062,-0.16589,0.277085,-0.0985725,-0.489244,-0.0429598,0.151116,0.208513,0.31209,1.13598,1.18751,-0.186457,1.93312,0.321722,-0.74005,0.181274,-0.246134,1.16804,-0.232092,-2.27362,-0.974665,0.375455,0.827747,0.429504,-1.97752,-1.21234,-1.5195,-1.56239,0.150398,0.228338,1.81739,-0.575895,-0.433777,-1.96115,2.10519,-3.03617,-1.25466,-1.24714,0.590127,-0.22102,1.82772,2.0348,-0.805089,1.20214,1.40034,1.58104,-1.01664,-1.26007,-0.8366,-0.737813,0.0479648,0.747472,0.82512,-1.81842,-0.650486,0.982922,-1.35394,-0.066932,0.258271,-1.5502,2.61993,-0.456332,0.129066,1.35369,-1.26706,1.65422,1.69237,0.95001,0.83144,9.75323,0.56304,0.579123,0.150322,0.811822,0.308919,-0.0224491,0.265087,0.131697,0.573047,0.136079,-0.50106,-0.0956703,0.325689,0.466845,0.342557,-0.408651,-0.169848,-0.265707,-0.279095,0.255451,0.279775,0.775702,0.028782,0.0731357,-0.403542,0.865521,-0.739047,-0.183054,-0.180707,0.392686,0.139535,0.778928,0.843553,-0.0427472,0.583689,0.645546,0.70194,-0.10877,-0.184741,-0.0525817,-0.0217513,0.223482,0.441792,0.466025,-0.358999,0.00550276,0.515274,-0.214038,0.187624,0.289117,-0.27529,1.02617,0.0660964,0.248793,0.630988,-0.186925,0.72478,0.736686,0.505002,0.467997,1.29393,1.21572,0.61891,1.30652,1.26157,0.459961,0.886327,0.711471,1.03242,0.718925,0.40859,0.520963,0.719023,0.944648,0.946904,0.0430439,0.561042,-0.10703,0.0122691,0.997091,0.514607,0.965996,0.0633524,0.248072,-0.385865,1.05582,-0.702941,0.130712,0.163774,0.144989,0.508589,0.801212,0.996988,0.119902,0.781662,0.588896,0.876876,0.380685,-0.0236273,0.024991,0.00177772,-0.343631,0.33417,0.228788,-0.628488,-0.0683316,0.268822,-0.300159,-0.0434693,-0.245745,-0.48949,1.08041,-0.188034,0.125814,0.557153,-0.382695,0.644803,0.485627,0.556175,0.34041,0.215188,0.22869,0.350029,0.21307,0.220703,0.386995,0.291868,0.329274,0.262615,0.32763,0.39925,0.372627,0.327608,0.279962,0.279508,0.489241,0.363306,0.526732,0.496933,0.269514,0.374114,0.275679,0.484167,0.438298,0.595287,0.25811,0.668839,0.467369,0.459148,0.463816,0.375524,0.309766,0.269534,0.47006,0.313962,0.356888,0.293826,0.405962,0.505907,0.493753,0.499556,0.585072,0.417226,0.443051,0.652146,0.517076,0.433196,0.574481,0.510866,0.561129,0.619986,0.253428,0.546871,0.468588,0.364206,0.594523,0.344162,0.380924,0.364433,0.41571
606.095,0.95429,0.0640469,6,63,0,-570.444,-0.278318,0.131044,-0.0844033,-0.352124,-0.106663,0.141184,0.310952,0.26836,1.87415,1.8163,-0.185776,1.53269,-0.0369233,-1.16887,0.55726,-0.256312,1.05575,-0.342297,-2.22251,-0.690945,0.762131,0.530075,0.251896,-1.32469,-1.36636,-0.216452,-1.19262,0.710597,0.0267115,1.69763,-0.978333,0.150304,-2.4468,1.63169,-3.02812,-1.42602,-0.613342,0.698107,-0.430154,2.00647,1.20766,-0.945275,0.814273,1.92059,1.04481,-1.4967,-0.951638,-1.04457,-1.16371,0.038138,0.672536,1.20835,-1.87328,-0.422865,0.679441,-1.55854,-0.219551,-0.0619227,-1.64024,2.70965,-0.432193,0.499678,1.13235,-1.42232,1.32156,2.18093,-0.196438,1.17618,9.72014,0.813898,0.798373,0.261097,0.722263,0.301043,-0.00272527,0.460498,0.242168,0.594273,0.219093,-0.285481,0.12553,0.515477,0.453202,0.37855,-0.0445411,-0.0557253,0.252865,-0.00909825,0.501647,0.31812,0.766526,0.0484067,0.351287,-0.345669,0.748832,-0.501672,-0.0717353,0.146355,0.498295,0.195516,0.849408,0.635038,0.0572782,0.52947,0.826361,0.591337,-0.0907024,0.0555704,0.0306319,-0.00134064,0.321186,0.491433,0.635223,-0.191762,0.197472,0.493286,-0.107297,0.252033,0.294334,-0.129222,1.03811,0.194969,0.445045,0.61483,-0.0707418,0.665604,0.896226,0.258236,0.62659,1.26918,1.25355,0.533147,1.05914,1.07291,0.303643,0.877546,0.556261,0.843444,0.540812,0.379617,0.531138,0.600683,0.748132,0.753653,0.185565,0.399552,0.22348,0.0569441,0.983616,0.493028,0.830853,-0.0398902,0.377483,-0.475911,0.813159,-0.586156,0.0651394,0.359493,0.177201,0.469664,0.730606,0.60785,0.0529684,0.612862,0.745592,0.617533,0.248367,0.0474475,0.0491032,-0.116836,-0.324729,0.284324,0.340314,-0.566747,0.0742521,0.175498,-0.261021,-0.0276235,-0.271505,-0.366934,0.998879,-0.141885,0.199804,0.49161,-0.262696,0.527132,0.566998,0.211377,0.36991,0.219398,0.222086,0.369783,0.257474,0.25485,0.424667,0.293687,0.364413,0.30081,0.367999,0.406219,0.370251,0.354188,0.321229,0.320026,0.453742,0.40142,0.444361,0.485768,0.272175,0.37918,0.303465,0.509971,0.406734,0.616782,0.307218,0.642483,0.483721,0.411082,0.455815,0.384696,0.325062,0.35255,0.486761,0.351407,0.321782,0.350343,0.438225,0.48814,0.487727,0.529176,0.580476,0.429394,0.415733,0.638012,0.481446,0.456238,0.564887,0.506905,0.567462,0.590718,0.269162,0.535412,0.450214,0.379514,0.565299,0.371186,0.36193,0.447352,0.408563
