# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim2_model
# start_datetime = 2022-04-21 07:11:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpSmrUlH/standata-4f383cb7432.json
# init = 2 (Default)
# random
#   seed = 400853124
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_sim2_power-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim2-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,z_re.33,z_re.34,z_re.35,z_re.36,z_re.37,z_re.38,z_re.39,z_re.40,z_re.41,z_re.42,z_re.43,z_re.44,z_re.45,z_re.46,z_re.47,z_re.48,z_re.49,z_re.50,z_re.51,z_re.52,z_re.53,z_re.54,z_re.55,z_re.56,z_re.57,z_re.58,z_re.59,z_re.60,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_i.33,re_i.34,re_i.35,re_i.36,re_i.37,re_i.38,re_i.39,re_i.40,re_i.41,re_i.42,re_i.43,re_i.44,re_i.45,re_i.46,re_i.47,re_i.48,re_i.49,re_i.50,re_i.51,re_i.52,re_i.53,re_i.54,re_i.55,re_i.56,re_i.57,re_i.58,re_i.59,re_i.60,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,SI.33,SI.34,SI.35,SI.36,SI.37,SI.38,SI.39,SI.40,SI.41,SI.42,SI.43,SI.44,SI.45,SI.46,SI.47,SI.48,SI.49,SI.50,SI.51,SI.52,SI.53,SI.54,SI.55,SI.56,SI.57,SI.58,SI.59,SI.60,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32,Ht.33,Ht.34,Ht.35,Ht.36,Ht.37,Ht.38,Ht.39,Ht.40,Ht.41,Ht.42,Ht.43,Ht.44,Ht.45,Ht.46,Ht.47,Ht.48,Ht.49,Ht.50,Ht.51,Ht.52,Ht.53,Ht.54,Ht.55,Ht.56,Ht.57,Ht.58,Ht.59,Ht.60
# Adaptation terminated
# Step size = 0.0574963
# Diagonal elements of inverse mass matrix:
# 0.0219594, 0.0286679, 0.0286946, 0.0307171, 0.00811352, 0.00190425, 0.0235229, 0.0143632, 0.211349, 0.194824, 0.15497, 0.219663, 0.2801, 0.202657, 0.176877, 0.188299, 0.188125, 0.140595, 0.249133, 0.163056, 0.245625, 0.142993, 0.182197, 0.149287, 0.186281, 0.20763, 0.180638, 0.145452, 0.194676, 0.159521, 0.170121, 0.16223, 0.183035, 0.179012, 0.197003, 0.165357, 0.173522, 0.233187, 0.19271, 0.177309, 0.185452, 0.153493, 0.162233, 0.210088, 0.148972, 0.209987, 0.179698, 0.186439, 0.216454, 0.215689, 0.1544, 0.121425, 0.185233, 0.158988, 0.147962, 0.172669, 0.144619, 0.181071, 0.184951, 0.207216, 0.164074, 0.200231, 0.153438, 0.179475, 0.159223, 0.209633, 0.178278, 0.210086, 0.00170044
633.827,0.997616,0.0574963,6,63,0,-598.243,-0.158913,0.208352,0.138075,-0.134694,-0.223965,0.181257,-0.138556,0.489005,0.850657,1.14621,0.227951,1.69092,-0.174892,-1.03286,0.343059,1.20637,0.713811,0.653822,-0.910172,-0.835236,1.30121,0.513323,0.280965,-0.930545,-0.546438,-0.718464,-0.404967,0.0374733,-0.108542,1.17664,-0.100049,0.249737,-0.455137,1.3117,-1.81391,-0.861588,-0.268885,0.332107,-0.704377,1.04293,0.721835,-1.13265,0.535823,0.977564,0.86818,-0.562122,-0.323833,-1.01003,-0.0847343,1.05364,0.629954,0.264125,-1.4412,0.0737243,0.0584763,-0.645615,0.730085,0.315602,-1.29176,1.38688,-0.427962,0.32834,0.499068,-1.04329,0.62507,1.73093,0.318149,1.276,11.0256,0.27742,0.421946,-0.0270864,0.688312,-0.224079,-0.643629,0.029202,0.451363,0.210501,0.181167,-0.583634,-0.54699,0.497741,0.112462,-0.0011625,-0.593597,-0.405767,-0.489888,-0.336586,-0.120231,-0.191633,0.436829,-0.18748,-0.0164332,-0.36112,0.50287,-1.02556,-0.559877,-0.270042,0.0238466,-0.482999,0.371442,0.214425,-0.692426,0.123464,0.339478,0.285989,-0.413436,-0.296911,-0.632468,-0.179991,0.376682,0.169495,-0.00939706,-0.843308,-0.102504,-0.10996,-0.454264,0.21846,0.0157754,-0.770233,0.539637,-0.347831,0.0220044,0.105491,-0.648731,0.167107,0.707878,0.0170209,0.485416,1.13128,1.3908,0.672438,1.52395,1.17935,0.127955,0.91799,1.12397,0.861986,0.869788,0.595607,0.317778,0.80494,0.860026,0.799552,0.0178546,0.448098,-0.19291,0.0455684,0.78968,0.570831,0.9671,0.137515,0.433772,-0.124198,1.03314,-0.692563,0.0075321,0.4575,0.090415,0.372649,0.632384,0.552537,-0.306274,0.693769,0.795476,0.736194,0.463336,0.0812339,-0.0832862,0.0316854,-0.0646084,0.304001,0.0559458,-0.946105,0.208149,-0.0926575,-0.207665,0.315829,-0.257375,-0.58479,0.911447,-0.370561,0.0764443,0.416144,-0.367209,0.445733,0.701161,0.372817,0.515836,0.243924,0.19928,0.337951,0.178881,0.235169,0.468055,0.285368,0.245275,0.296925,0.295298,0.355349,0.421217,0.30897,0.297334,0.310121,0.495536,0.389813,0.548079,0.48861,0.312237,0.361045,0.275459,0.465675,0.393226,0.53101,0.262475,0.666537,0.498117,0.387579,0.477412,0.407901,0.34697,0.365276,0.575975,0.333195,0.310994,0.323837,0.386195,0.479703,0.52081,0.492079,0.516146,0.42458,0.486017,0.720331,0.44815,0.523148,0.55173,0.421693,0.563991,0.642169,0.286704,0.591595,0.480898,0.39744,0.590784,0.390376,0.331555,0.40786,0.373826
629.638,0.830866,0.0574963,6,63,0,-600.16,0.129666,0.0902245,-0.016702,-0.163023,-0.214248,0.128271,-0.154052,0.388134,2.56523,1.44725,0.126601,1.46965,0.324178,-1.22363,0.304145,0.435166,1.17752,0.756043,-1.90098,0.740896,1.05526,0.957656,-0.175378,-0.160589,-0.955476,-0.322571,-0.8958,0.778108,-0.776892,0.838698,0.209373,-0.216798,-1.34452,1.11691,-2.24204,-0.658074,0.223972,0.321031,0.0839457,1.81331,1.66229,-0.648129,0.351766,0.389602,1.05601,-0.41765,-0.373799,-1.0398,-0.595942,-0.261398,1.09456,0.917331,-1.98203,-0.329854,0.243806,-1.24965,0.0650278,-0.140857,-1.63814,1.62474,0.0362116,0.515887,1.10523,-1.14604,0.755197,1.97688,1.08104,1.5738,9.88718,0.841598,0.407673,-0.104914,0.416368,-0.0282277,-0.628984,-0.0360033,0.0148502,0.302983,0.139394,-0.891887,0.133514,0.255531,0.217646,-0.222122,-0.216382,-0.524905,-0.279253,-0.501742,0.147958,-0.45559,0.171475,-0.0727875,-0.238199,-0.675905,0.279457,-1.02426,-0.409473,-0.0671211,-0.0294494,-0.12147,0.549756,0.491137,-0.405613,-0.0175199,-0.00283474,0.255819,-0.316156,-0.299136,-0.557633,-0.385357,-0.25551,0.270785,0.201995,-0.923344,-0.28208,-0.0594229,-0.639085,-0.128813,-0.208724,-0.789869,0.476564,-0.139997,0.0461807,0.274925,-0.598869,0.139065,0.613242,0.265536,0.456791,1.65053,1.37173,0.646615,1.2981,1.2613,0.191478,0.851456,0.695509,1.00856,0.835371,0.183182,0.997996,0.631755,1.01513,0.581085,0.450894,0.284026,0.177437,-0.00869281,1.0105,0.271328,0.676274,0.280762,0.190007,-0.406607,0.784256,-0.663056,0.0857305,0.581268,0.167128,0.649467,0.842031,0.812114,-0.0386808,0.525575,0.521155,0.684026,0.429867,0.0601365,0.0103765,-0.16096,-0.475264,0.466482,0.37665,-0.909534,0.0821211,0.0692764,-0.336159,0.0764793,-0.267634,-0.500325,0.854147,-0.0495944,0.165284,0.639125,-0.217413,0.472629,0.718963,0.6278,0.552917,0.161038,0.202341,0.343753,0.214484,0.22075,0.452276,0.299127,0.332809,0.267263,0.302511,0.454332,0.269336,0.347113,0.265977,0.358683,0.389148,0.429467,0.455757,0.502173,0.266881,0.432581,0.337094,0.430267,0.452641,0.600274,0.313403,0.659946,0.47858,0.358641,0.458315,0.34311,0.301107,0.30744,0.509669,0.371549,0.372582,0.335363,0.394158,0.48497,0.497406,0.540153,0.616629,0.385449,0.406935,0.712905,0.479481,0.482688,0.583257,0.480889,0.566512,0.622536,0.298564,0.512396,0.458773,0.345444,0.55414,0.383994,0.327621,0.348009,0.365188
632.678,0.999198,0.0574963,6,63,0,-596.489,0.0307808,0.206751,-0.0612831,-0.241911,-0.157193,0.0642093,0.199125,0.391065,0.37402,1.07789,-0.323337,1.75609,0.796525,-1.50822,0.220133,0.896613,0.0494996,-0.105734,-1.01632,-0.885385,0.73512,0.119143,0.14399,-1.64374,-0.913949,-1.81672,-1.59672,-0.172469,0.226262,1.48217,-0.651518,0.159488,-1.4069,1.31769,-2.34961,-1.18796,-0.0317591,-0.162117,-0.533705,0.633491,0.59997,-0.898376,0.454065,0.970473,0.620533,-0.500571,-0.279555,-1.20889,-0.282937,0.00752753,0.708781,-0.380352,-1.62407,-0.228048,0.202588,-0.950675,0.479682,-0.41856,-1.80071,1.65256,-0.572904,0.184862,1.02263,-1.26573,1.02601,1.87164,0.42158,0.903702,10.5505,0.345391,0.620648,0.0726795,0.88587,0.510618,-0.390685,0.285212,0.549759,0.218483,0.157776,-0.198322,-0.147118,0.486605,0.245718,0.255434,-0.443682,-0.158288,-0.511329,-0.425295,0.131678,0.287608,0.778748,-0.0556605,0.261495,-0.351064,0.714427,-0.719725,-0.265444,0.186705,0.135727,-0.00958786,0.446861,0.433752,-0.152198,0.376694,0.578643,0.441794,0.00336948,0.089801,-0.273628,0.0884784,0.202069,0.476304,0.0503829,-0.435992,0.109944,0.27835,-0.17265,0.386712,0.0354411,-0.505068,0.845382,-0.0249174,0.271418,0.599041,-0.295858,0.60036,0.931056,0.36399,0.552531,0.895488,1.31446,0.640468,1.54919,1.38343,0.22768,0.922829,1.03565,0.752553,0.654903,0.517137,0.473641,0.779032,0.847224,0.831236,0.0622909,0.391809,-0.100058,-0.0172491,0.721113,0.617854,0.946025,0.0305483,0.372576,-0.32667,0.881704,-0.627896,-0.135111,0.429431,0.166572,0.323051,0.488113,0.466159,-0.0860741,0.572069,0.819807,0.552875,0.287826,0.150305,-0.0300706,-0.0830537,-0.175724,0.313618,-0.0978383,-0.702225,0.0708887,0.0964112,-0.256662,0.260969,-0.22434,-0.568995,0.786242,-0.234954,0.0525358,0.559986,-0.292349,0.538826,0.732259,0.293611,0.31679,0.289979,0.211741,0.345141,0.175203,0.200459,0.443325,0.284382,0.261991,0.320265,0.341885,0.373522,0.383755,0.314529,0.300016,0.303384,0.484432,0.403282,0.524994,0.504312,0.327148,0.35027,0.279685,0.492364,0.407919,0.580949,0.292825,0.652012,0.533726,0.394262,0.458453,0.419932,0.380338,0.385526,0.521505,0.36076,0.305805,0.365198,0.428536,0.462494,0.507517,0.520751,0.543818,0.422232,0.52444,0.668681,0.482285,0.475916,0.563816,0.435126,0.555851,0.638531,0.312976,0.55847,0.486869,0.363551,0.572571,0.368461,0.324699,0.42712,0.421458
625.46,0.863132,0.0574963,6,63,0,-593.82,0.244121,0.141376,-0.201217,-0.378487,-0.207474,0.0929305,0.0605132,0.454383,1.46694,0.560268,-0.786643,0.706705,-0.611182,-1.57469,-0.753865,-0.0477533,0.322585,-0.186148,-1.9301,0.239735,-0.209039,-0.0900247,-0.631488,-0.584199,-0.850699,-0.956048,-1.37064,0.437722,-0.623578,0.844633,-0.193682,0.069089,-1.49062,1.08207,-1.70908,-0.522398,0.056119,-0.0152584,0.158732,1.35397,0.918302,-0.161161,0.109141,0.307229,0.42713,0.0477596,-0.781364,-1.33544,-0.468009,-0.339922,0.760525,0.254639,-1.68893,-0.431058,0.142825,-0.945428,0.483409,0.268667,-1.36119,1.12715,-0.276811,0.15442,0.862905,-1.04479,0.723798,1.54071,1.05533,1.54559,9.20152,0.727067,0.31509,-0.296924,0.381628,-0.217198,-0.654998,-0.28203,0.0388149,0.20709,-0.0240691,-0.816492,0.169445,-0.0344706,0.0196075,-0.226424,-0.204937,-0.32603,-0.373899,-0.562282,0.259407,-0.22283,0.4443,-0.0274927,0.0919061,-0.6168,0.552187,-0.716065,-0.176855,0.0860127,0.0535801,0.132638,0.675736,0.477774,-0.0127154,0.110105,0.200113,0.254594,0.0822144,-0.294525,-0.546288,-0.152142,-0.0939415,0.406083,0.176217,-0.706906,-0.135352,0.125411,-0.369073,0.280166,0.182591,-0.55799,0.572673,-0.0652652,0.130679,0.452603,-0.41422,0.389395,0.760586,0.540036,0.762801,1.55784,1.32736,0.540832,1.34548,1.04769,0.249513,0.656073,0.776656,1.00034,0.728606,0.240718,1.0853,0.439846,0.901866,0.630091,0.551231,0.504742,0.240911,0.0564524,1.1421,0.320761,0.772794,0.18582,0.346229,-0.485077,0.880681,-0.495335,0.111061,0.522272,0.177454,0.687571,0.829711,0.628257,0.18227,0.475685,0.609763,0.508917,0.581735,-0.106957,-0.125296,-0.19333,-0.440097,0.368387,0.14943,-0.889452,-0.00987134,0.0541213,-0.302929,0.283048,-0.00780531,-0.47352,0.679828,-0.17364,0.0188117,0.578084,-0.240744,0.485207,0.667045,0.632356,0.628683,0.173957,0.209596,0.367994,0.206611,0.259668,0.437943,0.341622,0.315041,0.268874,0.325501,0.440109,0.252505,0.391778,0.288667,0.34749,0.365579,0.376427,0.440062,0.485891,0.241935,0.42049,0.315875,0.453678,0.414297,0.618946,0.293037,0.621363,0.472263,0.372321,0.455753,0.334574,0.303706,0.347906,0.454558,0.383272,0.352113,0.375448,0.358533,0.526714,0.531283,0.548183,0.608282,0.408931,0.462712,0.708777,0.502468,0.486473,0.575158,0.429707,0.501951,0.616217,0.3363,0.543301,0.495297,0.359374,0.559897,0.381023,0.339159,0.346976,0.347809
628.533,0.989204,0.0574963,6,63,0,-593.739,0.0857104,0.168033,-0.0332258,-0.167358,-0.229075,0.0753973,0.00998229,0.440047,0.780281,0.989293,0.120569,1.35315,0.463557,-1.44567,0.605863,0.901294,0.237082,0.441618,-0.800801,-0.797908,1.44424,0.291175,0.104535,-1.50284,-0.914391,-1.40144,-1.21773,-0.342672,-0.192698,1.18563,-0.0434875,-0.0796007,-0.812387,1.21496,-2.27526,-0.830367,0.133581,-0.0620112,-0.630021,0.884882,1.16025,-0.985064,0.542474,0.666881,1.07768,-0.514415,0.320599,-0.940812,0.109798,0.202252,0.977375,0.190032,-1.06356,0.117267,0.454191,-0.86022,0.0966463,-0.768124,-1.69025,2.07131,0.0142376,0.775818,0.96624,-1.18718,0.952388,2.03116,0.470634,1.21303,11.3354,0.353342,0.445317,0.0630384,0.605432,0.213969,-0.626181,0.27659,0.406594,0.11431,0.204315,-0.342407,-0.341134,0.645514,0.138113,0.0559825,-0.651336,-0.392392,-0.606717,-0.525876,-0.140809,-0.074814,0.531713,-0.00915422,-0.0250457,-0.347506,0.544622,-0.991239,-0.355418,0.0687641,-0.0173055,-0.267256,0.399371,0.520546,-0.423492,0.248696,0.303441,0.484213,-0.216384,0.151061,-0.404019,0.0582984,0.0989826,0.440073,0.0936052,-0.458032,0.0615853,0.209847,-0.368555,0.0525112,-0.328028,-0.733806,0.921453,0.0162475,0.351378,0.435173,-0.512434,0.429077,0.903788,0.217083,0.543774,0.989886,1.30947,0.761711,1.44332,1.30262,0.146196,1.05885,0.96774,0.763846,0.78184,0.516942,0.416557,0.942908,0.885921,0.748159,-0.0427467,0.244152,-0.0997856,-0.0418199,0.55306,0.448861,0.817896,0.177064,0.179244,-0.25137,0.830806,-0.796831,-0.141245,0.446724,0.12458,0.241733,0.520075,0.610185,-0.284717,0.575826,0.733646,0.688503,0.204215,0.281647,0.0115012,-0.0565123,-0.243713,0.356327,0.0491122,-0.674501,0.158005,0.116218,-0.33765,0.0407756,-0.498747,-0.655459,0.97043,-0.118328,0.185738,0.531592,-0.335814,0.492739,0.785591,0.249681,0.353566,0.270935,0.212576,0.318275,0.191031,0.213724,0.463516,0.257529,0.275331,0.317812,0.313923,0.373567,0.397341,0.280313,0.291952,0.321223,0.510685,0.439263,0.524926,0.510453,0.365155,0.389632,0.30621,0.455849,0.455308,0.562514,0.303475,0.689296,0.535253,0.39014,0.468895,0.439859,0.372835,0.352017,0.570702,0.359893,0.324395,0.334366,0.449123,0.43005,0.497125,0.514124,0.560629,0.411849,0.487724,0.66251,0.460581,0.470978,0.58362,0.489808,0.622165,0.65824,0.274795,0.529548,0.453698,0.370146,0.583173,0.379249,0.313116,0.437902,0.412518
625.71,0.989347,0.0574963,6,63,0,-598.131,-0.227001,0.370621,0.0773752,-0.111833,-0.172295,0.104842,0.221185,0.391872,1.75347,1.2238,-0.621643,1.0985,-0.45464,-1.60292,-0.502264,0.269501,0.513909,0.126554,-2.17989,0.0617021,-0.026513,0.121905,-0.572634,-0.487833,-0.863277,-0.843052,-1.40099,0.603516,-0.60064,1.05946,-0.162922,-0.0461709,-1.77253,1.41269,-1.96489,-0.666786,0.0459382,-0.00795805,0.0960218,1.49321,0.9861,-0.522274,0.143946,0.400906,0.654602,0.00981786,-0.874309,-1.35187,-0.733208,-0.232145,0.895651,0.782325,-2.09612,-0.700677,-0.0724136,-1.287,0.516961,0.198519,-1.69335,1.17741,-0.444242,-0.100334,1.29328,-1.38316,0.487779,1.6295,1.11313,1.64047,9.70698,0.90832,0.700758,-0.0224196,0.651656,0.0430243,-0.406954,0.0243616,0.326795,0.422572,0.270778,-0.633053,0.245364,0.210795,0.268956,-0.00321426,0.0300167,-0.117109,-0.109184,-0.327823,0.457686,-0.0141889,0.636359,0.157341,0.203092,-0.473422,0.774781,-0.5488,-0.0401098,0.239187,0.218067,0.258813,0.806333,0.60761,0.0165203,0.277594,0.378289,0.477705,0.225032,-0.121432,-0.308575,-0.0661388,0.130214,0.572166,0.527757,-0.600227,-0.0533909,0.192808,-0.283155,0.423768,0.298979,-0.442391,0.682579,0.0470989,0.181867,0.727987,-0.320839,0.412332,0.85974,0.657389,0.864039,1.53239,1.44789,0.552112,1.3309,1.05527,0.223012,0.709894,0.846021,0.960146,0.802323,0.206727,0.912418,0.483512,0.880445,0.614564,0.536794,0.506959,0.224867,0.0371557,1.12487,0.334981,0.806904,0.204565,0.312042,-0.493951,0.945326,-0.495416,0.124406,0.526892,0.135682,0.645071,0.804282,0.630327,0.0761944,0.478936,0.560893,0.586655,0.592941,-0.0679179,-0.088885,-0.189253,-0.356831,0.424284,0.361265,-0.896068,-0.0657646,-0.0106399,-0.344805,0.281915,-0.0587166,-0.516489,0.682654,-0.187147,-0.0276103,0.715613,-0.321024,0.37532,0.637813,0.645145,0.636083,0.177645,0.190327,0.365375,0.209011,0.258214,0.444477,0.329622,0.300268,0.276849,0.309529,0.448502,0.286505,0.381423,0.293086,0.351019,0.368934,0.375907,0.444019,0.490712,0.245109,0.417029,0.308551,0.449036,0.422616,0.621037,0.279826,0.621381,0.468939,0.371242,0.466132,0.344101,0.30911,0.347436,0.480961,0.382503,0.363341,0.357403,0.35596,0.516973,0.522207,0.547173,0.588273,0.395492,0.410653,0.710141,0.516435,0.50266,0.585357,0.429984,0.514675,0.626327,0.335669,0.546651,0.506902,0.32836,0.579574,0.407256,0.345741,0.344084,0.346132
